	FIGHT_PIT_VALUE	COLISEUM_VALUE
LEAGUE_SIZE	100	50
PROMOTION_POSITIONS	5	5
PROMOTION_LEAGUE_SIZE	10	10
COPPER_PROMOTE_TIME	6 h	6 h
BRONZE_PROMOTE_TIME	12 h	12 h
SILVER_PROMOTE_TIME	16 h	16 h
GOLD_PROMOTE_TIME	1 d	1 d
PLATINUM_PROMOTE_TIME	2 d	2 d
SKIP_COOLDOWN_COST	50	50
DEFENSE_REWARD	10	10
DAILY_REWARD_HOUR	21	21
DAILY_REWARD_EXPIRATION	5 d	5 d
DEMOTION_START_DELAY	48 h	48 h
DEMOTION_RANK_WINDOW	5	5
DEMOTION_TIME_WINDOW	3 d	3 d
COOLDOWN_DURATION	10 m	10 m
DEMOTION_WARNING_TIME	5 d	5 d
DEMOTION_INACTIVE_TIME	7 d	7 d
