	TIER	DIVISION	MIN_POS	MAX_POS	DIAMONDS	GOLD	FIGHT_TOKENS	ITEM_REWARDS
1	CHALLENGER	1	1	1	500	100000	800	EXP_VIAL:3
2	CHALLENGER	1	2	2	450	95000	775	EXP_VIAL:2;EXP_PHILTER:3
3	CHALLENGER	1	3	3	400	90000	750	EXP_VIAL:2;EXP_PHILTER:2
4	CHALLENGER	1	4	5	350	85000	725	EXP_VIAL:2;EXP_PHILTER:1
5	CHALLENGER	1	6	10	300	80000	700	EXP_VIAL:2
6	CHALLENGER	1	11	25	250	75000	650	EXP_VIAL:1;EXP_PHILTER:4
7	CHALLENGER	1	26	50	200	70000	600	EXP_VIAL:1;EXP_PHILTER:3
8	CHALLENGER	1	51	200	150	60000	550	EXP_VIAL:1;EXP_PHILTER:1
9	PLATINUM	1	1	5	150	60000	550	EXP_VIAL:1;EXP_PHILTER:1
10	PLATINUM	1	6	10	145	55000	540	EXP_VIAL:1;EXP_FLASK:2
11	PLATINUM	1	11	25	140	50000	530	EXP_VIAL:1
12	PLATINUM	1	26	50	135	45000	520	EXP_PHILTER:4;EXP_FLASK:4
13	PLATINUM	1	51	200	130	42800	510	EXP_PHILTER:4;EXP_FLASK:3
14	PLATINUM	2	1	5	130	42800	510	EXP_PHILTER:4;EXP_FLASK:3
15	PLATINUM	2	6	10	126	41800	500	EXP_PHILTER:4;EXP_FLASK:2
16	PLATINUM	2	11	25	122	40800	490	EXP_PHILTER:4;EXP_FLASK:2
17	PLATINUM	2	26	50	118	39800	480	EXP_PHILTER:4;EXP_FLASK:2
18	PLATINUM	2	51	200	114	38800	470	EXP_PHILTER:4;EXP_FLASK:2
19	PLATINUM	3	1	5	114	38800	470	EXP_PHILTER:4;EXP_FLASK:2
20	PLATINUM	3	6	10	111	37900	461	EXP_PHILTER:4;EXP_FLASK:1
21	PLATINUM	3	11	25	108	37000	452	EXP_PHILTER:4;EXP_FLASK:1
22	PLATINUM	3	26	50	105	36100	443	EXP_PHILTER:4;EXP_FLASK:1
23	PLATINUM	3	51	200	102	35200	434	EXP_PHILTER:4;EXP_FLASK:1
24	PLATINUM	4	1	5	102	35200	434	EXP_PHILTER:4;EXP_FLASK:1
25	PLATINUM	4	6	10	99	34300	425	EXP_PHILTER:4
26	PLATINUM	4	11	25	96	33400	416	EXP_PHILTER:4
27	PLATINUM	4	26	50	93	32500	407	EXP_PHILTER:4
28	PLATINUM	4	51	200	90	31600	398	EXP_PHILTER:4
29	PLATINUM	5	1	5	90	31600	398	EXP_PHILTER:4
30	PLATINUM	5	6	10	88	30850	389	EXP_PHILTER:3;EXP_FLASK:4
31	PLATINUM	5	11	25	86	30100	380	EXP_PHILTER:3;EXP_FLASK:4
32	PLATINUM	5	26	50	84	29350	371	EXP_PHILTER:3;EXP_FLASK:4
33	PLATINUM	5	51	200	82	28600	362	EXP_PHILTER:3;EXP_FLASK:4
34	GOLD	1	1	5	82	28600	362	EXP_PHILTER:3;EXP_FLASK:4
35	GOLD	1	6	10	81	27900	354	EXP_PHILTER:3;EXP_FLASK:3
36	GOLD	1	11	25	80	27200	346	EXP_PHILTER:3;EXP_FLASK:3
37	GOLD	1	26	50	79	26500	338	EXP_PHILTER:3;EXP_FLASK:3
38	GOLD	1	51	200	78	25800	330	EXP_PHILTER:3;EXP_FLASK:3
