	EXP
1	11
2	12
3	13
4	14
5	15
6	16
7	17
8	18
9	19
10	20
11	21
12	22
13	23
14	24
15	25
16	26
17	27
18	28
19	29
20	30
21	31
22	32
23	33
24	34
25	35
26	36
27	37
28	38
29	39
30	40
31	41
32	42
33	43
34	44
35	45
36	47
37	48
38	49
39	51
40	52
41	54
42	55
43	57
44	58
45	60
46	62
47	64
48	65
49	67
50	69
51	71
52	73
53	75
54	77
55	79
56	82
57	85
58	88
59	91
60	94
61	97
62	100
63	103
64	106
65	109
66	112
67	115
68	118
69	121
70	122
71	124
72	128
73	131
74	135
75	140
76	147
77	151
78	155
79	159
80	161
81	165
82	169
83	174
84	179
85	184
86	190
87	196
88	202
89	208
90	214
91	221
92	228
93	235
94	242
95	249
96	257
97	265
98	273
99	281
100	289
101	297
102	305
103	313
104	321
105	329
106	337
107	345
108	353
109	361
110	369
111	377
112	385
113	393
114	401
115	409
116	417
117	425
118	433
119	441
120	449
121	457
122	465
123	473
124	481
125	489
126	497
127	505
128	513
129	521
130	529
131	537
132	545
133	553
134	561
135	569
136	577
137	585
138	593
139	601
140	609
141	617
142	625
143	633
144	641
145	649
146	657
147	665
148	673
149	681
150	689
151	697
152	705
153	713
154	721
155	729
156	737
157	745
158	753
159	761
160	769
161	777
162	785
163	793
164	801
165	809
