	LEVEL	RARITY	STARS	GOLD	XP
NPC_EVIL_WIZARD_0-1	48	PURPLE	2	9600	1000
NPC_EVIL_WIZARD_1-1	48	PURPLE	2	9600	1000
NPC_EVIL_WIZARD_2-1	48	PURPLE	2	9600	1000
NPC_GIANT_PLANT_0-1	52	PURPLE	2	10400	1000
NPC_GIANT_PLANT_1-1	52	PURPLE	2	10400	1000
NPC_GIANT_PLANT_2-1	52	PURPLE	2	10400	1000
NPC_GOLD_COLOSSUS_0-1	55	PURPLE	2	11000	1000
NPC_GOLD_COLOSSUS_1-1	55	PURPLE	2	11000	1000
NPC_GOLD_COLOSSUS_2-1	55	PURPLE	2	11000	1000
NPC_EVIL_WIZARD_0-2	58	PURPLE	3	11600	1500
NPC_EVIL_WIZARD_1-2	58	PURPLE	3	11600	1500
NPC_EVIL_WIZARD_2-2	58	PURPLE	3	11600	1500
NPC_GIANT_PLANT_0-2	60	PURPLE	3	12000	1500
NPC_GIANT_PLANT_1-2	60	PURPLE	3	12000	1500
NPC_GIANT_PLANT_2-2	60	PURPLE	3	12000	1500
NPC_GOLD_COLOSSUS_0-2	62	PURPLE	3	12400	1500
NPC_GOLD_COLOSSUS_1-2	62	PURPLE	3	12400	1500
NPC_GOLD_COLOSSUS_2-2	62	PURPLE	3	12400	1500
NPC_EVIL_WIZARD_0-3	65	PURPLE	4	13000	2000
NPC_EVIL_WIZARD_1-3	65	PURPLE	4	13000	2000
NPC_EVIL_WIZARD_2-3	65	PURPLE	4	13000	2000
NPC_GIANT_PLANT_0-3	69	PURPLE	4	13800	2000
NPC_GIANT_PLANT_1-3	69	PURPLE	4	13800	2000
NPC_GIANT_PLANT_2-3	69	PURPLE	4	13800	2000
NPC_GOLD_COLOSSUS_0-3	73	PURPLE	4	14600	2000
NPC_GOLD_COLOSSUS_1-3	73	PURPLE	4	14600	2000
NPC_GOLD_COLOSSUS_2-3	73	PURPLE	4	14600	2000
NPC_EVIL_WIZARD_0-4	76	PURPLE	5	15200	2500
NPC_EVIL_WIZARD_1-4	76	PURPLE	5	15200	2500
NPC_EVIL_WIZARD_2-4	76	PURPLE	5	15200	2500
NPC_GIANT_PLANT_0-4	80	PURPLE	5	16000	2500
NPC_GIANT_PLANT_1-4	80	PURPLE	5	16000	2500
NPC_GIANT_PLANT_2-4	80	PURPLE	5	16000	2500
NPC_GOLD_COLOSSUS_0-4	84	PURPLE	5	16800	2500
NPC_GOLD_COLOSSUS_1-4	84	PURPLE	5	16800	2500
NPC_GOLD_COLOSSUS_2-4	84	PURPLE	5	16800	2500
NPC_EVIL_WIZARD_0-5	88	PURPLE	5	17600	3000
NPC_EVIL_WIZARD_1-5	88	PURPLE	5	17600	3000
NPC_EVIL_WIZARD_2-5	88	PURPLE	5	17600	3000
NPC_GIANT_PLANT_0-5	92	PURPLE	5	18400	3000
NPC_GIANT_PLANT_1-5	92	PURPLE	5	18400	3000
NPC_GIANT_PLANT_2-5	92	PURPLE	5	18400	3000
NPC_GOLD_COLOSSUS_0-5	95	PURPLE	5	19000	3000
NPC_GOLD_COLOSSUS_1-5	95	PURPLE	5	19000	3000
NPC_GOLD_COLOSSUS_2-5	95	PURPLE	5	19000	3000
NPC_EVIL_WIZARD_0-6	98	ORANGE	5	19600	3500
NPC_EVIL_WIZARD_1-6	98	ORANGE	5	19600	3500
NPC_EVIL_WIZARD_2-6	98	ORANGE	5	19600	3500
NPC_GIANT_PLANT_0-6	102	ORANGE	5	20400	3500
NPC_GIANT_PLANT_1-6	102	ORANGE	5	20400	3500
NPC_GIANT_PLANT_2-6	102	ORANGE	5	20400	3500
NPC_GOLD_COLOSSUS_0-6	105	ORANGE	5	21000	3500
NPC_GOLD_COLOSSUS_1-6	105	ORANGE	5	21000	3500
NPC_GOLD_COLOSSUS_2-6	105	ORANGE	5	21000	3500
NPC_EVIL_WIZARD_0-7	108	ORANGE	5	21600	4000
NPC_EVIL_WIZARD_1-7	108	ORANGE	5	21600	4000
NPC_EVIL_WIZARD_2-7	108	ORANGE	5	21600	4000
NPC_GIANT_PLANT_0-7	112	ORANGE	5	22400	4000
NPC_GIANT_PLANT_1-7	112	ORANGE	5	22400	4000
NPC_GIANT_PLANT_2-7	112	ORANGE	5	22400	4000
NPC_GOLD_COLOSSUS_0-7	115	ORANGE	5	23000	4000
NPC_GOLD_COLOSSUS_1-7	115	ORANGE	5	23000	4000
NPC_GOLD_COLOSSUS_2-7	115	ORANGE	5	23000	4000
NPC_EVIL_WIZARD_0-8	118	ORANGE	5	23600	4500
NPC_EVIL_WIZARD_1-8	118	ORANGE	5	23600	4500
NPC_EVIL_WIZARD_2-8	118	ORANGE	5	23600	4500
NPC_GIANT_PLANT_0-8	120	ORANGE	5	24000	4500
NPC_GIANT_PLANT_1-8	120	ORANGE	5	24000	4500
NPC_GIANT_PLANT_2-8	120	ORANGE	5	24000	4500
NPC_GOLD_COLOSSUS_0-8	122	ORANGE	5	24400	4500
NPC_GOLD_COLOSSUS_1-8	122	ORANGE	5	24400	4500
NPC_GOLD_COLOSSUS_2-8	122	ORANGE	5	24400	4500
