	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	MAIN_DISPLAY	1	1	<DISPLAY_$BOSS$>	
2	DISPLAY_NPC_EVIL_WIZARD	1	1	SHARD_AXE_OF_GRATUITOUS_GUITAR_SOLOS,SHARD_HELM_OF_THE_RAGING_BEAR,SHARD_SELF_PRESERVER,SHARD_WAR_SANDALS,SHARD_LOST_DISK_OF_POWER,SHARD_WIZARDY_FOR_IDIOTS,SHARD_REEL_SANDWICH_OF_UNSURPASSED_MEATINESS,SHARD_BOOTS_MADE_FOR_WALKIN,SHARD_REEL_MJOLNIRBY,SHARD_ADAMANTIUM_TIARA,SHARD_REEL_DIPLOMATIC_IMMUNITY,SHARD_REEL_THE_1_RING	RemoveUnreleasedItems & NumOfItems(0,5)
3	DISPLAY_NPC_GIANT_PLANT	1	1	SHARD_LENSLESS_GLASSES,SHARD_SWEATBAND_OF_TRAINING_MONTAGES,SHARD_ANTI_MAGIC_SHIELD,SHARD_PHOTO_BOMB,SHARD_RING_OF_THE_SQUIRREL,SHARD_HIGH_TEA,SHARD_REEL_POCKET_PROTECTOR,SHARD_PHILTER_OF_PURE_TESTOSTERONE,SHARD_REEL_SHOVEL,SHARD_VORPAL_BOOMERANG,SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER,SHARD_REEL_SUPER_SPIKEY_SPEAR	RemoveUnreleasedItems & NumOfItems(0,5)
4	DISPLAY_NPC_GOLD_COLOSSUS	1	1	SHARD_ROLL_OF_DUCT_TAPE,SHARD_UNTESTED_JETPACK,SHARD_HEALTHY_DOSE_OF_SKEPTICISM,SHARD_BOWIE_KNIFE,SHARD_EXTREME_FAD_DIET,SHARD_PETER_PIPERS_PEPPER_SPRAY,SHARD_LIGER_BALM,SHARD_DEAD_EYE,SHARD_REEL_ENIDS_EXPENSIVE_ELIXIR,SHARD_REEL_HAMMER_OF_WICKED_BEATS,SHARD_HEAD_BANGER,SHARD_FRAMED_DIPLOMA,SHARD_REEL_DIRK_OF_DISEMBOWELING	RemoveUnreleasedItems & NumOfItems(0,5)
5	DISPLAY	1	1	<$BOSS$_$PHASE$_$DIFFICULTY$>	
6	ROOT	1	1	<$BOSS$_$PHASE$_$DIFFICULTY$>	
7	NPC_EVIL_WIZARD_0_1	1	1	<SHARD_REEL_THE_1_RING-4_to_8>,<EXP_VIAL-1_to_2>	
8	NPC_EVIL_WIZARD_1_1	1	1	<SHARD_REEL_THE_1_RING-4_to_8>,<EXP_VIAL-1_to_2>	
9	NPC_EVIL_WIZARD_2_1	1	1	<SHARD_REEL_THE_1_RING-4_to_8>,<EXP_VIAL-2_to_3>	
10	NPC_GIANT_PLANT_0_1	1	1	<SHARD_REEL_SUPER_SPIKEY_SPEAR-4_to_8>,<EXP_VIAL-1_to_2>	
11	NPC_GIANT_PLANT_1_1	1	1	<SHARD_REEL_SUPER_SPIKEY_SPEAR-4_to_8>,<EXP_VIAL-1_to_2>	
12	NPC_GIANT_PLANT_2_1	1	1	<SHARD_REEL_SUPER_SPIKEY_SPEAR-4_to_8>,<EXP_VIAL-2_to_3>	
13	NPC_GOLD_COLOSSUS_0_1	1	1	<SHARD_REEL_DIRK_OF_DISEMBOWELING-4_to_8>,<EXP_VIAL-1_to_2>	
14	NPC_GOLD_COLOSSUS_1_1	1	1	<SHARD_REEL_DIRK_OF_DISEMBOWELING-4_to_8>,<EXP_VIAL-1_to_2>	
15	NPC_GOLD_COLOSSUS_2_1	1	1	<SHARD_REEL_DIRK_OF_DISEMBOWELING-4_to_8>,<EXP_VIAL-2_to_3>	
16	NPC_EVIL_WIZARD_0_2	1	1	<SHARD_REEL_THE_1_RING-8_to_12>,<EXP_VIAL-2_to_3>	
17	NPC_EVIL_WIZARD_1_2	1	1	<SHARD_REEL_THE_1_RING-8_to_12>,<EXP_VIAL-2_to_3>	
18	NPC_EVIL_WIZARD_2_2	1	1	<SHARD_REEL_DIPLOMATIC_IMMUNITY-8_to_12>,<EXP_VIAL-3_to_4>	
19	NPC_GIANT_PLANT_0_2	1	1	<SHARD_REEL_SUPER_SPIKEY_SPEAR-8_to_12>,<EXP_VIAL-2_to_3>	
20	NPC_GIANT_PLANT_1_2	1	1	<SHARD_REEL_SUPER_SPIKEY_SPEAR-8_to_12>,<EXP_VIAL-2_to_3>	
21	NPC_GIANT_PLANT_2_2	1	1	<SHARD_REEL_ROD_OF_WITTY_PARTY_BANTER-8_to_12>,<EXP_VIAL-3_to_4>	
22	NPC_GOLD_COLOSSUS_0_2	1	1	<SHARD_REEL_DIRK_OF_DISEMBOWELING-8_to_12>,<EXP_VIAL-2_to_3>	
23	NPC_GOLD_COLOSSUS_1_2	1	1	<SHARD_REEL_DIRK_OF_DISEMBOWELING-8_to_12>,<EXP_VIAL-2_to_3>	
