	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	IS_MAJOR	EXP_REWARD	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
0-0	9	2	WHITE	12	1	60	NPC_GOBLIN,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	[boss]BROZERKER	PAPER_CROWN,FOAM_FINGER	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS
0-3	10	2	WHITE	12	1	67	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]DARK_DRACUL	PAPER_CROWN,GOBLIN_GROG	FREE_MANS_CROWBAR,MY_FIRST_SHIELD
0-6	11	2	WHITE	12	1	73	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	BROZERKER,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]ELECTROYETI,NPC_WILDLING_ARCHER	PAPER_CROWN,FINE_BRIE	ENCHANTED_ELBOW_PADS,FREE_MANS_CROWBAR
0-9	12	2	WHITE	12	1	80	NPC_GOBLIN,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM	[boss]BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	PAPER_CROWN,MY_FIRST_SHIELD	FOAM_FINGER,LOADED_DIE
0-12	13	2	WHITE	12	1	86	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM,NPC_WILDLING_ARCHER	DRAGON_LADY,NPC_GOBLIN,NPC_ICE_GOLEM,[boss]DARK_DRACUL	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS	FOAM_FINGER,GOBLIN_GROG
0-15	14	2	WHITE	12	1	93	BROZERKER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,UNSTABLE_UNDERSTUDY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]DRAGON_LADY,NPC_GOBLIN,ELECTROYETI,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	LOADED_DIE,STICK_ON_MOUSTACHE	ENCHANTED_ELBOW_PADS,MY_FIRST_SHIELD
0-18	15	2	WHITE	12	1	100	BROZERKER,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,UNSTABLE_UNDERSTUDY,ELECTROYETI	DRAGON_LADY,NPC_MYSTIC_WILDLING,[boss]DARK_DRACUL,NPC_ICE_GOLEM	PAPER_CROWN,BIT_O_NIP	ENCHANTED_ELBOW_PADS,FREE_MANS_CROWBAR
1-0	16	2	WHITE	12	1	101	NPC_FIRE_IMP,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,COSMIC_ELF,[boss]FAITH_HEALER	RUBBER_VEST,REEL_BLOODY_BAT	PAPER_CROWN,FINE_BRIE
1-3	17	2	WHITE	12	1	105	NPC_FIRE_IMP,NPC_ICE_GOLEM	NPC_FIRE_IMP,NPC_ICE_GOLEM,NPC_ICE_GOLEM	[boss]BROZERKER,DRAGON_LADY,NPC_ICE_GOLEM,FAITH_HEALER	STOLEN_SNEAKERS,ENCHANTED_ELBOW_PADS	FOAM_FINGER,PAPER_CROWN
1-6	18	2	WHITE	12	1	108	NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	POLEMASTER,COSMIC_ELF,[boss]DUST_DEVIL,UNSTABLE_UNDERSTUDY,FAITH_HEALER	WAND_OF_GOLD_SPARKLES,REEL_CHUNKY_FEMUR	LOADED_DIE,ENCHANTED_ELBOW_PADS
