	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	IS_MAJOR	EXP_REWARD	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
0-0	171	5	CYAN_4	20	1	1250	PLAGUE_ENTREPRENEUR,CYCLOPS_WIZARD,MAGIC_DRAGON,TRIPLE_THREAT,SHADOW_ASSASSIN,BANSHEE	POLEMASTER,SAVAGE_CUTIE,AQUATIC_MAN,BARDBARIAN,KARAOKE_KING,SHADOW_OF_SVEN	DRAGZILLA,ANGEL_DRAGON,SUN_SEEKER,SPIDER_QUEEN,DRAGON_SLAYER,[boss]STOWAWAY	SHARD_REEL_SECRET_HAND_SCROLL,SHARD_REEL_WARRIORS_HELMET,SHARD_REEL_GOOD_SLEEPING_BED,SHARD_REEL_BONE_CRUSHING_PLIERS,SHARD_DOUBLE_AXE	SHARD_REEL_SECRET_HAND_SCROLL,SHARD_REEL_WARRIORS_HELMET,SHARD_REEL_GOOD_SLEEPING_BED,SHARD_REEL_BONE_CRUSHING_PLIERS,SHARD_DOUBLE_AXE
0-3	171	5	CYAN_4	20	1	1252	BARDBARIAN,DWARVEN_ARCHER,DRAGON_SLAYER,ANGEL_DRAGON,MISTRESS_MANICURE,SPECTRAL_DRAGON	KRAKEN_KING,ANCIENT_DWARF,SUN_SEEKER,CYCLOPS_WIZARD,SPIKEY_DRAGON,BLACK_WING	DRUIDINATRIX,SADISTIC_DANCER,DUNGEON_MAN,BURNT_ONE,SHADOW_ASSASSIN,[boss]HYDRA	SHARD_REEL_FEATHER_OF_PHOENIX,SHARD_REEL_TIGER_UNDERWEAR,SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_REEL_MAGICAL_CREAM,SHARD_DEVILS_POT	SHARD_REEL_FEATHER_OF_PHOENIX,SHARD_REEL_TIGER_UNDERWEAR,SHARD_REEL_SUNBLOCK_GOGGLES,SHARD_REEL_MAGICAL_CREAM,SHARD_DEVILS_POT
0-6	172	5	CYAN_4	20	1	1251	KARAOKE_KING,WEREDRAGON,FROST_GIANT,GREED_DRAGON,ELECTROYETI,SATYR	SAVAGE_CUTIE,SPIKEY_DRAGON,SPECTRAL_DRAGON,SPIDER_QUEEN,MISTRESS_MANICURE,DRAGZILLA	STORM_DRAGON,LAST_DEFENDER,SILENT_SPIRIT,CRIMSON_WITCH,RAGING_REVENANT,[boss]MEDUSA	SHARD_REEL_DEDICATED_MEDUSA,SHARD_REEL_HERMITS_PILLS,SHARD_REEL_GOLD_RUSH,SHARD_REEL_DANCERS_BRA,SHARD_DRAGONS_POCKET_WATCH	SHARD_REEL_DEDICATED_MEDUSA,SHARD_REEL_DEDICATED_MEDUSA,SHARD_REEL_DEDICATED_MEDUSA,SHARD_REEL_DEDICATED_MEDUSA,SHARD_REEL_DEDICATED_MEDUSA,SHARD_REEL_DEDICATED_MEDUSA
0-9	173	5	CYAN_4	20	1	1253	FORGOTTEN_DRAGON,SATYR,NINJA_DWARF,GENIE,DEEP_DRAGON,UNRIPE_MYTHOLOGY	KARAOKE_KING,GROOVY_DRUID,CRIMSON_WITCH,SAVAGE_CUTIE,SPECTRAL_DRAGON,ELECTROYETI	MINOTAUR,HYDRA,DUNGEON_MAN,KRAKEN_KING,DIGGER_MOLE,[boss]GENIE	SHARD_REEL_DEDICATED_GENIE,SHARD_REEL_MAGATAMA,SHARD_REEL_SAND_STORM,SHARD_PRICKLING_WHIP,SHARD_FAMILIAR_ENERGY_TANK	SHARD_REEL_DEDICATED_GENIE,SHARD_REEL_DEDICATED_GENIE,SHARD_REEL_DEDICATED_GENIE,SHARD_REEL_DEDICATED_GENIE,SHARD_REEL_DEDICATED_GENIE,SHARD_REEL_DEDICATED_GENIE
0-12	174	5	CYAN_4	20	1	1252	ANGEL_DRAGON,WEE_WITCH,DWARVEN_ARCHER,PIRATE,BURNT_ONE,BLACK_WING	FROST_GIANT,HYDRA,ZOMBIE_SQUIRE,ANCIENT_DWARF,UNICORGI,MEDUSA	SPIDER_QUEEN,ANGELIC_HERALD,GRAND_HUNTRESS,SILENT_SPIRIT,UNRIPE_MYTHOLOGY,[boss]DRAGON_LADY	SHARD_REEL_DEDICATED_DRAGON_LADY,SHARD_REEL_GOURD,SHARD_REEL_SAMURAI_SWORD,SHARD_WILDYS_HAT,SHARD_REEL_MYSTERIOUS_EGG	SHARD_REEL_DEDICATED_DRAGON_LADY,SHARD_REEL_DEDICATED_DRAGON_LADY,SHARD_REEL_DEDICATED_DRAGON_LADY,SHARD_REEL_DEDICATED_DRAGON_LADY,SHARD_REEL_DEDICATED_DRAGON_LADY,SHARD_REEL_DEDICATED_DRAGON_LADY
0-15	174	5	CYAN_4	20	1	1254	ANCIENT_DWARF,MEDUSA,SILENT_SPIRIT,DIGGER_MOLE,ETERNAL_ENCHANTER,SHADOW_OF_SVEN	BLACK_WING,ZOMBIE_SQUIRE,BANSHEE,TOMB_ANGEL,KRAKEN_KING,COSMIC_ELF	ROLLER_WARRIOR,SKELETON_KING,FAITH_HEALER,DRAGON_SLAYER,DARK_DRACUL,[boss]SATYR	SHARD_REEL_DEDICATED_SATYR,SHARD_REEL_TIGER_SALVE,SHARD_REEL_MASK_OF_THE_ANCIENT_KING,SHARD_IRON_CLAWS,SHARD_REEL_MAGICAL_PEST_MAST	SHARD_REEL_DEDICATED_SATYR,SHARD_REEL_DEDICATED_SATYR,SHARD_REEL_DEDICATED_SATYR,SHARD_REEL_DEDICATED_SATYR,SHARD_REEL_DEDICATED_SATYR,SHARD_REEL_DEDICATED_SATYR
0-18	175	5	CYAN_4	20	1	1253	SUN_SEEKER,PIRATE,STEPLADDER_BROTHERS,ORC_MONK,BROZERKER,AQUATIC_MAN	BULWARK_ANGEL,COSMIC_ELF,ETERNAL_ENCHANTER,GRAND_HUNTRESS,GREED_DRAGON,KRAKEN_KING	MAGIC_DRAGON,SPIKEY_DRAGON,WEE_WITCH,ELECTROYETI,SNIPER_WOLF,[boss]CENTAUR_OF_ATTENTION	SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION,SHARD_REEL_EXOTIC_FAN,SHARD_REEL_FINS_OF_SEA_DRAGON,SHARD_MAGICAL_WATER_BOTTLE,SHARD_REEL_THE_SHIELD_STOPS_YOU	SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION,SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION,SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION,SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION,SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION,SHARD_REEL_DEDICATED_CENTAUR_OF_ATTENTION
1-0	176	5	CYAN_4	20	1	1255	ETERNAL_ENCHANTER,ZOMBIE_SQUIRE,GRAND_HUNTRESS,PIRATE,SKELETON_KING,WEREDRAGON	DUST_DEVIL,CRIMSON_WITCH,DOPPELGANGER,BULWARK_ANGEL,SHADOW_OF_SVEN,DRAGON_SLAYER	LAST_DEFENDER,SNAPPER_BONE,DEMON_TOTEM,SADISTIC_DANCER,CYCLOPS_WIZARD,[boss]SAVAGE_CUTIE	SHARD_REEL_DROP_OF_MOONLIGHT,SHARD_REEL_END_CENTURY_FLAME_RADIATOR,SHARD_REEL_EXPLOSIVE_CANNON,SHARD_GAUNTLET_OF_THRONE,SHARD_REEL_HEART_HAT	SHARD_REEL_DROP_OF_MOONLIGHT,SHARD_REEL_END_CENTURY_FLAME_RADIATOR,SHARD_REEL_EXPLOSIVE_CANNON,SHARD_GAUNTLET_OF_THRONE,SHARD_REEL_HEART_HAT
1-3	176	5	CYAN_4	20	1	1254	SHADOW_OF_SVEN,MAGIC_DRAGON,VULTURE_DRAGON,PIRATE,DRUIDINATRIX,CATAPULT_KNIGHT	ANCIENT_DWARF,UNSTABLE_UNDERSTUDY,LAST_DEFENDER,SNIPER_WOLF,STEPLADDER_BROTHERS,DEMON_TOTEM	ETERNAL_ENCHANTER,SPIDER_QUEEN,BURNT_ONE,DWARVEN_ARCHER,BARDBARIAN,[boss]SKELETON_KING	SHARD_REEL_DRAGON_SCALE_GROVE,SHARD_REEL_PIECE_OF_ACOLYTE_STATUE,SHARD_REEL_CLOUDY_MONOCULAR_TELESCOPE,SHARD_BOOK_OF_IRMAC,SHARD_DRAGON_BLANKIE	SHARD_REEL_DRAGON_SCALE_GROVE,SHARD_REEL_PIECE_OF_ACOLYTE_STATUE,SHARD_REEL_CLOUDY_MONOCULAR_TELESCOPE,SHARD_BOOK_OF_IRMAC,SHARD_DRAGON_BLANKIE
1-6	177	5	CYAN_4	20	1	1256	ZOMBIE_SQUIRE,CYCLOPS_WIZARD,CENTAUR_OF_ATTENTION,UNSTABLE_UNDERSTUDY,SHADOW_OF_SVEN,CATAPULT_KNIGHT	VILE_BILE,DIGGER_MOLE,GRAND_HUNTRESS,DWARVEN_ARCHER,CRIMSON_WITCH,ANGEL_DRAGON	SUN_SEEKER,MINOTAUR,SKELETON_KING,SNIPER_WOLF,[boss]BROZERKER,[boss]BROZERKER	SHARD_REEL_DEDICATED_BROZERKER,SHARD_REEL_BANANA_PEEL_MOUNTAIN,SHARD_REEL_SWORD_OF_DESPAIR,SHARD_PHOENIX_TALISMAN,SHARD_RING_OF_FIRE	SHARD_REEL_DEDICATED_BROZERKER,SHARD_REEL_DEDICATED_BROZERKER,SHARD_REEL_DEDICATED_BROZERKER,SHARD_REEL_DEDICATED_BROZERKER,SHARD_REEL_DEDICATED_BROZERKER,SHARD_REEL_DEDICATED_BROZERKER
