	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	DISPLAY	1	0	? RunesUnlocked ? <DISPLAY_NODE_$NodeNumber$> ? 	
2	DISPLAY_SET	1	0	? RunesUnlocked ? <DISPLAY_SET_CHAPTER_$ChapterNumber$> ? 	
3	ROOT	1	1	? RunesUnlocked ? <NODE_$NodeNumber$> ? 	
4	DISPLAY_NODE_0	1	1	<DISPLAY_OFFERING>	
5	DISPLAY_NODE_1	1	1		
6	DISPLAY_NODE_2	1	1		
7	DISPLAY_NODE_3	1	1	<DISPLAY_OFFERING>	
8	DISPLAY_NODE_4	1	1		
9	DISPLAY_NODE_5	1	1		
10	DISPLAY_NODE_6	1	1	<DISPLAY_OFFERING>	
11	DISPLAY_NODE_7	1	1		
12	DISPLAY_NODE_8	1	1		
13	DISPLAY_NODE_9	1	1	<DISPLAY_OFFERING>	
14	DISPLAY_NODE_10	1	1		
15	DISPLAY_NODE_11	1	1		
16	DISPLAY_NODE_12	1	1	<DISPLAY_OFFERING>	
17	DISPLAY_NODE_13	1	1		
18	DISPLAY_NODE_14	1	1		
19	DISPLAY_NODE_15	1	1	<DISPLAY_OFFERING>	
20	DISPLAY_NODE_16	1	1		
21	DISPLAY_NODE_17	1	1		
22	DISPLAY_NODE_18	1	1	<DISPLAY_OFFERING>	
23	DISPLAY_OFFERING	1	1	<DISPLAY_OFFERING_CHAPTER_$ChapterNumber$>	
24	DISPLAY_OFFERING_CHAPTER_0	1	1	? RuneSetUnlocked(TREE) ? OFFERING_TREE ?	
25	DISPLAY_OFFERING_CHAPTER_1	1	1	? RuneSetUnlocked(FIRE) ? OFFERING_FIRE ?	
26	DISPLAY_OFFERING_CHAPTER_2	1	1	? RuneSetUnlocked(OCEAN) ? OFFERING_OCEAN ?	
27	DISPLAY_OFFERING_CHAPTER_3	1	1	? RuneSetUnlocked(ROCK) ? OFFERING_ROCK ?	
28	DISPLAY_OFFERING_CHAPTER_4	1	1	? RuneSetUnlocked(MIST) ? OFFERING_MIST ?	
29	DISPLAY_OFFERING_CHAPTER_5	1	1	? RuneSetUnlocked(LIGHTNING) ? OFFERING_LIGHTNING ?	
30	DISPLAY_OFFERING_CHAPTER_6	1	1	? RuneSetUnlocked(BLOOD) ? OFFERING_BLOOD ?	
31	DISPLAY_OFFERING_CHAPTER_7	1	1	? RuneSetUnlocked(TREE) ? OFFERING_TREE ?	
32	DISPLAY_OFFERING_CHAPTER_8	1	1	? RuneSetUnlocked(FIRE) ? OFFERING_FIRE ?	
33	DISPLAY_OFFERING_CHAPTER_9	1	1	? RuneSetUnlocked(OCEAN) ? OFFERING_OCEAN ?	
34	DISPLAY_OFFERING_CHAPTER_10	1	1	? RuneSetUnlocked(ROCK) ? OFFERING_ROCK ?	
35	DISPLAY_OFFERING_CHAPTER_11	1	1	? RuneSetUnlocked(MIST) ? OFFERING_MIST ?	
36	DISPLAY_OFFERING_CHAPTER_12	1	1	? RuneSetUnlocked(LIGHTNING) ? OFFERING_LIGHTNING ?	
37	DISPLAY_OFFERING_CHAPTER_13	1	1	? RuneSetUnlocked(BLOOD) ? OFFERING_BLOOD ?	
38	DISPLAY_OFFERING_CHAPTER_14	1	1	? RuneSetUnlocked(RIVER) ? OFFERING_RIVER ?	
39	DISPLAY_OFFERING_CHAPTER_15	1	1	? RuneSetUnlocked(HAIL) ? OFFERING_HAIL ?	
40	DISPLAY_OFFERING_CHAPTER_16	1	1	? RuneSetUnlocked(TREE) ? OFFERING_TREE ?	
41	DISPLAY_OFFERING_CHAPTER_17	1	1	? RuneSetUnlocked(FIRE) ? OFFERING_FIRE ?	
42	DISPLAY_OFFERING_CHAPTER_18	1	1	? RuneSetUnlocked(OCEAN) ? OFFERING_OCEAN ?	
43	DISPLAY_OFFERING_CHAPTER_19	1	1	? RuneSetUnlocked(ROCK) ? OFFERING_ROCK ?	
44	DISPLAY_OFFERING_CHAPTER_20	1	1	? RuneSetUnlocked(MIST) ? OFFERING_MIST ?	
45	DISPLAY_OFFERING_CHAPTER_21	1	1	? RuneSetUnlocked(LIGHTNING) ? OFFERING_LIGHTNING ?	
46	DISPLAY_OFFERING_CHAPTER_22	1	1	? RuneSetUnlocked(BLOOD) ? OFFERING_BLOOD ?	
47	DISPLAY_OFFERING_CHAPTER_23	1	1	? RuneSetUnlocked(RIVER) ? OFFERING_RIVER ?	
48	DISPLAY_OFFERING_CHAPTER_24	1	1	? RuneSetUnlocked(HAIL) ? OFFERING_HAIL ?	
49	DISPLAY_OFFERING_CHAPTER_25	1	1	? RuneSetUnlocked(TREE) ? OFFERING_TREE ?	
50	DISPLAY_OFFERING_CHAPTER_26	1	1	? RuneSetUnlocked(FIRE) ? OFFERING_FIRE ?	
51	DISPLAY_OFFERING_CHAPTER_27	1	1	? RuneSetUnlocked(OCEAN) ? OFFERING_OCEAN ?	
52	DISPLAY_SET_CHAPTER_0	1	1	? RuneSetUnlocked(TREE) ? TREE ?	
53	DISPLAY_SET_CHAPTER_1	1	1	? RuneSetUnlocked(FIRE) ? FIRE ?	
