	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	STAMINA_COST	EXP_REWARD	IS_MAJOR	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE	PRIMARY_LOOT	SECONDARY_LOOT
0-0	1	1	WHITE	6	60	1	CH1_COMBAT_1	NPC_GOBLIN,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	[boss]BROZERKER	PAPER_CROWN,FOAM_FINGER	FREE_MANS_CROWBAR,ENCHANTED_ELBOW_PADS
0-1	1	1	WHITE	6	62	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]ELECTROYETI,NPC_WILDLING_ARCHER	PAPER_CROWN,FINE_BRIE	MY_FIRST_SHIELD,FOAM_FINGER
0-2	1	1	WHITE	6	64	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER,[boss]BROZERKER	FREE_MANS_CROWBAR,MY_FIRST_SHIELD	FOAM_FINGER,GOBLIN_GROG
0-3	2	1	WHITE	6	67	1	CH1_COMBAT_2	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]DARK_DRACUL	PAPER_CROWN,GOBLIN_GROG	FREE_MANS_CROWBAR,MY_FIRST_SHIELD
0-4	2	1	WHITE	6	69	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,[boss]ELECTROYETI	PAPER_CROWN,FINE_BRIE	ENCHANTED_ELBOW_PADS,FOAM_FINGER
0-5	3	1	WHITE	6	71	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,[boss]FAITH_HEALER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	PAPER_CROWN,ENCHANTED_ELBOW_PADS	FINE_BRIE,FREE_MANS_CROWBAR
0-6	3	1	WHITE	6	73	1	CH1_COMBAT_3	NPC_GOBLIN,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	BROZERKER,NPC_MYSTIC_WILDLING,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_GOBLIN,NPC_GOBLIN,NPC_MYSTIC_WILDLING,[boss]ELECTROYETI,NPC_WILDLING_ARCHER	PAPER_CROWN,FINE_BRIE	ENCHANTED_ELBOW_PADS,FREE_MANS_CROWBAR
0-7	3	1	WHITE	6	75	0	CH1_COMBAT_SM	BROZERKER	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_GOBLIN,[boss]UNSTABLE_UNDERSTUDY	PAPER_CROWN,STOLEN_SNEAKERS	LOADED_DIE,FINE_BRIE
0-8	4	1	WHITE	6	78	0	CH1_COMBAT_SM	NPC_GOBLIN,NPC_ICE_GOLEM,NPC_ICE_GOLEM	BROZERKER,NPC_WILDLING_SNIPER	NPC_GOBLIN,NPC_GOBLIN,[boss]ELECTROYETI,UNSTABLE_UNDERSTUDY	PAPER_CROWN,LOADED_DIE	STOLEN_SNEAKERS,ENCHANTED_ELBOW_PADS
0-9	4	1	WHITE	6	80	1	CH1_COMBAT_1	NPC_GOBLIN,NPC_ICE_GOLEM	NPC_GOBLIN,NPC_GOBLIN,NPC_ICE_GOLEM	[boss]BROZERKER,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_ICE_GOLEM	PAPER_CROWN,MY_FIRST_SHIELD	FOAM_FINGER,LOADED_DIE
