	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	25	1	GREEN	165	CHALLENGES_DRAGON	DUST_DEVIL	HYDRA	[boss]MOON_DRAKE
2	47	2	BLUE_1	215	CHALLENGES_DRAGON	HYDRA,MOON_DRAKE	SNAP_DRAGON,HYDRA	DUST_DEVIL,[boss]HYDRA,MOON_DRAKE
3	68	3	PURPLE	265	CHALLENGES_DRAGON	MAGIC_DRAGON,DARK_DRACUL,HYDRA	SNAP_DRAGON,HYDRA,MOON_DRAKE,DUST_DEVIL	SNAP_DRAGON,HYDRA,DARK_DRACUL,MOON_DRAKE,[boss]DUST_DEVIL
4	79	3	PURPLE_1	315	CHALLENGES_DRAGON	SNAP_DRAGON,HYDRA,SAVAGE_CUTIE,MOON_DRAKE,DARK_DRACUL	BONE_DRAGON,HYDRA,MOON_DRAKE,MAGIC_DRAGON,DUST_DEVIL	[boss]SNAP_DRAGON,HYDRA,MAGIC_DRAGON,MOON_DRAKE,SAVAGE_CUTIE
5	85	4	PURPLE_2	365	CHALLENGES_DRAGON	BONE_DRAGON,SAVAGE_CUTIE,HYDRA,MOON_DRAKE,DARK_DRACUL	MOON_DRAKE,DUST_DEVIL,DARK_DRACUL,MAGIC_DRAGON,MOON_DRAKE	SNAP_DRAGON,[boss]SPIKEY_DRAGON,DUST_DEVIL,HYDRA,MAGIC_DRAGON
6	90	5	PURPLE_3	415	CHALLENGES_DRAGON	DARK_DRACUL,MOON_DRAKE,HYDRA,SNAP_DRAGON,SPIKEY_DRAGON	SAVAGE_CUTIE,MAGIC_DRAGON,DUST_DEVIL,HYDRA,MAGIC_DRAGON	BONE_DRAGON,SNAP_DRAGON,SPIKEY_DRAGON,[boss]RABID_DRAGON,HYDRA
7	95	5	PURPLE_4	465	CHALLENGES_DRAGON	MOON_DRAKE,SAVAGE_CUTIE,DUST_DEVIL,MAGIC_DRAGON,DARK_DRACUL	SNAP_DRAGON,SAVAGE_CUTIE,RABID_DRAGON,HYDRA,SPIKEY_DRAGON	DUST_DEVIL,DARK_DRACUL,SNAP_DRAGON,SPIKEY_DRAGON,[boss]BONE_DRAGON
8	100	5	ORANGE	515	CHALLENGES_DRAGON	SPIKEY_DRAGON,BONE_DRAGON,SNAP_DRAGON,RABID_DRAGON,SAVAGE_CUTIE	SAVAGE_CUTIE,DUST_DEVIL,DARK_DRACUL,HYDRA,SPIKEY_DRAGON	HYDRA,MOON_DRAKE,SPIKEY_DRAGON,MAGIC_DRAGON,[boss]STORM_DRAGON
9	105	5	ORANGE_1	565	CHALLENGES_DRAGON	DARK_DRACUL,HYDRA,SNAP_DRAGON,DRAGZILLA,SAVAGE_CUTIE	DUST_DEVIL,STORM_DRAGON,DARK_DRACUL,MAGIC_DRAGON,SPIKEY_DRAGON	SNAP_DRAGON,HYDRA,[boss]DEEP_DRAGON,SPIKEY_DRAGON,DRAGZILLA
10	110	5	ORANGE_2	615	CHALLENGES_DRAGON	SPECTRAL_DRAGON,DUST_DEVIL,HYDRA,DEEP_DRAGON,SPIKEY_DRAGON	DARK_DRACUL,STORM_DRAGON,MAGIC_DRAGON,MOON_DRAKE,DRAGZILLA	BONE_DRAGON,RABID_DRAGON,SNAP_DRAGON,SAVAGE_CUTIE,[boss]VULTURE_DRAGON
11	115	5	ORANGE_3	665	CHALLENGES_DRAGON	DARK_DRACUL,MOON_DRAKE,MAGIC_DRAGON,DRAGZILLA,DUST_DEVIL	STORM_DRAGON,SAVAGE_CUTIE,RABID_DRAGON,DEEP_DRAGON,VULTURE_DRAGON	SNAP_DRAGON,HYDRA,SPIKEY_DRAGON,BONE_DRAGON,[boss]WEREDRAGON
12	120	5	ORANGE_4	715	CHALLENGES_DRAGON	DEEP_DRAGON,VULTURE_DRAGON,MAGIC_DRAGON,RABID_DRAGON,SPECTRAL_DRAGON	DARK_DRACUL,BONE_DRAGON,DRAGZILLA,SNAP_DRAGON,WEREDRAGON	[boss]SAVAGE_CUTIE,SPIKEY_DRAGON,MOON_DRAKE,DUST_DEVIL,STORM_DRAGON
13	125	5	ORANGE_5	765	CHALLENGES_DRAGON	DARK_DRACUL,DUST_DEVIL,SNAP_DRAGON,HYDRA,MOON_DRAKE	BONE_DRAGON,MAGIC_DRAGON,SAVAGE_CUTIE,SPIKEY_DRAGON,RABID_DRAGON	[boss]DRAGZILLA,DEEP_DRAGON,VULTURE_DRAGON,SPECTRAL_DRAGON,WEREDRAGON
14	130	5	ORANGE_6	815	CHALLENGES_DRAGON	BONE_DRAGON,RABID_DRAGON,HYDRA,SPIKEY_DRAGON,WEREDRAGON	STORM_DRAGON,VULTURE_DRAGON,DEEP_DRAGON,MAGIC_DRAGON,DRAGZILLA	SAVAGE_CUTIE,SNAP_DRAGON,DARK_DRACUL,MOON_DRAKE,[boss]VOID_WYVERN
15	135	5	ORANGE_7	865	CHALLENGES_DRAGON	DUST_DEVIL,SAVAGE_CUTIE,DARK_DRACUL,MAGIC_DRAGON,VULTURE_DRAGON	WEREDRAGON,HYDRA,SNAP_DRAGON,RABID_DRAGON,SPIKEY_DRAGON	DRAGZILLA,TRIPLE_THREAT,BONE_DRAGON,VOID_WYVERN,[boss]ANGEL_DRAGON,SPECTRAL_DRAGON
16	140	5	ORANGE_8	915	CHALLENGES_DRAGON	HYDRA,DUST_DEVIL,MAGIC_DRAGON,DEEP_DRAGON,SPIKEY_DRAGON	SNAP_DRAGON,RABID_DRAGON,SAVAGE_CUTIE,MOON_DRAKE,DRAGZILLA	VULTURE_DRAGON,SPIKEY_DRAGON,BONE_DRAGON,VOID_WYVERN,SPECTRAL_DRAGON,[boss]WEREDRAGON
17	145	5	CYAN	965	CHALLENGES_DRAGON	DUST_DEVIL,DEEP_DRAGON,VULTURE_DRAGON,MAGIC_DRAGON,RABID_DRAGON,SPECTRAL_DRAGON	HYDRA,DARK_DRACUL,BONE_DRAGON,DRAGZILLA,SNAP_DRAGON,WEREDRAGON	SAVAGE_CUTIE,SPIKEY_DRAGON,MOON_DRAKE,DUST_DEVIL,STORM_DRAGON,[boss]TRIPLE_THREAT
18	170	5	CYAN_3	1015	CHALLENGES_DRAGON	ANGEL_DRAGON,BONE_DRAGON,RABID_DRAGON,SPIKEY_DRAGON,WEREDRAGON	TRIPLE_THREAT,STORM_DRAGON,VULTURE_DRAGON,DEEP_DRAGON,MAGIC_DRAGON,DRAGZILLA	SAVAGE_CUTIE,SNAP_DRAGON,DARK_DRACUL,MOON_DRAKE,VOID_WYVERN,[boss]FORGOTTEN_DRAGON
19	185	5	CYAN_4	1065	CHALLENGES_DRAGON	MOON_DRAKE,DUST_DEVIL,SAVAGE_CUTIE,DARK_DRACUL,MAGIC_DRAGON,VULTURE_DRAGON	SPECTRAL_DRAGON,WEREDRAGON,HYDRA,SNAP_DRAGON,RABID_DRAGON,SPIKEY_DRAGON	DRAGZILLA,TRIPLE_THREAT,BONE_DRAGON,VOID_WYVERN,WEREDRAGON,[boss]GREED_DRAGON
20	200	5	CYAN_4	1115	CHALLENGES_DRAGON	SPIKEY_DRAGON,BONE_DRAGON,SAVAGE_CUTIE,STORM_DRAGON,TRIPLE_THREAT	DARK_DRACUL,DEEP_DRAGON,VOID_WYVERN,MAGIC_DRAGON,RABID_DRAGON,SPECTRAL_DRAGON	HYDRA,DUST_DEVIL,MOON_DRAKE,DRAGZILLA,FORGOTTEN_DRAGON,[boss]UNRIPE_MYTHOLOGY
21	220	5	CYAN_4	1165	CHALLENGES_DRAGON	GREED_DRAGON,DEEP_DRAGON,UNRIPE_MYTHOLOGY,MAGIC_DRAGON,RABID_DRAGON,SPECTRAL_DRAGON	HYDRA,DARK_DRACUL,BONE_DRAGON,DRAGZILLA,SNAP_DRAGON,WEREDRAGON	SAVAGE_CUTIE,SPIKEY_DRAGON,MOON_DRAKE,DUST_DEVIL,STORM_DRAGON,[boss]BLACK_WING
22	230	5	CYAN_4	1215	CHALLENGES_DRAGON	UNRIPE_MYTHOLOGY,DEEP_DRAGON,BONE_DRAGON,BLACK_WING,SNAP_DRAGON,WEREDRAGON	HYDRA,DARK_DRACUL,VULTURE_DRAGON,DRAGZILLA,RABID_DRAGON,SPECTRAL_DRAGON	GREED_DRAGON,SPIKEY_DRAGON,MOON_DRAKE,FORGOTTEN_DRAGON,STORM_DRAGON,[boss]TRIPLE_THREAT
