	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	25	1	GREEN	165	CHALLENGES_MAGIC_IMMUNE	NPC_GOBLIN,NPC_FIRE_IMP,NPC_WILDLING_SNIPER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER	[boss]NPC_WILDLING_SNIPER,[boss]NPC_WILDLING_SNIPER,NPC_FIRE_IMP,NPC_WILDLING_ARCHER
2	47	2	BLUE_1	215	CHALLENGES_MAGIC_IMMUNE	NPC_GOBLIN,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	[boss]NPC_FIRE_IMP,[boss]NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER
3	68	3	PURPLE	265	CHALLENGES_MAGIC_IMMUNE	NPC_GOBLIN,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER	NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,[boss]NPC_MR_SMASHY
4	79	4	PURPLE_1	315	CHALLENGES_MAGIC_IMMUNE	NPC_MR_SMASHY,NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_MR_SMASHY,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_MR_SMASHY,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER,[boss]MINOTAUR
5	85	4	PURPLE_2	365	CHALLENGES_MAGIC_IMMUNE	NPC_MR_SMASHY,NPC_MR_SMASHY,NPC_WILDLING_ARCHER,MINOTAUR,NPC_WILDLING_ARCHER	NPC_MR_SMASHY,MINOTAUR,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_MR_SMASHY,[boss]DWARVEN_ARCHER,MINOTAUR,NPC_WILDLING_ARCHER,NPC_WILDLING_SNIPER
6	90	5	PURPLE_3	415	CHALLENGES_MAGIC_IMMUNE	NPC_MR_SMASHY,NPC_MR_SMASHY,NPC_FIRE_IMP,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_MR_SMASHY,NPC_FIRE_IMP,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER	NPC_MR_SMASHY,NPC_FIRE_IMP,DWARVEN_ARCHER,[boss]MINOTAUR,NPC_WILDLING_ARCHER
7	95	5	PURPLE_4	465	CHALLENGES_MAGIC_IMMUNE	NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_MR_SMASHY,MINOTAUR,NPC_WILDLING_SNIPER	NPC_SKELETON_DEER,NPC_FIRE_IMP,DWARVEN_ARCHER,NPC_WILDLING_ARCHER,NPC_WILDLING_SNIPER	NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_SKELETON_DEER,DWARVEN_ARCHER,[boss]SKELETON_KING
8	100	5	ORANGE	515	CHALLENGES_MAGIC_IMMUNE	MINOTAUR,DWARVEN_ARCHER,NPC_WILDLING_SNIPER,NPC_WILDLING_SNIPER,NPC_WILDLING_ARCHER	NPC_SKELETON_DEER,MINOTAUR,SKELETON_KING,NPC_FIRE_IMP,NPC_WILDLING_ARCHER	[boss]NPC_MR_SMASHY,[boss]NPC_MR_SMASHY,[boss]NPC_MR_SMASHY,MINOTAUR,DWARVEN_ARCHER
9	105	5	ORANGE_1	565	CHALLENGES_MAGIC_IMMUNE	NPC_MR_SMASHY,DWARVEN_ARCHER,NPC_MR_SMASHY,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_MR_SMASHY,NPC_MR_SMASHY,SKELETON_KING	[boss]MINOTAUR,NPC_FIRE_IMP,NPC_WILDLING_SNIPER
10	110	5	ORANGE_2	615	CHALLENGES_MAGIC_IMMUNE	NPC_SKELETON_DEER,NPC_SKELETON_DEER,NPC_FIRE_IMP,NPC_FIRE_IMP,NPC_FIRE_IMP	DEMON_TOTEM,NPC_GOBLIN,NPC_GOBLIN,VILE_BILE,NPC_GOBLIN	MINOTAUR,[boss]NPC_MR_SMASHY,[boss]NPC_MR_SMASHY,[boss]NPC_MR_SMASHY,SKELETON_KING
