	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	25	1	GREEN	165	CHALLENGES_PHYS_IMMUNE	NPC_TROLL_BLOB,NPC_STONE_IMP,NPC_MYSTIC_WILDLING	NPC_MYSTIC_WILDLING,NPC_TROLL_BLOB,NPC_STONE_IMP	NPC_STONE_IMP,[boss]NPC_MYSTIC_WILDLING,[boss]NPC_MYSTIC_WILDLING
2	47	2	BLUE_1	215	CHALLENGES_PHYS_IMMUNE	NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_TROLL_BLOB	NPC_STONE_IMP,NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_TROLL_BLOB,[boss]NPC_STONE_IMP,[boss]NPC_STONE_IMP,NPC_MYSTIC_WILDLING
3	68	3	PURPLE	265	CHALLENGES_PHYS_IMMUNE	NPC_TROLL_BLOB,NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_STONE_IMP,NPC_TROLL_BLOB,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	[boss]NPC_TROLL_BLOB,[boss]NPC_TROLL_BLOB,[boss]NPC_TROLL_BLOB,NPC_STONE_IMP,NPC_MYSTIC_WILDLING
4	79	4	PURPLE_1	315	CHALLENGES_PHYS_IMMUNE	NPC_STONE_IMP,NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING	NPC_TROLL_BLOB,NPC_TROLL_BLOB,NPC_SCARECROW,NPC_SCARECROW,NPC_MYSTIC_WILDLING	NPC_TROLL_BLOB,NPC_STONE_IMP,NPC_MYSTIC_WILDLING,NPC_SCARECROW,[boss]SHADOW_ASSASSIN
5	85	4	PURPLE_2	365	CHALLENGES_PHYS_IMMUNE	NPC_TROLL_BLOB,NPC_SCARECROW,NPC_SQUID,ZOMBIE_SQUIRE,SHADOW_ASSASSIN	NPC_TROLL_BLOB,ZOMBIE_SQUIRE,NPC_SQUID,NPC_SCARECROW,NPC_MYSTIC_WILDLING	NPC_TROLL_BLOB,[boss]ZOMBIE_SQUIRE,ORC_MONK,SHADOW_ASSASSIN,NPC_SQUID
6	90	5	PURPLE_3	415	CHALLENGES_PHYS_IMMUNE	NPC_TROLL_BLOB,NPC_STONE_IMP,NPC_SCARECROW,NPC_SQUID,NPC_MYSTIC_WILDLING	NPC_STONE_IMP,NPC_SQUID,SHADOW_ASSASSIN,NPC_TROLL_BLOB,NPC_SCARECROW	NPC_SQUID,ZOMBIE_SQUIRE,[boss]ORC_MONK,NPC_SCARECROW,SHADOW_ASSASSIN
7	95	5	PURPLE_4	465	CHALLENGES_PHYS_IMMUNE	NPC_TROLL_BLOB,NPC_SQUID,NPC_STONE_IMP,NPC_HEAD_CRAB,NPC_HEAD_CRAB	NPC_HEAD_CRAB,NPC_HEAD_CRAB,NPC_SCARECROW,NPC_TROLL_BLOB,NPC_HEAD_CRAB	NPC_HEAD_CRAB,NPC_HEAD_CRAB,SHADOW_ASSASSIN,ORC_MONK,[boss]AQUATIC_MAN
8	100	5	ORANGE	515	CHALLENGES_PHYS_IMMUNE	NPC_STONE_IMP,NPC_CAULDRON_MONSTER,NPC_HEAD_CRAB,AQUATIC_MAN,NPC_CAULDRON_MONSTER	NPC_CAULDRON_MONSTER,NPC_CAULDRON_MONSTER,NPC_HEAD_CRAB,NPC_HEAD_CRAB,ORC_MONK	NPC_CAULDRON_MONSTER,ZOMBIE_SQUIRE,ORC_MONK,AQUATIC_MAN,[boss]SHADOW_ASSASSIN
9	105	5	ORANGE_1	565	CHALLENGES_PHYS_IMMUNE	NPC_TROLL_BLOB,AQUATIC_MAN,NPC_TROLL_BLOB,ZOMBIE_SQUIRE,SHADOW_ASSASSIN	NPC_MYSTIC_WILDLING,NPC_MYSTIC_WILDLING,NPC_TROLL_BLOB,NPC_TROLL_BLOB,ORC_MONK	DARK_HORSE,[boss]BROZERKER,NPC_SQUID,NPC_SQUID,NPC_MYSTIC_WILDLING
10	110	5	ORANGE_2	615	CHALLENGES_PHYS_IMMUNE	DARK_HORSE,BROZERKER,ORC_MONK,AQUATIC_MAN,NPC_CAULDRON_MONSTER	NPC_TROLL_BLOB,NPC_SQUID,NPC_SCARECROW,NPC_HEAD_CRAB,NPC_HEAD_CRAB	SILENT_SPIRIT,BANSHEE,[boss]RAGING_REVENANT,SHADOW_ASSASSIN,NPC_HEAD_CRAB
