	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	WHITE_FULL	auto	1	<WHITE_0_FULL>	
2	GREEN_FULL	auto	1	<GREEN_0_FULL>	
3	BLUE_FULL	auto	1	<BLUE_0_FULL>	
4	BLUE_FULL	auto	1	<BLUE_5_FULL>	
5	PURPLE_FULL	auto	1	<PURPLE_0_FULL>	
6	PURPLE_FULL	auto	1	<PURPLE_20_FULL>	
7	PURPLE_FULL	auto	1	<PURPLE_50_FULL>	
8	ORANGE_FULL	auto	1	<ORANGE_0_FULL>	
9	ORANGE_FULL	auto	1	<ORANGE_50_FULL>	
10	CYAN_FULL	auto	1	<CYAN_50_FULL>	
11	CYAN_FULL	auto	1	<CYAN_0_FULL>	
12	WHITE_REEL	auto	1	<WHITE_0_REEL>	
13	GREEN_REEL	auto	1	<GREEN_0_REEL>	
14	BLUE_REEL	auto	1	<BLUE_5_REEL>	
15	PURPLE_REEL	auto	1	<PURPLE_20_REEL>	
16	PURPLE_REEL	auto	1	<PURPLE_50_REEL>	
17	ORANGE_REEL	auto	1	<ORANGE_50_REEL>	
18	CYAN_REEL	auto	1	<CYAN_50_REEL>	
19	ALL_WHITE_FULL	1	1	<ALL_WHITE_0_FULL>	
20	ALL_GREEN_FULL	1	1	<ALL_GREEN_0_FULL>	
21	ALL_BLUE_FULL	1	1	<ALL_BLUE_0_FULL>,<ALL_BLUE_5_FULL>	
22	ALL_PURPLE_FULL	1	1	<ALL_PURPLE_0_FULL>,<ALL_PURPLE_20_FULL>,<ALL_PURPLE_50_FULL>	
23	ALL_ORANGE_FULL	1	1	<ALL_ORANGE_0_FULL>,<ALL_ORANGE_50_FULL>	
24	ALL_CYAN_FULL	1	1	<ALL_CYAN_0_FULL>,<ALL_CYAN_50_FULL>	
25	ALL_WHITE_REEL	1	1	<ALL_WHITE_0_REEL>	
26	ALL_GREEN_REEL	1	1	<ALL_GREEN_0_REEL>	
27	ALL_BLUE_REEL	1	1	<ALL_BLUE_5_REEL>	
28	ALL_PURPLE_REEL	1	1	<ALL_PURPLE_20_REEL>,<ALL_PURPLE_50_REEL>	
