	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	ALL_3_STAR	1	1	BROZERKER,ZOMBIE_SQUIRE,POLEMASTER,ROLLER_WARRIOR,BONE_DRAGON,HYDRA,SPIKEY_DRAGON,DARK_HORSE,DRUIDINATRIX,RABID_DRAGON,DWARVEN_ARCHER,SATYR,GENIE,PIRATE,DEMON_TOTEM,KRAKEN_KING,VULTURE_DRAGON,BURNT_ONE,ANGEL_DRAGON,DRAGON_SLAYER,TRIPLE_THREAT,SHADOW_OF_SVEN,FORGOTTEN_DRAGON,GREED_DRAGON,SADISTIC_DANCER,WHITE_TIGRESS,PCH_ANUBIS_DRAGON,UMLAUT_THE_FIRST,ABYSS_DRAGON	
2	ALL_A_TIER	1	1	SNAP_DRAGON,BROZERKER,ZOMBIE_SQUIRE,POLEMASTER,SAVAGE_CUTIE,NINJA_DWARF,ROLLER_WARRIOR,AQUATIC_MAN,BARDBARIAN,MEDUSA,DUST_DEVIL,BONE_DRAGON,GROOVY_DRUID,CATAPULT_KNIGHT,COSMIC_ELF,HYDRA,MAGIC_DRAGON,CRIMSON_WITCH,MOON_DRAKE,SHADOW_ASSASSIN,SPIKEY_DRAGON,FROST_GIANT,MINOTAUR,DARK_HORSE,DRUIDINATRIX,RABID_DRAGON,ORC_MONK,DWARVEN_ARCHER,SKELETON_KING,SATYR,STORM_DRAGON,GENIE,UNICORGI,SNIPER_WOLF,DRAGZILLA,PIRATE,CYCLOPS_WIZARD,DEMON_TOTEM,DEEP_DRAGON,DOPPELGANGER,KRAKEN_KING,STOWAWAY,SPIDER_QUEEN,CURSED_STATUE,VULTURE_DRAGON,PLANT_SOUL,SPECTRAL_DRAGON,DUNGEON_MAN,VILE_BILE,MISTRESS_MANICURE,RAGING_REVENANT,WEE_WITCH,PLAGUE_ENTREPRENEUR,BANSHEE,SILENT_SPIRIT,WEREDRAGON,BURNT_ONE,BULWARK_ANGEL,ANGEL_DRAGON,TOMB_ANGEL,ANGELIC_HERALD,DRAGON_SLAYER,ETERNAL_ENCHANTER,GRAND_HUNTRESS,TRIPLE_THREAT,LAST_DEFENDER,SOJOURNER_SORCERESS,KARAOKE_KING,SHADOW_OF_SVEN,FORGOTTEN_DRAGON,STEPLADDER_BROTHERS,SUN_SEEKER,BLACK_WING,UNRIPE_MYTHOLOGY,GREED_DRAGON,ANCIENT_DWARF,DIGGER_MOLE,SADISTIC_DANCER,SNAPPER_BONE,WHITE_TIGRESS,VERMILION_PRIESTESS,PCH_ANUBIS_DRAGON,UMLAUT_THE_FIRST,CLAW_MAN,DARK_HERO,ABYSS_DRAGON	
3	ALL_2_STAR	1	1	SNAP_DRAGON,SAVAGE_CUTIE,BARDBARIAN,MEDUSA,DUST_DEVIL,GROOVY_DRUID,COSMIC_ELF,MAGIC_DRAGON,MOON_DRAKE,STORM_DRAGON,UNICORGI,DRAGZILLA,DEEP_DRAGON,STOWAWAY,CURSED_STATUE,PLANT_SOUL,SPECTRAL_DRAGON,DUNGEON_MAN,VILE_BILE,PLAGUE_ENTREPRENEUR,WEREDRAGON,TOMB_ANGEL,ANGELIC_HERALD,ETERNAL_ENCHANTER,KARAOKE_KING,SUN_SEEKER,BLACK_WING,ANCIENT_DWARF,SNAPPER_BONE,DARK_HERO	
4	ALL_1_STAR	1	1	DRAGON_LADY,NINJA_DWARF,AQUATIC_MAN,DARK_DRACUL,ELECTROYETI,CATAPULT_KNIGHT,UNSTABLE_UNDERSTUDY,FAITH_HEALER,CRIMSON_WITCH,CENTAUR_OF_ATTENTION,SHADOW_ASSASSIN,FROST_GIANT,MINOTAUR,ORC_MONK,SKELETON_KING,SNIPER_WOLF,CYCLOPS_WIZARD,DOPPELGANGER,SPIDER_QUEEN,MISTRESS_MANICURE,RAGING_REVENANT,WEE_WITCH,BANSHEE,SILENT_SPIRIT,BULWARK_ANGEL,GRAND_HUNTRESS,LAST_DEFENDER,SOJOURNER_SORCERESS,STEPLADDER_BROTHERS,UNRIPE_MYTHOLOGY,DIGGER_MOLE,VERMILION_PRIESTESS,CLAW_MAN	
5	ALL_B_TIER	1	1	DRAGON_LADY,DARK_DRACUL,ELECTROYETI,UNSTABLE_UNDERSTUDY,FAITH_HEALER,CENTAUR_OF_ATTENTION	
6	2_STAR	1	1	SNAP_DRAGON	
7	A_TIER	1	1	SNAP_DRAGON	
8	1_STAR	1	1	DRAGON_LADY	
9	B_TIER	1	1	DRAGON_LADY	
10	3_STAR	1	1	BROZERKER	
