	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/01/2018	11/27/2018	11/26/2018	11/19/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/16/2018	08/13/2018	08/02/2018	08/01/2018	07/19/2018	07/16/2018	07/09/2018	07/05/2018	07/02/2018	07/01/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/24/2018	05/21/2018	05/14/2018	05/10/2018	05/07/2018	05/01/2018	04/26/2018	04/23/2018	04/16/2018	04/12/2018	04/09/2018	04/01/2018	03/29/2018	03/26/2018	03/15/2018	03/12/2018	03/01/2018	02/26/2018	02/15/2018	02/12/2018	02/01/2018	01/29/2018	01/18/2018	01/16/2018	01/15/2018	01/04/2018	01/01/2018	12/21/2017	12/18/2017	12/07/2017	12/05/2017	12/04/2017	12/01/2017	11/23/2017	11/20/2017	11/09/2017	11/06/2017	11/01/2017	10/24/2017	10/19/2017	10/16/2017	10/05/2017	10/02/2017	10/01/2017	09/28/2017	09/25/2017	09/14/2017	09/12/2017	09/11/2017	09/01/2017	08/31/2017	08/28/2017	08/17/2017	08/14/2017	08/10/2017	08/08/2017	08/07/2017	08/03/2017	08/01/2017	07/31/2017	07/20/2017	07/17/2017	07/13/2017	07/10/2017	07/06/2017	07/04/2017	07/03/2017	07/01/2017	06/27/2017	06/22/2017	06/19/2017	06/15/2017	06/12/2017	06/09/2017	06/07/2017	06/06/2017	06/01/2017	05/11/2017	05/02/2017	05/01/2017
Release	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_18	R2_18	R2_18	R2_18	R2_16	R2_16	R2_16	R2_16	R2_16	R2_16	R2_15	R2_15	R2_15	R2_15	R2_15	R2_15	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_2	R2_2	R2_2	R2_1
Max Chapter	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	27	27	27	27	27	27	27	27	27	27	26	26	26	26	24	24	24	24	24	24	23	23	23	23	23	23	22	22	22	22	22	22	22	22	21	21	21	21	21	21	21	20	20	20	20	20	20	20	19	19	19	19	19	19	19	19	18	18	18	18	18	18	18	18	18	17	17	17	17	17	17	17	17	16	16	16	16	16	16	16	16	16	16	15	15	15	15	15	15	15	15	15	15	14	14	14	13
Max Expert Chapter	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0																																																																														
Max TL	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	155	155	155	155	155	155	155	155	155	155	150	150	150	150	140	140	140	140	140	140	135	135	135	135	135	135	130	130	130	130	130	130	130	130	125	125	125	125	125	125	125	120	120	120	120	120	120	120	115	115	115	115	115	115	115	115	110	110	110	110	110	110	110	110	110	105	105	105	105	105	105	105	105	100	100	100	100	100	100	100	100	100	100	95	95	95	95	95	95	95	95	95	95	90	90	90	85
SIGNIN	DIGGER_MOLE	DIGGER_MOLE	DIGGER_MOLE	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	MISTRESS_MANICURE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON
SOULCHEST	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	GREED_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	PIRATE	PIRATE	PIRATE	PIRATE	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX
FIGHT_PIT$0	BARDBARIAN	BARDBARIAN	BARDBARIAN	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	UNICORGI	UNICORGI	UNICORGI
FIGHT_PIT$1	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE
FIGHT_PIT$2	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	DARK_HORSE	DARK_HORSE	DARK_HORSE
GUILD_STORE$0	DRAGZILLA	DRAGZILLA	DRAGZILLA	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	SNIPER_WOLF	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BARDBARIAN	BARDBARIAN	BARDBARIAN
