	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/01/2018	11/27/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/16/2018	08/13/2018	08/06/2018	08/02/2018	08/01/2018	07/19/2018	07/16/2018	07/09/2018	07/05/2018	07/02/2018	07/01/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/24/2018	05/21/2018	05/14/2018	05/10/2018	05/07/2018	05/01/2018	04/26/2018	04/23/2018	04/16/2018	04/12/2018	04/09/2018	04/01/2018	03/29/2018	03/26/2018	03/15/2018	03/12/2018	03/01/2018	02/26/2018	02/15/2018	02/12/2018	02/01/2018	01/29/2018	01/18/2018	01/16/2018	01/15/2018	01/04/2018	01/01/2018	12/21/2017	12/18/2017	12/07/2017	12/05/2017	12/04/2017	12/01/2017	11/23/2017	11/20/2017	11/09/2017	11/06/2017	11/01/2017	10/26/2017	10/24/2017	10/23/2017	10/19/2017	10/16/2017	10/05/2017	10/02/2017	10/01/2017	09/28/2017	09/25/2017	09/18/2017	09/14/2017	09/12/2017	09/11/2017	09/01/2017	08/31/2017	08/28/2017	08/17/2017	08/14/2017	08/10/2017	08/08/2017	08/07/2017	08/03/2017	08/01/2017	07/31/2017	07/20/2017	07/17/2017	07/13/2017	07/10/2017	07/06/2017	07/04/2017	07/03/2017	07/01/2017	06/22/2017	06/19/2017	06/15/2017	06/12/2017	06/09/2017	06/08/2017	06/07/2017	06/06/2017	06/01/2017	05/11/2017	05/02/2017	05/01/2017
Release	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_20	R2_20	R2_20	R2_20	R2_18	R2_18	R2_18	R2_18	R2_18	R2_18	R2_17	R2_17	R2_17	R2_17	R2_17	R2_16	R2_16	R2_16	R2_16	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_5	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_3	R2_2	R2_2	R2_2	R2_2	R2_2	R2_2	R2_2	R2_2	R2_1	R2_1	R2_1	R2_1	R2_1	R2_1	R2_1	R2_1	R2_1	R2_1	R1_4	R1_4	R1_4	R1_4	R1_4	R1_4	R1_4	R1_4	R1_4	R1_4	R1_3	R1_3	R1_3	R1_2
Max Chapter	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	27	27	27	27	26	26	26	26	26	26	25	25	25	25	25	24	24	24	24	21	21	21	21	21	21	20	20	20	20	20	20	19	19	19	19	19	19	19	19	18	18	18	18	18	18	18	17	17	17	17	17	17	17	16	16	16	16	16	16	16	16	16	15	15	15	15	15	15	15	15	15	15	15	14	14	14	14	14	14	14	14	13	13	13	13	13	13	13	13	13	13	12	12	12	12	12	12	12	12	12	12	11	11	11	10
Max Expert Chapter	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																	
Max TL	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	155	155	155	155	150	150	150	150	150	150	145	145	145	145	145	140	140	140	140	125	125	125	125	125	125	120	120	120	120	120	120	115	115	115	115	115	115	115	115	110	110	110	110	110	110	110	105	105	105	105	105	105	105	100	100	100	100	100	100	100	100	100	95	95	95	95	95	95	95	95	95	95	95	90	90	90	90	90	90	90	90	85	85	85	85	85	85	85	85	85	85	80	80	80	80	80	80	80	80	80	80	75	75	75	70
SIGNIN	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT
SOULCHEST	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	GENIE	DRUIDINATRIX	DRUIDINATRIX	DRUIDINATRIX
FIGHT_PIT$0	BARDBARIAN	BARDBARIAN	BARDBARIAN	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	DARK_DRACUL	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	HYDRA	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE
FIGHT_PIT$1	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	SNAP_DRAGON	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	SAVAGE_CUTIE	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF
FIGHT_PIT$2	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	FROST_GIANT	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	DOPPELGANGER	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	ORC_MONK	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	CATAPULT_KNIGHT	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	ROLLER_WARRIOR	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	SHADOW_ASSASSIN	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER			
GUILD_STORE$0	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	SILENT_SPIRIT	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	NINJA_DWARF	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	BARDBARIAN	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	MINOTAUR	SATYR	SATYR	SATYR	SATYR	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	SATYR	SATYR	SATYR
