	01/10/2019	01/07/2019	01/01/2019	12/26/2018	12/25/2018	12/17/2018	12/10/2018	12/01/2018	11/27/2018	11/26/2018	11/19/2018	11/15/2018	11/13/2018	11/12/2018	11/08/2018	11/05/2018	11/01/2018	10/30/2018	10/29/2018	10/11/2018	10/08/2018	10/01/2018	09/24/2018	09/19/2018	09/17/2018	09/12/2018	09/01/2018	08/30/2018	08/27/2018	08/09/2018	08/06/2018	08/01/2018	07/19/2018	07/16/2018	07/01/2018	06/28/2018	06/25/2018	06/11/2018	06/06/2018	06/04/2018	06/01/2018	05/21/2018	05/17/2018	05/14/2018	05/01/2018	04/26/2018	04/23/2018	04/16/2018	04/05/2018	04/02/2018	04/01/2018	03/15/2018	03/12/2018	03/01/2018	02/22/2018	02/19/2018	02/01/2018	01/29/2018	01/16/2018	01/11/2018	01/08/2018	01/01/2018	12/28/2017	12/25/2017	12/14/2017	12/11/2017	12/05/2017	12/01/2017	11/23/2017	11/20/2017	11/01/2017	10/30/2017	10/24/2017	10/12/2017	10/09/2017	10/01/2017	09/21/2017	09/18/2017	09/12/2017	09/01/2017	08/31/2017	08/28/2017	08/17/2017	08/14/2017	08/10/2017	08/08/2017	08/07/2017	08/03/2017	08/01/2017	07/31/2017	07/20/2017	07/17/2017	07/13/2017	07/10/2017	07/06/2017	07/04/2017	07/03/2017	07/01/2017	06/22/2017	06/19/2017	06/15/2017	06/12/2017	06/09/2017	06/07/2017	06/06/2017	06/01/2017	05/11/2017	05/02/2017	05/01/2017
Release	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_21	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_20	R2_18	R2_18	R2_18	R2_18	R2_18	R2_18	R2_17	R2_17	R2_17	R2_17	R2_17	R2_17	R2_16	R2_16	R2_16	R2_16	R2_16	R2_16	R2_15	R2_15	R2_15	R2_15	R2_15	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_14	R2_13	R2_13	R2_13	R2_13	R2_13	R2_13	R2_10	R2_10	R2_10	R2_10	R2_10	R2_10	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_9	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_8	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_6	R2_5	R2_5	R2_5	R2_3
Max Chapter	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	27	27	27	27	27	27	27	27	27	27	26	26	26	26	26	26	25	25	25	25	25	25	24	24	24	24	24	24	23	23	23	23	23	22	22	22	22	22	22	22	22	21	21	21	21	21	21	20	20	20	20	20	20	19	19	19	19	19	19	19	18	18	18	18	18	18	18	18	18	18	17	17	17	17	17	17	17	17	17	16	16	16	15
Max Expert Chapter	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0																																																																				
Max TL	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	160	155	155	155	155	155	155	155	155	155	155	150	150	150	150	150	150	145	145	145	145	145	145	140	140	140	140	140	140	135	135	135	135	135	130	130	130	130	130	130	130	130	125	125	125	125	125	125	120	120	120	120	120	120	115	115	115	115	115	115	115	110	110	110	110	110	110	110	110	110	110	105	105	105	105	105	105	105	105	105	100	100	100	95
SIGNIN	SNAPPER_BONE	SNAPPER_BONE	SNAPPER_BONE	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	BLACK_WING	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	SOJOURNER_SORCERESS	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	KARAOKE_KING	KARAOKE_KING	KARAOKE_KING	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	LAST_DEFENDER	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	GRAND_HUNTRESS	DRAGZILLA	DRAGZILLA	DRAGZILLA	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	ANGELIC_HERALD	BURNT_ONE	BURNT_ONE	BURNT_ONE	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	WEE_WITCH	WEE_WITCH	WEE_WITCH	WEE_WITCH	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON
SOULCHEST	SADISTIC_DANCER	SADISTIC_DANCER	SADISTIC_DANCER	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	PIRATE	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	SHADOW_OF_SVEN	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	FORGOTTEN_DRAGON	SPIDER_QUEEN	SPIDER_QUEEN	SPIDER_QUEEN	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	TRIPLE_THREAT	STOWAWAY	STOWAWAY	STOWAWAY	DRAGON_SLAYER	DRAGON_SLAYER	DRAGON_SLAYER	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	TOMB_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	BULWARK_ANGEL	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	PLAGUE_ENTREPRENEUR	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DRAGZILLA	DRAGZILLA	DRAGZILLA
FIGHT_PIT$0	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	MOON_DRAKE	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	STORM_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	SPECTRAL_DRAGON	WEREDRAGON	WEREDRAGON	WEREDRAGON	FAITH_HEALER	FAITH_HEALER	FAITH_HEALER	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	BROZERKER	BROZERKER	BROZERKER	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	DARK_HORSE	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON
FIGHT_PIT$1	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CENTAUR_OF_ATTENTION	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	STOWAWAY	DRAGZILLA	DRAGZILLA	DRAGZILLA	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	SPIKEY_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MAGIC_DRAGON	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	MEDUSA	COSMIC_ELF	COSMIC_ELF	COSMIC_ELF	PIRATE	PIRATE	PIRATE	UNICORGI	UNICORGI	UNICORGI	UNICORGI	UNICORGI	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	CURSED_STATUE	DUST_DEVIL	DUST_DEVIL	DUST_DEVIL	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	DEMON_TOTEM	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	KRAKEN_KING	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	DRAGZILLA	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BROZERKER	BANSHEE	BANSHEE	BANSHEE
FIGHT_PIT$2	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	ETERNAL_ENCHANTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	SUN_SEEKER	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	AQUATIC_MAN	BANSHEE	BANSHEE	BANSHEE	BANSHEE	BANSHEE	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	ANGEL_DRAGON	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	POLEMASTER	UNICORGI	UNICORGI	UNICORGI	UNICORGI	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	BARDBARIAN	BARDBARIAN	BARDBARIAN	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	ELECTROYETI	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	VILE_BILE	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	VULTURE_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	PLANT_SOUL	PLANT_SOUL	PLANT_SOUL
GUILD_STORE$0	GENIE	GENIE	GENIE	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DRAGON_LADY	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	DUNGEON_MAN	VOID_WYVERN	VOID_WYVERN	VOID_WYVERN	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	DWARVEN_ARCHER	SKELETON_KING	SKELETON_KING	SKELETON_KING	SKELETON_KING	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	UNSTABLE_UNDERSTUDY	RABID_DRAGON	RABID_DRAGON	RABID_DRAGON	RAGING_REVENANT	RAGING_REVENANT	RAGING_REVENANT	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	GROOVY_DRUID	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BANSHEE	BANSHEE	BANSHEE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BURNT_ONE	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CRIMSON_WITCH	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	CYCLOPS_WIZARD	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	BONE_DRAGON	DEEP_DRAGON	DEEP_DRAGON	DEEP_DRAGON
