	BASE_VALUE	UP_POWER_DELTA	DOWN_POWER_DELTA	UP_BACKOFF	DOWN_BACKOFF
1_1	0.7T + 0A	1.1	0.9	0.05	-0.05
1_2	0.8T + 0A	1.1	0.9	0.05	-0.05
1_3	0.9T + 0A	1.1	0.9	0.05	-0.05
2_1	0.7T + 0A	1.1	0.9	0.05	-0.05
2_2	0.8T + 0A	1.1	0.9	0.05	-0.05
2_3	0.9T + 0A	1.1	0.9	0.05	-0.05
3_1	0.7T + 0A	1.1	0.9	0.05	-0.05
3_2	0.8T + 0A	1.1	0.9	0.05	-0.05
3_3	0.9T + 0A	1.1	0.9	0.05	-0.05
4_1	0.7T + 0A	1.1	0.9	0.05	-0.05
4_2	0.8T + 0A	1.1	0.9	0.05	-0.05
4_3	0.9T + 0A	1.1	0.9	0.05	-0.05
5_1	0.7T + 0A	1.1	0.9	0.05	-0.05
5_2	0.8T + 0A	1.1	0.9	0.05	-0.05
5_3	0.9T + 0A	1.1	0.9	0.05	-0.05
6_1	0.7T + 0A	1.1	0.9	0.05	-0.05
6_2	0.8T + 0A	1.1	0.9	0.05	-0.05
6_3	0.9T + 0A	1.1	0.9	0.05	-0.05
7_1	0.7T + 0A	1.1	0.9	0.05	-0.05
7_2	0.8T + 0A	1.1	0.9	0.05	-0.05
7_3	0.9T + 0A	1.1	0.9	0.05	-0.05
8_1	0.7T + 0A	1.1	0.9	0.05	-0.05
8_2	0.8T + 0A	1.1	0.9	0.05	-0.05
8_3	0.9T + 0A	1.1	0.9	0.05	-0.05
9_1	0.7T + 0A	1.1	0.9	0.05	-0.05
9_2	0.8T + 0A	1.1	0.9	0.05	-0.05
9_3	0.9T + 0A	1.1	0.9	0.05	-0.05
10_1	0.7T + 0A	1.1	0.9	0.05	-0.05
10_2	0.8T + 0A	1.1	0.9	0.05	-0.05
10_3	0.9T + 0A	1.1	0.9	0.05	-0.05
11_1	0.7T + 0A	1.1	0.9	0.05	-0.05
