	CRAFTING_GOLD	PART1_QUANTITY	PART1_TYPE	PART2_QUANTITY	PART2_TYPE	PART3_QUANTITY	PART3_TYPE	PART4_QUANTITY	PART4_TYPE
MAGIC_EIGHT_BALL	1,200	1	REEL_MAGIC_EIGHT_BALL	1	PENETRABLE_ARMOR	1	BIT_O_NIP		
POCKET_PROTECTOR	36,000	1	REEL_POCKET_PROTECTOR	1	FRAMED_DIPLOMA	1	IMPRACTICAL_CHESTPLATE		
HAMMER_OF_WICKED_BEATS	18,000	1	REEL_HAMMER_OF_WICKED_BEATS	1	EXCALIBURTREYNOLDS	1	ADAMANTIUM_TIARA		
PRETTY_SWEET_CAPE	1,200	1	REEL_PRETTY_SWEET_CAPE	1	PENETRABLE_ARMOR	1	PAPER_CROWN		
SNAZZY_VEST	300	1	RUBBER_VEST	1	BIT_O_NIP				
ROBE_OF_SHARP_COMEBACKS	5,000	1	AND_MY_AXE	1	PENETRABLE_ARMOR	1	SMARTY_PANTS		
BUTTER_KNIFE	1,200	1	STICK_ON_MOUSTACHE	1	GLOVES_OF_CRIT	1	SMARTY_PANTS		
SNAKE_OIL	5,000	1	WAND_OF_GOLD_SPARKLES	1	RAW_EGG	1	ARTIFACT_OF_UNIMAGINABLE_POWER		
ADAMANTIUM_TIARA	6,000	20	SHARD_ADAMANTIUM_TIARA						
STAFF_OF_BOSS_FIGHTING	1,500	5	SHARD_STAFF_OF_BOSS_FIGHTING						
SIDE_OF_BACON	1,200	1	REEL_SIDE_OF_BACON	1	BIT_O_NIP	2	FOAM_FINGER		
KING_JEFFS_CROSSBOW	1,200	1	BANJO_OF_DUELING	1	BIT_O_NIP	1	SMARTY_PANTS		
TEN_FOOT_POLE	1,200	1	REEL_TEN_FOOT_POLE	1	BLOODY_BAT	1	ENCHANTED_ELBOW_PADS		
TOME_OF_FORBIDDEN_TRIVIA	5,000	1	REEL_TOME_OF_FORBIDDEN_TRIVIA	1	SACRED_CODEX	1	PROTEIN_POWDER		
TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	18,000	2	TOME_OF_FORBIDDEN_TRIVIA						
TOME_OF_FORBIDDEN_TRIVIA_3_ORDER	36,000	2	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER						
IMPRACTICAL_CHESTPLATE	1,500	5	SHARD_IMPRACTICAL_CHESTPLATE						
