	CATEGORY	RARITY	REQUIRED_LEVEL	CONTENT_UPDATE	VEND_VALUE	GOLD_PRICE	DIAMOND_PRICE	FIGHT_PIT_TOKEN_PRICE	ENCHANT_POINTS	EXP_GIVEN	STRENGTH	INTELLECT	AGILITY	MAX_HP	ATTACK_DAMAGE	MAGIC_POWER	ARMOR	MAGIC_RESISTANCE	PHYSICAL_CRIT	MAGIC_CRIT	HP_REGEN	ENERGY_REGEN	LIFE_STEAL_RATING	DODGE	IGNORE_MAGIC_RESISTANCE	IMPROVE_HEALING	ARMOR_PENETRATION	ENERGY_CONSUMPTION_REDUCTION	TENACITY	ACCURACY	SKILL_LEVEL
ADAMANTIUM_TIARA	GEAR	PURPLE	48	R0_2	10,500	222,500	215	800	90		10	10	10																		
ADVENTURERS_RIDES	GEAR	CYAN	145	R2_17	408,000	12,240,000	2,400	10,285	500		250		880	10000					500												
ADVENTURERS_STARTER_PACK	MISC	ORANGE	79	R2_1	50,000	195,000	3,000	1,000																							
AGED_DRAGON_MILK	GEAR	ORANGE	124	R2_13	100,000	3,821,500	830	4,250	500							1111									120						
ALCHEMY_COST_RESET	MISC	PURPLE		R1			100	500																							
AMULET_OF_CONCENTRATED_AWESOME	GEAR	ORANGE	97	R2_5	234,375	1,850,500	3,485	2,750	500				85												40						
ANCIENT_CODE	GEAR	CYAN	130	R2_14	288,000	8,670,000	1,700	8,500	500			900									3000									200	10
ANCIENT_COIN	GEAR	RED	151	R2_21	1,524,000	15,275,000	2,350	11,750	500							2400		200											100		
ANCIENT_TOME_OF_OCCULT_NONSENSE	GEAR	ORANGE	98	R2_5	78,125	1,891,500	275	2,750	100																						3
AND_MY_AXE	GEAR	BLUE	21	R1	3,000	19,000	80	190	11						18																
ANNIVERSARY_1000TH_RESKIN	MISC	WHITE		R1																											
ANTI_MAGIC_SHIELD	GEAR	ORANGE	82	R2_1	40,625	1,109,500	275	1,900	100		30							10													
ARCANE_SLACKS	GEAR	GREEN	15	R1	492	7,300	85	115	7		3	3	3				3					32									
ARTIFACT_OF_UNIMAGINABLE_POWER	GEAR	GREEN	13	R1	600	4,550	9	75	6					200		18															
AUTO_FLUTE	GEAR	ORANGE	122	R2_13	100,000	3,639,500	830	4,250	500			360										1000								100	1
AXE_OF_GRATUITOUS_GUITAR_SOLOS	GEAR	ORANGE	87	R2_2	50,000	1,325,000	275	2,250	100			55				100															
AXE_OF_GRINDING	GEAR	ORANGE	96	R2_5	234,375	1,795,000	3,540	3,000	500				90														50.0				
AXES_OF_DUAL_WIELDING	GEAR	BLUE	35	R1	2,050	87,000	205	430	32		16		16	12					60												
BAG_O_HAMMERS	GEAR	BLUE	26	R1	1,025	35,750	105	500	16		16				10																
BALANCE_OF_LIFE	GEAR	CYAN	150	R2_18	3,054,000	30,550,000	4,700	21,150	500		999	999	999		1111	1111															
BANANA_PEEL_MOUNTAIN	GEAR	RED	153	R2_21	1,524,000	15,275,000	2,350	10,575	500				300	15500										280							
BANJO_OF_DUELING	GEAR	GREEN	10	R1	450	2,100	9	40	4						10				25												
BEARLY_THERE_BOOTS	GEAR	ORANGE	114	R2_9	450,000	2,973,500	830	3,750	500		120	120	120											20							5
BELL_OF_SILENCE	GEAR	ORANGE	121	R2_13	100,000	3,551,000	830	4,000	500					800				70						200					100		1
BESSIES_BANE	GEAR	WHITE	10	R1	225	2,100	9	40	4						9																
BIG_STABBY_SPEAR	GEAR	PURPLE	70	R1_2	51,500	697,500	1,260	1,400	500						100												30				
BIT_O_NIP	GEAR	WHITE	2	R1	162	150	9	10	2													30									
BLACKBERRY_JAM	GEAR	RED	153	R2_22	1,524,000	15,275,000	2,350	10,575	500			5	4	1																	
BLACKSMITH_BREW	GEAR	CYAN	130	R2_14	288,000	8,670,000	1,700	7,650	500		900																				
BLACKSTEEL_BLADE	GEAR	PURPLE	74	R1_3	60,000	819,000	925	1,890	500					250	85												14				
BLISSFUL_IGNORANCE	GEAR	GREEN	18	R1	975	12,000	55	150	8									12			180										
BLOODY_BAT	GEAR	WHITE	9	R1	262	1,750	50	30	4		6	3	3		3																
BLUNT_BLADE	GEAR	ORANGE	125	R2_13	100,000	3,914,500	830	4,500	500		600																				
BONE_CRUSHING_PLIERS	GEAR	CYAN	144	R2_17	234,000	7,140,000	1,400	5,335	500		200					800			300				100								
