	BASE_GOLD	TOTAL_GOLD	COST
1	0	B+20000+100L	10
2	7122		20
3	11288		20
4	14244		20
5	16537		40
6	18410		40
7	19994		40
8	21366		40
9	22576		40
10	23659		40
11	24638		80
12	25532		80
13	26355		80
14	27116		80
15	27825		80
16	28488		80
17	29111		80
18	29699		80
19	30254		80
20	30781		80
21	31282		80
22	31760		80
23	32217		160
24	32655		160
25	33074		160
26	33477		160
27	33865		160
28	34238		160
29	34599		160
30	34947		160
31	35284		160
32	35610		160
33	35927		160
34	36233		160
35	36531		160
36	36821		160
37	37102		160
38	37376		160
39	37643		160
40	37903		160
41	38157		160
42	38405		160
43	38646		160
44	38883		160
45	39113		160
46	39339		160
47	39560		320
48	39777		320
49	39988		320
50	40196		320
51	40400		320
52	40599		320
53	40795		320
54	40987		320
55	41175		320
56	41360		320
57	41542		320
58	41721		320
59	41897		320
60	42069		320
61	42239		320
62	42406		320
63	42571		320
64	42733		320
65	42892		320
66	43049		320
67	43203		320
68	43355		320
69	43505		320
70	43653		320
71	43799		320
72	43943		320
73	44084		320
74	44224		320
75	44362		320
76	44498		320
77	44633		320
78	44765		320
79	44896		320
80	45025		320
81	45153		320
82	45279		320
83	45404		320
84	45527		320
85	45648		320
86	45768		320
87	45887		320
88	46005		320
89	46121		320
90	46236		320
91	46349		320
92	46461		320
93	46572		320
94	46682		320
95	46791		640
96	46899		640
97	47005		640
98	47111		640
99	47215		640
100	47318		640
101	47420		640
102	47522		640
103	47622		640
104	47721		640
105	47819		640
106	47917		640
107	48013		640
108	48109		640
109	48204		640
110	48297		640
111	48390		640
112	48483		640
113	48574		640
114	48664		640
115	48754		640
116	48843		640
117	48931		640
118	49019		640
119	49105		640
120	49191		640
121	49277		640
122	49361		640
123	49445		640
124	49528		640
125	49611		640
126	49693		640
127	49774		640
128	49855		640
129	49935		640
130	50014		640
131	50093		640
132	50171		640
133	50248		640
134	50325		640
135	50402		640
136	50478		640
137	50553		640
138	50628		640
139	50702		640
140	50775		640
141	50849		640
142	50921		640
143	50993		640
144	51065		640
145	51136		640
146	51207		640
147	51277		640
148	51346		640
149	51416		640
150	51484		640
151	51553		640
152	51620		640
153	51688		640
154	51755		640
155	51821		640
156	51887		640
157	51953		640
158	52018		640
159	52083		640
160	52147		640
161	52211		640
162	52275		640
163	52338		640
164	52401		640
165	52464		640
166	52526		640
167	52587		640
168	52649		640
169	52710		640
170	52770		640
171	52831		640
172	52891		640
173	52950		640
174	53009		640
175	53068		640
176	53127		640
177	53185		640
178	53243		640
179	53300		640
180	53358		640
181	53415		640
182	53471		640
183	53527		640
184	53583		640
185	53639		640
186	53695		640
187	53750		640
188	53804		640
189	53859		640
190	53913		640
191	53967		1280
192	54021		1280
193	54074		1280
194	54127		1280
195	54180		1280
196	54233		1280
197	54285		1280
198	54337		1280
199	54389		1280
200	54440		1280
201	54491		1280
202	54542		1280
203	54593		1280
204	54644		1280
205	54694		1280
206	54744		1280
207	54794		1280
208	54843		1280
209	54892		1280
210	54942		1280
211	54990		1280
212	55039		1280
213	55087		1280
214	55135		1280
215	55183		1280
216	55231		1280
217	55278		1280
218	55326		1280
219	55373		1280
220	55420		1280
221	55466		1280
222	55513		1280
223	55559		1280
224	55605		1280
225	55650		1280
226	55696		1280
227	55741		1280
228	55787		1280
229	55831		1280
230	55876		1280
231	55921		1280
232	55965		1280
233	56009		1280
234	56053		1280
235	56097		1280
236	56141		1280
237	56184		1280
238	56228		1280
239	56271		1280
240	56314		1280
241	56356		1280
242	56399		1280
243	56441		1280
244	56483		1280
245	56525		1280
246	56567		1280
247	56609		1280
248	56650		1280
249	56692		1280
250	56733		1280
251	56774		1280
252	56815		1280
253	56856		1280
254	56896		1280
255	56936		1280
256	56977		1280
257	57017		1280
258	57057		1280
259	57096		1280
260	57136		1280
261	57175		1280
262	57215		1280
263	57254		1280
264	57293		1280
265	57332		1280
266	57370		1280
267	57409		1280
268	57447		1280
269	57486		1280
270	57524		1280
271	57562		1280
272	57600		1280
273	57637		1280
274	57675		1280
275	57712		1280
276	57750		1280
277	57787		1280
278	57824		1280
279	57861		1280
280	57897		1280
281	57934		1280
282	57971		1280
283	58007		1280
284	58043		1280
285	58079		1280
286	58115		1280
287	58151		1280
288	58187		1280
289	58223		1280
290	58258		1280
291	58293		1280
292	58329		1280
293	58364		1280
294	58399		1280
295	58434		1280
296	58468		1280
297	58503		1280
298	58538		1280
299	58572		1280
300	58606		1280
301	58641		1280
