	PROPERTY	OPERATION	VALUE	EXTRA	PROGRESS_NUM	PROGRESS_DENOM	CAMPAIGN_TYPE	CAMPAIGN_CHAPTER	CAMPAIGN_LEVEL
Never	SERVER_TIME	EQUAL	-1						
RepeatOnly	QUEST_COMPLETION_COUNT	NOT_ZERO		CURRENT					
Once	QUEST_COMPLETION_COUNT	ZERO		CURRENT					
FollowUp	QUEST_COMPLETION_COUNT	NOT_ZERO		PREVIOUS					
OncePerDay	QUEST_LAST_COMPLETED	NOT_SAME_EVENT_DAY	U	CURRENT					
HasMonthlyCard	USER_COUNT	GREATER	0	MONTHLY_DIAMOND_DAYS					
After10am	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	10H						
After12pm	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	12H						
After4pm	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	16H						
After6pm	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	18H						
After7pm	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	19H						
After8pm	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	20H						
After9pm	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	21H						
Before2pm	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	14H						
Before8pm	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	20H						
Before11pm	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	23H						
6pmStaminaClaimed	QUEST_LAST_COMPLETED	SAME_EVENT_DAY	U	3					
6pmStaminaClaimedOrAfter8pm		OR		6pmStaminaClaimed, After8pm					
Before12pmFinish	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	12H+Q*H						
Before6pmFinish	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	18H+Q*H						
After6pmFinish	USER_TZ_TIME_OF_DAY	GREATER_OR_EQUAL	18H+Q*H						
Before9pmFinish	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	21H+Q*H						
6pmStaminaClaimedOrAfter6pmFinish		OR		6pmStaminaClaimed, After6pmFinish					
Before1am	USER_TZ_TIME_OF_DAY	LESS_OR_EQUAL	1H						
After9pmOrBefore1am		OR		After9pm, Before1am					
NormalVIPDaily3		AND		Before9pmFinish, After7pm, 6pmStaminaClaimedOrAfter6pmFinish					
OverflowVIPDaily3		AND		VIP19,Before1am					
VIPDaily3Claimable		OR		NormalVIPDaily3, OverflowVIPDaily3					
QuestCompleted	QUEST_COMPLETION_COUNT	NOT_ZERO		QUEST_EXTRA					
QuestCompletedToday	QUEST_LAST_COMPLETED	SAME_EVENT_DAY	U	QUEST_EXTRA					
DailyUses>=1	DAILY_USES	GREATER_OR_EQUAL	1	QUEST_EXTRA					
DailyUses>=2	DAILY_USES	GREATER_OR_EQUAL	2	QUEST_EXTRA					
DailyUses>=3	DAILY_USES	GREATER_OR_EQUAL	3	QUEST_EXTRA					
DailyUses>=5	DAILY_USES	GREATER_OR_EQUAL	5	QUEST_EXTRA					
DailyUses>=8	DAILY_USES	GREATER_OR_EQUAL	8	QUEST_EXTRA					
DailyUses>=10	DAILY_USES	GREATER_OR_EQUAL	10	QUEST_EXTRA					
DailyUses>=15	DAILY_USES	GREATER_OR_EQUAL	15	QUEST_EXTRA					
DailyUses>=25	DAILY_USES	GREATER_OR_EQUAL	25	QUEST_EXTRA					
DailyUses>=50	DAILY_USES	GREATER_OR_EQUAL	50	QUEST_EXTRA					
VIPn	VIP_LEVEL	GREATER_OR_EQUAL	QUEST_VALUE						
VIP1	VIP_LEVEL	GREATER_OR_EQUAL	1						
VIP2	VIP_LEVEL	GREATER_OR_EQUAL	2						
VIP3	VIP_LEVEL	GREATER_OR_EQUAL	3						
VIP4	VIP_LEVEL	GREATER_OR_EQUAL	4						
VIP5	VIP_LEVEL	GREATER_OR_EQUAL	5						
VIP6	VIP_LEVEL	GREATER_OR_EQUAL	6						
VIP7	VIP_LEVEL	GREATER_OR_EQUAL	7						
VIP8	VIP_LEVEL	GREATER_OR_EQUAL	8						
VIP9	VIP_LEVEL	GREATER_OR_EQUAL	9						
VIP10	VIP_LEVEL	GREATER_OR_EQUAL	10						
VIP11	VIP_LEVEL	GREATER_OR_EQUAL	11						
VIP12	VIP_LEVEL	GREATER_OR_EQUAL	12						
VIP13	VIP_LEVEL	GREATER_OR_EQUAL	13						
VIP14	VIP_LEVEL	GREATER_OR_EQUAL	14						
VIP15	VIP_LEVEL	GREATER_OR_EQUAL	15						
VIP19	VIP_LEVEL	GREATER_OR_EQUAL	19						
TLn	TEAM_LEVEL	GREATER_OR_EQUAL	QUEST_VALUE						
TL1	TEAM_LEVEL	GREATER_OR_EQUAL	1						
TL2	TEAM_LEVEL	GREATER_OR_EQUAL	2						
TL3	TEAM_LEVEL	GREATER_OR_EQUAL	3						
TL4	TEAM_LEVEL	GREATER_OR_EQUAL	4						
TL5	TEAM_LEVEL	GREATER_OR_EQUAL	5						
TL6	TEAM_LEVEL	GREATER_OR_EQUAL	6						
TL7	TEAM_LEVEL	GREATER_OR_EQUAL	7						
TL8	TEAM_LEVEL	GREATER_OR_EQUAL	8						
TL9	TEAM_LEVEL	GREATER_OR_EQUAL	9						
