	NODE	WEIGHT	QUANTITY	RESULT	BEHAVIOR
1	DISPLAY	1	1	<SLOT_A>,<SLOT_B>,<SLOT_B>,<SLOT_B>,<SLOT_B>,<SLOT_B>,<EXP_ITEM>,<GOLD_ITEM>	NoDups
2	ROOT	1	1	<EXP_ITEM>,<GOLD_ITEM>,<SLOT_A>,<SLOT_B>,<SLOT_B>,<SLOT_B>	
3	EXP_ITEM	1	1	EXP_DECANTER {CostScalar=0.5}	
4	EXP_ITEM	1	3	EXP_DECANTER {CostScalar=0.5}	
5	EXP_ITEM	1	9	EXP_DECANTER {CostScalar=0.5}	
6	EXP_ITEM	1	27	EXP_DECANTER {CostScalar=0.5}	
7	GOLD_ITEM	1	1	SILVER_ORE {CostScalar=0.5}	
8	GOLD_ITEM	1	1	VOLCANIC_ORE {CostScalar=0.5}	
9	GOLD_ITEM	1	1	MITHRIL_ORE {CostScalar=0.5}	
10	SLOT_A	1	1	? RunesUnlocked ? <SLOT_A_WITH_RUNES> ? <SLOT_A_NO_RUNES>	
11	SLOT_A_WITH_RUNES	1	1	<RUNE_THING>	
12	SLOT_A_NO_RUNES	1	1	<GEAR>	!ContainsUnreleasedItem(-1)
13	SLOT_B	1	1	<GEAR>	!ContainsUnreleasedItem(-1)
14	RUNE_THING	50	1	<RUNICITE>	
15	RUNE_THING	50	1	<OFFERING>	
16	RUNICITE	50	1	RUNICITE_SHARD	
17	RUNICITE	35	1	RUNICITE_STONE	
18	RUNICITE	10	1	RUNICITE_BLOCK	
19	OFFERING	1	1	OFFERING_<Rune:SET>	
20	GEAR	1	1	<_GEAR> {CostScalar=1.1}	
1000	_GEAR	1	1	<G_$TeamLevel$>	!ContainsUnreleasedItem(-1)
1001	_G_OLD	1	1	? ServerHasOrange ? <_ALL_GEAR> ? <_NO_ORANGE_GEAR>	
1002	_ALL_GEAR	333	1	<_BLUE_GEAR>	
1003	_ALL_GEAR	333	1	<_PURPLE_GEAR>	
1004	_ALL_GEAR	333	1	<_ORANGE_GEAR>	
1005	_NO_ORANGE_GEAR	333	1	<_BLUE_GEAR>	
1006	_NO_ORANGE_GEAR	333	1	<_PURPLE_GEAR>	
1007	_BLUE_GEAR	auto	1	<Gear:BLUE_FULL>	
1008	_BLUE_GEAR	auto	1	<Gear:BLUE_REEL>	
1009	_PURPLE_GEAR	auto	1	<Gear:PURPLE_FULL>	
1010	_PURPLE_GEAR	auto	1	<Gear:PURPLE_REEL>	
1011	_ORANGE_GEAR	auto	1	<Gear:ORANGE_FULL>	
1012	_GN_11	2	5	<Gear:ALL_S10_SHARD>,<Gear:ALL_P10_SHARD>	Shuffle & NumOfItems(0,1)
1013	_GN_11	8	1	<Gear:ALL_S10_REEL>,<Gear:ALL_P10_FULL>	Shuffle & NumOfItems(0,1)
1014	_GN_11	3	5	<Gear:ALL_S9_SHARD>,<Gear:ALL_P9_SHARD>	Shuffle & NumOfItems(0,1)
1015	_GN_11	12	1	<Gear:ALL_S9_REEL>,<Gear:ALL_P9_FULL>	Shuffle & NumOfItems(0,1)
1016	_GN_11	4	5	<Gear:ALL_S8_SHARD>,<Gear:ALL_P8_SHARD>	Shuffle & NumOfItems(0,1)
