	EXP_TO_NEXT_LEVEL	MAX_HERO_LEVEL	MAX_STAMINA	STAMINA_GAIN_ON_LEVEL	POOL_EXP_PER_STAMINA
1	25	10	60	0	1
2	25	11	62	20	1
3	25	11	63	20	1
4	30	12	64	20	1
5	30	12	65	20	1
6	30	13	66	20	2
7	50	13	67	25	2
8	80	14	68	25	2
9	100	14	69	25	2
10	130	15	70	25	2
11	130	15	71	25	3
12	130	16	72	30	3
13	130	16	73	30	3
14	130	17	74	30	3
15	130	17	75	30	3
16	130	18	76	30	4
17	130	19	77	30	4
18	130	20	78	30	4
19	130	21	79	30	4
20	130	22	80	30	4
21	160	23	81	30	5
22	190	24	82	30	5
23	220	24	83	30	5
24	250	25	84	30	5
25	280	25	85	30	5
26	310	26	86	40	6
27	340	27	87	40	6
28	370	28	88	40	6
29	430	29	89	40	6
30	500	30	90	40	6
31	575	31	91	50	7
32	650	32	92	50	7
33	725	33	93	50	7
34	800	34	94	50	7
35	900	35	95	50	7
36	1100	36	96	60	8
37	1200	37	97	60	8
38	1300	38	98	60	8
39	1400	39	99	60	8
40	1500	40	100	60	8
41	1600	41	101	70	9
42	1700	42	102	70	9
43	1800	43	103	70	9
44	1900	44	104	70	9
45	2000	45	105	70	9
46	2100	46	106	80	10
47	2200	47	107	80	10
48	2300	48	108	80	10
49	2400	49	109	80	10
50	2500	50	110	80	10
51	2600	51	111	90	11
52	2700	52	112	90	11
53	2800	53	113	90	11
54	2900	54	114	90	11
55	3000	55	115	90	11
56	3100	56	116	100	12
57	3200	57	117	100	12
58	3300	58	118	100	12
59	3400	59	119	100	12
60	3500	60	120	100	12
61	3600	61	121	110	13
62	3700	62	122	110	13
63	3800	63	123	110	13
64	3900	64	124	110	13
65	4000	65	125	110	13
66	4100	66	126	120	14
67	4300	67	127	120	14
68	4500	68	128	120	14
69	4700	69	129	120	14
70	4900	70	130	120	14
71	5100	71	131	130	15
72	5300	72	132	130	15
73	5500	73	133	130	15
74	5700	74	134	130	15
75	5900	75	135	130	15
76	6100	76	136	140	16
77	6300	77	137	140	16
78	6500	78	138	140	16
79	7000	79	139	140	16
80	7500	80	140	140	16
81	8000	81	141	150	17
82	8500	82	142	150	17
83	9000	83	143	150	17
84	9500	84	144	150	17
85	10000	85	145	150	17
86	10000	86	146	160	18
87	10000	87	147	160	18
88	10000	88	148	160	18
89	10000	89	149	160	18
90	10000	90	150	160	18
91	10000	91	151	170	19
92	10000	92	152	170	19
93	10000	93	153	170	19
94	10000	94	154	170	19
95	10000	95	155	170	19
96	10000	96	156	180	20
97	10000	97	157	180	20
98	10000	98	158	180	20
99	10000	99	159	180	20
100	11000	100	160	180	20
101	12000	101	161	190	21
102	13000	102	162	190	21
103	14000	103	163	190	21
104	15000	104	164	190	21
105	15000	105	165	190	21
106	15000	106	166	200	22
107	15000	107	167	200	22
108	15000	108	168	200	22
109	15000	109	169	200	22
110	15000	110	170	200	22
111	15000	111	171	210	23
112	15000	112	172	210	23
113	15000	113	173	210	23
114	15000	114	174	210	23
115	15000	115	175	210	23
116	15000	116	176	220	24
117	15000	117	177	220	24
118	15000	118	178	220	24
119	15000	119	179	220	24
120	15000	120	180	220	24
121	15000	121	181	230	25
122	15000	122	182	230	25
123	15000	123	183	230	25
124	15000	124	184	230	25
125	15000	125	185	230	25
126	15000	126	186	240	26
127	15000	127	187	240	26
128	15000	128	188	240	26
129	15000	129	189	240	26
130	15000	130	190	240	26
131	15000	131	191	250	27
132	15000	132	192	250	27
133	15000	133	193	250	27
134	15000	134	194	250	27
135	15000	135	195	250	27
136	15000	136	196	260	28
137	15000	137	197	260	28
138	15000	138	198	260	28
139	15000	139	199	260	28
140	15000	140	200	270	28
141	15000	141	201	270	29
142	15000	142	202	270	29
143	15000	143	203	270	29
144	15000	144	204	270	29
145	15000	145	205	270	29
146	15000	146	206	280	30
147	15000	147	207	280	30
148	15000	148	208	280	30
149	15000	149	209	280	30
150	15000	150	210	280	30
151	15000	151	211	290	31
152	15000	152	212	290	31
153	15000	153	213	290	31
154	15000	154	214	290	31
155	15000	155	215	290	31
156	15000	156	216	300	32
157	15000	157	217	300	32
158	15000	158	218	300	32
159	15000	159	219	300	32
160	15000	160	220	300	32
161	15000	161	221	310	33
162	15000	162	222	310	33
163	15000	163	223	310	33
164	15000	164	224	310	33
165	15000	165	225	310	33
