	VIP_TICKETS	RAID_TICKETS	STAMINA_PURCHASE	ALCHEMY	RUNICITE_ALCHEMY	BONUS_DIAMOND_PERCENT	ELITE_RESET	FIGHT_PIT_RESET	COLISEUM_RESET	POWER_POINTS	BOOTY_CAVES	GUILD_COIN_BONUS	GUILD_RAID_GOLD_MULT	GUILD_ADMIRATION	EXPEDITION_RUN	MERCENARY_HALL_HEROES	EXPEDITION_GOLD_BONUS	EXPEDITION_TOKEN_BONUS	USE_RAID_TICKETS	REFILL_POWER_POINTS	CLEAR_FIGHT_PIT_COOLDOWN	CLEAR_COLISEUM_COOLDOWN	RAID_10	ENCHANT_MAX	PEDDLER_PERM	DIAMONDS_ADMIRATION	BLACK_MARKET_PERM	SOUL_CHEST	FAST_FORWARD	VIP_CHAT	WAR_TOKEN_BONUS	TEMPLE_TOKEN_MULT	BOSS_PIT_BETTER_REWARDS	RAID_CHALLENGES	RAID_MOUNTAIN	CHALLENGES_COOLDOWN	MOUNTAIN_COOLDOWN	SILVER_CHEST_GENERATION	SOULMART_RESETS	RAID_BOSS_PIT	BOSS_PIT_RUNS	ARENA_BATTLES_PER_RESET	FREE_MERCHANT_RESETS	EXTRA_STAMINA_CAP	STAMINA_HOURS	EXTRA_FREE_STAMINA	DOUBLE_RUNE_OFFERING_CHANCE	FREE_RUNE_REMOVALS	SIGN_IN_MULTIPLIER	CHALLENGE_RESETS	MOUNTAIN_RESETS	EXTRA_WAR_PICK_REWARDS	WEEKLY_FREE_ITEMS	RAID_TICKET_PURCHASE_LIMIT	MAX_LEVEL_FROM_XP	EXPERT_RESET
ZERO	0	0	2	1	2	0	0	0	0	10	2	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600000	600000	600000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	2	0	0
ONE	100	15	3	5	4	5	0	0	0	10	2	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600000	600000	600000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	2	0	0
TWO	300	30	3	20	6	7	1	0	0	10	2	0	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600000	600000	600000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	2	0	1
THREE	750	90	5	30	8	10	2	1	1	10	2	0	0	1	1	2	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	600000	600000	600000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	5	0	1
FOUR	1550	90	5	40	10	15	3	2	2	10	2	0	0	1	1	2	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	600000	600000	600000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	5	1	1
FIVE	2750	135	8	50	12	20	4	3	3	20	4	0	0	1	1	2	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	300000	300000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	8	1	2
SIX	4250	135	8	60	14	30	5	4	4	20	4	50	2	1	1	2	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	300000	300000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	8	1	3
SEVEN	5950	135	8	70	16	40	6	5	5	20	4	50	2	1	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	0	2	0	1	1	300000	300000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	8	1	3
EIGHT	7700	165	10	80	18	50	7	6	6	20	4	50	2	2	1	2	0	0	1	1	1	1	1	1	0	0	0	0	1	1	50	2	0	1	1	300000	300000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	10	1	4
NINE	9300	165	10	90	20	60	8	7	7	20	4	50	2	2	1	2	0	0	1	1	1	1	1	1	1	1	0	0	1	1	50	2	0	1	1	300000	300000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	10	1	4
TEN	12150	180	11	100	22	70	9	8	8	20	4	50	2	2	1	2	100	100	1	1	1	1	1	1	1	1	0	0	1	1	50	2	0	1	1	150000	150000	300000	0	0	1	5	0	0	2	0	0	0	1	0	0	0	0	11	1	5
