	ENEMY_LEVEL	ENEMY_STARS	ENEMY_RARITY	EXP_REWARD	ENVIRONMENT	STAGE_ONE	STAGE_TWO	STAGE_THREE
1	18	1	GREEN	165	THE_MOUNTAIN_SUMMIT	ROLLER_WARRIOR,NPC_WILDLING_ARCHER,NPC_HEALER_SPRITE	NPC_BUFF_SPRITE,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER,ROLLER_WARRIOR	NPC_WILDLING_ARCHER,[boss]BARDBARIAN,MEDUSA,NPC_HEALER_SPRITE,AQUATIC_MAN
2	34	2	BLUE	215	THE_MOUNTAIN_SUMMIT	ROLLER_WARRIOR,NPC_WILDLING_ARCHER,NPC_BUFF_SPRITE,NPC_HEALER_SPRITE	ROLLER_WARRIOR,NPC_BUFF_SPRITE,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER	BARDBARIAN,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER,MEDUSA,[boss]AQUATIC_MAN
3	58	2	BLUE_2	265	THE_MOUNTAIN_SUMMIT	ROLLER_WARRIOR,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER,NPC_WILDLING_ARCHER	ROLLER_WARRIOR,NPC_MYSTIC_WILDLING,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER	AQUATIC_MAN,NPC_HEALER_SPRITE,NPC_WILDLING_ARCHER,[boss]MEDUSA,BARDBARIAN
4	75	3	PURPLE_1	315	THE_MOUNTAIN_SUMMIT	ROLLER_WARRIOR,BARDBARIAN,NPC_WILDLING_ARCHER,NPC_WILDLING_SNIPER,NPC_HEALER_SPRITE	ROLLER_WARRIOR,MEDUSA,NPC_BUFF_SPRITE,NPC_MYSTIC_WILDLING,NPC_HEALER_SPRITE	AQUATIC_MAN,MEDUSA,NPC_BUFF_SPRITE,NPC_HEALER_SPRITE,[boss]BARDBARIAN
5	84	4	PURPLE_2	365	THE_MOUNTAIN_SUMMIT	ROLLER_WARRIOR,BARDBARIAN,MEDUSA,NPC_WILDLING_ARCHER,NPC_HEALER_SPRITE	AQUATIC_MAN,ROLLER_WARRIOR,NPC_HEALER_SPRITE,NPC_BUFF_SPRITE,MEDUSA	BARDBARIAN,AQUATIC_MAN,NPC_BUFF_SPRITE,MEDUSA,[boss]GROOVY_DRUID
6	95	5	PURPLE_3	415	THE_MOUNTAIN_SUMMIT	BARDBARIAN,ROLLER_WARRIOR,MEDUSA,NPC_WILDLING_ARCHER,NPC_HEALER_SPRITE	BARDBARIAN,ROLLER_WARRIOR,MEDUSA,NPC_WILDLING_ARCHER,NPC_HEALER_SPRITE	AQUATIC_MAN,NPC_MYSTIC_WILDLING,NPC_HEALER_SPRITE,NPC_HEALER_SPRITE,GROOVY_DRUID
7	100	5	PURPLE_4	465	THE_MOUNTAIN_SUMMIT	GROOVY_DRUID,BARDBARIAN,NPC_BUFF_SPRITE,NPC_BUFF_SPRITE,NPC_MYSTIC_WILDLING	GROOVY_DRUID,BARDBARIAN,NPC_BUFF_SPRITE,NPC_BUFF_SPRITE,NPC_MYSTIC_WILDLING	NPC_HEALER_SPRITE,ROLLER_WARRIOR,DRUIDINATRIX,NPC_MYSTIC_WILDLING,MEDUSA
8	105	5	ORANGE	515	THE_MOUNTAIN_SUMMIT	NPC_CLOUD_MONSTER,BARDBARIAN,GROOVY_DRUID,NPC_HEALER_SPRITE,NPC_BUFF_SPRITE	NPC_CLOUD_MONSTER,BARDBARIAN,GROOVY_DRUID,NPC_HEALER_SPRITE,NPC_BUFF_SPRITE	[boss]NPC_CLOUD_MONSTER,[boss]NPC_CLOUD_MONSTER,[boss]NPC_CLOUD_MONSTER,NPC_HEALER_SPRITE,DRUIDINATRIX
9	110	5	ORANGE_1	565	THE_MOUNTAIN_SUMMIT	NPC_CLOUD_MONSTER,NPC_SQUIRREL,NPC_SQUIRREL,MEDUSA,NPC_HEALER_SPRITE	NPC_CLOUD_MONSTER,NPC_CLOUD_MONSTER,SATYR,[boss]NPC_CLOUD_MONSTER,NPC_HEALER_SPRITE	NPC_CLOUD_MONSTER,NPC_SQUIRREL,BARDBARIAN,[boss]NPC_SQUIRREL,[boss]DRUIDINATRIX
10	115	5	ORANGE_2	615	THE_MOUNTAIN_SUMMIT	SATYR,SNIPER_WOLF,MEDUSA,NPC_POTTED_PLANT,NPC_POTTED_PLANT	GROOVY_DRUID,BARDBARIAN,NPC_MYSTIC_WILDLING,NPC_WILDLING_SNIPER,ROLLER_WARRIOR	RAGING_REVENANT,NPC_POTTED_PLANT,DRUIDINATRIX,NPC_HEALER_SPRITE,[boss]PLANT_SOUL
