	ONE	TWO	THREE	FOUR	FIVE	SIX
ONE	1.00	1.00	1.00	1.00	1.00	1.00
TWO	1.00	1.00	1.00	1.00	1.00	1.00
THREE	1.00	1.00	1.00	1.00	1.00	1.00
FOUR	1.00	1.00	1.00	1.00	1.00	1.00
FIVE	1.00	1.00	1.00	1.00	1.00	1.00
SIX	1.00	1.00	1.00	1.00	1.00	1.00
SEVEN	1.00	1.00	1.00	1.00	1.00	1.00
EIGHT	1.00	1.00	1.00	1.00	1.00	1.00
NINE	1.00	1.00	1.00	1.00	1.00	1.00
TEN	1.00	1.00	1.00	1.00	1.00	1.00
ELEVEN	1.00	1.00	1.00	1.00	1.00	1.00
TWELVE	1.00	1.00	1.00	1.00	1.00	1.00
THIRTEEN	1.00	1.00	1.00	1.00	1.00	1.00
FOURTEEN	1.00	1.00	1.00	1.00	1.00	1.00
FIFTEEN	1.00	1.00	1.00	1.00	1.00	1.00
