	ONE	TWO	THREE	FOUR	FIVE	SIX
ONE	100	100	100	100	100	100
TWO	130	130	130	130	130	130
THREE	160	160	160	160	160	160
FOUR	211	211	211	211	211	211
FIVE	275	275	275	275	275	275
SIX	357	357	357	357	357	357
SEVEN	500	500	500	500	500	500
EIGHT	700	700	700	700	700	700
NINE	889	889	889	889	889	889
TEN	1125	1125	1125	1125	1125	1125
ELEVEN	1429	1429	1429	1429	1429	1429
TWELVE	1833	1833	1833	1833	1833	1833
THIRTEEN	2400	2400	2400	2400	2400	2400
FOURTEEN	3250	3250	3250	3250	3250	3250
FIFTEEN	4667	4667	4667	4667	4667	4667
