	SETS
AQUATIC_MAN	BLOOD,ROCK,TREE
BARDBARIAN	LIGHTNING,ROCK
BONE_DRAGON	FIRE,TREE
BROZERKER	ROCK,TREE,MIST
CATAPULT_KNIGHT	HAIL,TREE,BLOOD
CENTAUR_OF_ATTENTION	BLOOD,FIRE
COSMIC_ELF	LIGHTNING,MIST
CRIMSON_WITCH	LIGHTNING,MIST
CYCLOPS_WIZARD	OCEAN,HAIL
DARK_DRACUL	OCEAN,HAIL
DARK_HORSE	TREE,MIST,HAIL
DEMON_TOTEM	TREE,BLOOD,ROCK
DRAGON_LADY	MIST,ROCK,TREE
DRAGZILLA	RIVER,TREE
DRUIDINATRIX	LIGHTNING,ROCK
DUST_DEVIL	OCEAN,TREE
DWARVEN_ARCHER	BLOOD,FIRE
ELECTROYETI	OCEAN,TREE
FAITH_HEALER	TREE,MIST,BLOOD
FROST_GIANT	LIGHTNING,BLOOD
GENIE	OCEAN,BLOOD
GROOVY_DRUID	RIVER,TREE
HYDRA	BLOOD,LIGHTNING
MAGIC_DRAGON	HAIL,RIVER
MEDUSA	BLOOD,RIVER
MINOTAUR	BLOOD,TREE,HAIL
MOON_DRAKE	OCEAN,ROCK
NINJA_DWARF	FIRE,HAIL
ORC_MONK	BLOOD,MIST,TREE
PIRATE	RIVER,TREE
POLEMASTER	TREE,MIST,HAIL
RABID_DRAGON	HAIL,LIGHTNING
ROLLER_WARRIOR	BLOOD,FIRE
SATYR	ROCK,MIST,TREE
SAVAGE_CUTIE	HAIL,BLOOD,MIST
SHADOW_ASSASSIN	LIGHTNING,TREE
SKELETON_KING	LIGHTNING,HAIL
SNAP_DRAGON	ROCK,BLOOD,TREE
SNIPER_WOLF	RIVER,MIST
SPIKEY_DRAGON	LIGHTNING,TREE
STORM_DRAGON	OCEAN,TREE
UNICORGI	BLOOD,LIGHTNING
UNSTABLE_UNDERSTUDY	OCEAN,ROCK
ZOMBIE_SQUIRE	BLOOD,MIST,TREE
DOPPELGANGER	TREE,ROCK,MIST
KRAKEN_KING	TREE,ROCK,MIST
STOWAWAY	FIRE,HAIL
DEEP_DRAGON	RIVER,TREE
CURSED_STATUE	LIGHTNING,HAIL
VULTURE_DRAGON	MIST,FIRE
PLANT_SOUL	TREE,RIVER
SPIDER_QUEEN	TREE,BLOOD,ROCK
RAGING_REVENANT	TREE,BLOOD,MIST
SILENT_SPIRIT	RIVER,OCEAN,TREE
BANSHEE	RIVER,LIGHTNING,OCEAN
SPECTRAL_DRAGON	RIVER,MIST,OCEAN
WEREDRAGON	TREE,ROCK,MIST
DUNGEON_MAN	OCEAN,MIST
WEE_WITCH	OCEAN,RIVER
PLAGUE_ENTREPRENEUR	LIGHTNING,FIRE,BLOOD
MISTRESS_MANICURE	OCEAN,TREE
VILE_BILE	TREE,ROCK,MIST
VOID_WYVERN	TREE,OCEAN,RIVER
BURNT_ONE	FIRE,LIGHTNING,BLOOD
BULWARK_ANGEL	TREE,ROCK,MIST
ANGEL_DRAGON	LIGHTNING,RIVER,OCEAN
ANGELIC_HERALD	RIVER,OCEAN,MIST
TOMB_ANGEL	LIGHTNING,RIVER,OCEAN
DRAGON_SLAYER	MIST,ROCK,TREE
ETERNAL_ENCHANTER	OCEAN,RIVER,MIST
GRAND_HUNTRESS	LIGHTNING,RIVER,FIRE
TRIPLE_THREAT	OCEAN,FIRE,TREE
LAST_DEFENDER	TREE,MIST,ROCK
SOJOURNER_SORCERESS	RIVER,LIGHTNING,ROCK
KARAOKE_KING	OCEAN,TREE,ROCK
SHADOW_OF_SVEN	TREE,FIRE,OCEAN
FORGOTTEN_DRAGON	TREE,ROCK,MIST
STEPLADDER_BROTHERS	FIRE,BLOOD
SUN_SEEKER	TREE,ROCK,MIST
BLACK_WING	OCEAN,ROCK,HAIL
UNRIPE_MYTHOLOGY	ROCK,RIVER
GREED_DRAGON	TREE,FIRE,BLOOD
ANCIENT_DWARF	TREE,FIRE,BLOOD
DIGGER_MOLE	TREE,MIST,ROCK
SADISTIC_DANCER	MIST,RIVER,ROCK
SNAPPER_BONE	TREE,ROCK,MIST
WHITE_TIGRESS	RIVER,BLOOD
VERMILION_PRIESTESS	OCEAN,MIST
PCH_ANUBIS_DRAGON	RIVER,MIST
ABYSS_DRAGON	LIGHTNING,HAIL
UMLAUT_THE_FIRST	TREE,ROCK
CLAW_MAN	TREE,BLOOD,ROCK
DARK_HERO	LIGHTNING,MIST
