	ONE	TWO	THREE	FOUR	FIVE	SIX
ZERO	25	75	200	750	2,500	5,000
ONE	125	175	300	850	2,600	5,100
TWO	255	305	430	980	2,730	5,230
THREE	415	465	590	1,140	2,890	5,390
FOUR	602	652	777	1,327	3,077	5,577
FIVE	831	881	1,006	1,556	3,306	5,806
SIX	1,110	1,160	1,285	1,835	3,585	6,085
SEVEN	1,481	1,531	1,656	2,206	3,956	6,456
EIGHT	1,972	2,022	2,147	2,697	4,447	6,947
NINE	2,550	2,600	2,725	3,275	5,025	7,525
TEN	3,227	3,277	3,402	3,952	5,702	8,202
ELEVEN	4,020	4,070	4,195	4,745	6,495	8,995
TWELVE	4,959	5,009	5,134	5,684	7,434	9,934
THIRTEEN	6,090	6,140	6,265	6,815	8,565	11,065
FOURTEEN	7,506	7,556	7,681	8,231	9,981	12,481
FIFTEEN	9,398	9,448	9,573	10,123	11,873	14,373
