	STAT	MAX_VALUE
MAX_HP	18*S	
ATTACK_DAMAGE	_S*S + _I*I + (_A+0.4)*A	
MAGIC_POWER	2.4*I	
ARMOR	0.15*S + 0.075*A	
MAGIC_RESISTANCE	0.1*I	
PHYSICAL_CRIT	0.4*A	
CRIT_DAMAGE_BONUS	2	
BASHING_DMG_AMP	1	
PIERCING_DMG_AMP	1	
SLASHING_DMG_AMP	1	
WATER_DMG_AMP	1	
NECROTIC_DMG_AMP	1	
TOXIC_DMG_AMP	1	
ELECTRICAL_DMG_AMP	1	
FIRE_DMG_AMP	1	
ATTACK_SPEED_MODIFIER	1	3
MOVEMENT_SPEED_MODIFIER	1	3
MAX_ENERGY	1000	
ENERGY_WHEN_ATTACKED	90	
ENERGY_CONSUMPTION_REDUCTION	0	0.5
COOLDOWN_REDUCTION	0	0.5
IMPROVE_HEALING	0	5
HOLY_DMG_AMP	1	
