	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	LOADED_DIE	LOADED_DIE	ENCHANTED_ELBOW_PADS	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	CHUNKY_FEMUR	CHUNKY_FEMUR	FINE_BRIE	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	THE_POWER_OF_MEDICINE	WAND_OF_GOLD_SPARKLES	SMARTY_PANTS	MELTY_CHOCOLATE_BAR	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	GENTLEMENS_CLUB	SACRED_CODEX	SIDE_OF_BACON	CHUNKY_FEMUR	BUTTER_KNIFE
BLUE_1	THE_COMPENSATOR	NECRONOMICON	KING_JEFFS_CROSSBOW	LASER_POINTER	SMARTY_PANTS	BUTTER_KNIFE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	ROD_OF_TASING	THINKING_CAP	STAFF_OF_BOSS_FIGHTING	HEMP_BRACELET	BUTTER_KNIFE
PURPLE	THE_1_RING	HAMMER_OF_WICKED_BEATS	LASER_POINTER	SACRED_CODEX	CHUNKY_FEMUR	BUTTER_KNIFE
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	ADAMANTIUM_TIARA	NECRONOMICON	SMARTY_PANTS	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	TOME_OF_NASTY_BEHAVIOR	TOME_OF_FORBIDDEN_TRIVIA	ROD_OF_WITTY_PARTY_BANTER	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_3	LASER_POINTER_4_ORDER	WIZARDY_FOR_IDIOTS	MITHRIL_OREEAL	SHOT_IN_THE_ARM	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	POCKET_PROTECTOR	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR
ORANGE	RATTLING_SABRE	PHOTO_BOMB	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	DECODER_RING_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	PETER_PIPERS_PEPPER_SPRAY	BLACKSTEEL_BLADE	DECODER_RING_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	UNTESTED_JETPACK	CHAMPIONSHIP_BELT	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	GLASS_CANNON	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	CHAMPIONSHIP_BELT
ORANGE_6	BEARLY_THERE_BOOTS	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	GREAT_HORNED_HORN	GLASS_CANNON	CHAMPIONSHIP_BELT	RING_OF_ILL_WILL
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	FEATHER_WEIGHT_PAULDRONS	TRIASSIC_TRINKET	MAD_GODS_MUG	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	SOUL_FOR_POWER_VOLUME_45	OGRES_BATTERING_RAM	DRAGON_BLANKIE	RINGS_OF_A_FEATHER	BEARLY_THERE_BOOTS	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	MAD_GODS_MUG	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	SAND_STORM	WILDYS_HAT
RED						
