	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	MY_FIRST_SHIELD	PAPER_CROWN	ENCHANTED_ELBOW_PADS	RUBBER_VEST
GREEN	RAW_EGG	GOBLIN_WHACKER	BESSIES_BANE	GOBLIN_GROG	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	THONG_OF_VITALITY	SNAZZY_VEST	STICK_ON_MOUSTACHE
BLUE	SPUD_GUN	TEN_FOOT_POLE	PROTEIN_POWDER	ROD_OF_TASING	ARCANE_SLACKS	STICK_ON_MOUSTACHE
BLUE_1	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	PENETRABLE_ARMOR	FLAIL_OF_TOTAL_DEVASTATION	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_2	SUPER_SPIKEY_SPEAR	THE_UGLY_STICK	GOBLIN_WHACKER	KINDNESS	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
PURPLE	DIPLOMATIC_IMMUNITY	SPUD_GUN	BANJO_OF_DUELING	MJOLNIRBY	THE_COMPENSATOR	SOCK_FULL_O_PENNIES
PURPLE_1	LAVISHLY_ADORNED_RAPIER	THE_MAD_GODS_TRIDENT	GOBLIN_WHACKER	DIRK_OF_DISEMBOWELING	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	RACING_STRIPES	RAW_EGG	SHOVEL	MUSCLE_WAX	INTIMIDATING_BEARD
PURPLE_3	BIG_STABBY_SPEAR	ROD_OF_TASING	THONG_OF_VITALITY	LIGER_BALM	ROBE_OF_SHARP_COMEBACKS	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	EXTREME_FAD_DIET	SHOT_IN_THE_ARM_3_ORDER	SWORDY_MCEPICPANTS	SUPER_SPIKEY_SPEAR	ROD_OF_BADASSERY
ORANGE	RATTLING_SABRE	PHOTO_BOMB	PURPLE_PILLS_OF_POTENCY	HAROLDS_HOMEMADE_HALBERD	GRIEVOUS_BODILY_HARM	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	GLASS_CASE_OF_EMOTION	HELM_OF_THE_RAGING_BEAR	DUELING_KNIVES_OF_HACKENSLASH	EXTREME_FAD_DIET	BLACKSTEEL_BLADE	DECODER_RING_3_ORDER
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	HELM_OF_SCREAMING_MANFACE	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AMULET_OF_CONCENTRATED_AWESOME	HELM_OF_THE_RAGING_BEAR	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	RING_OF_ILL_WILL	GLASS_CANNON	UNTESTED_JETPACK	RATTLING_SABRE	MONSTER_HUNTER_ARMOR
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	HEARTY_CHEST	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	ENGAGEMENT_KNUCKLES	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	HAIR_OF_THE_DOG
ORANGE_8	LOST_GREAVES	POISONED_DAGGER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	HEAL_AID
CYAN	ROCKET_CLOAK	TRIASSIC_TRINKET	CAT_O_NINE_TAILS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	DRAGON_BLANKIE	POISONED_DAGGER	EYE_ON_THE_PRIZE	DODGY_JEWELRY
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MYSTERIOUS_EGG	DRAGONS_POCKET_WATCH	LOST_GREAVES	CRUDE_SNIPPERS	FLOPPIN_FLIP_FLOPS
CYAN_4		PYRAMID_POWER	NAVIGATION_TO_THE_PAST	GOOD_SLEEPING_BED	SAND_STORM	WILDYS_HAT
RED						
