	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE
GREEN	SMARTY_PANTS	CHUNKY_FEMUR	BLOODY_BAT	BIT_O_NIP	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	SHINY_BOTTLECAP	CHUNKY_FEMUR	SPARKLE_PONY_KEYCHAIN	CHUNKY_FEMUR	HIPPY_GLO_STICKS
BLUE	NECRONOMICON	SPARKLE_PONY_KEYCHAIN	MY_FIRST_SHIELD	ROD_OF_TASING	WAND_OF_GOLD_SPARKLES	BUTTER_KNIFE
BLUE_1	NECRONOMICON	SPARKLE_PONY_KEYCHAIN	MY_FIRST_SHIELD	ROD_OF_TASING	WAND_OF_GOLD_SPARKLES	BUTTER_KNIFE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	LIFESIPPER	HEMP_BRACELET	ROD_OF_TASING	STAFF_OF_BOSS_FIGHTING	SOCK_FULL_O_PENNIES
PURPLE	HAMMER_OF_WICKED_BEATS	LASER_POINTER	WAND_OF_GOLD_SPARKLES	ROD_OF_BADASSERY	STAFF_OF_BOSS_FIGHTING	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	HAMMER_OF_WICKED_BEATS	KING_JEFFS_CROSSBOW	SUPER_SPIKEY_SPEAR	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	NECRONOMICON	SACRED_CODEX	FRAMED_DIPLOMA	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	SHINY_BOTTLECAP	DIPLOMATIC_IMMUNITY	ORB_OF_EVERLASTING_FLAVOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	EXTREME_FAD_DIET	POCKET_PROTECTOR	ENIDS_EXPENSIVE_ELIXIR	ROD_OF_WITTY_PARTY_BANTER	THE_1_RING
ORANGE	RATTLING_SABRE	WAR_SANDALS	WICKED_MULLET	LOST_DISK_OF_POWER	ROD_OF_WITTY_PARTY_BANTER	MITHRIL_OREEAL
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DEERSTALKER_HAT	EXTREME_FAD_DIET	CHUGG_BOOTS	DECODER_RING_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	WAR_SANDALS	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	GLORY_SEEKER	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	AXE_OF_GRATUITOUS_GUITAR_SOLOS	YODELING_SWORD	WICKED_MULLET
ORANGE_4	SICK_MULLET	FOUR_D_GLASSES	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	MYSTICAL_ELVEN_JUNK	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	PHAT_PANTS	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	DODGY_JEWELRY	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	MAD_GODS_MUG	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	THE_SHIELD_STOPS_YOU	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	SAND_STORM	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
