	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	RUBBER_VEST	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	FREE_MANS_CROWBAR	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	RACING_STRIPES	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	DEATH_METAL_BLADE	THE_COMPENSATOR	ARCANE_SLACKS	BLISSFUL_IGNORANCE	BAG_O_HAMMERS	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	FLAIL_OF_TOTAL_DEVASTATION	VAMPIRE_BUNNYEARS	SOCK_FULL_O_PENNIES
PURPLE	SUPER_SPIKEY_SPEAR	HEAD_BANGER	SNAZZY_VEST	HAMMER_OF_WICKED_BEATS	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	FLAIL_OF_TOTAL_DEVASTATION	AND_MY_AXE	MUSSEL_MILK	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	GRIEVOUS_BODILY_HARM	SHOVEL	THONG_OF_VITALITY	CHUGG_BOOTS	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	SHOT_IN_THE_ARM_3_ORDER	DEATH_METAL_BLADE	FLAIL_OF_TOTAL_DEVASTATION	IMPRACTICAL_CHESTPLATE
ORANGE	RATTLING_SABRE	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	HAROLDS_HOMEMADE_HALBERD	LIFEDRINKER	DECODER_RING_2_ORDER
ORANGE_1	UNICORN_PUKE	HELM_OF_THE_RAGING_BEAR	DUELING_KNIVES_OF_HACKENSLASH	PETER_PIPERS_PEPPER_SPRAY	DRAGON_SCALE	DECODER_RING_3_ORDER
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	SLIGHTLY_EVIL_MAGIC_MIRROR	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	HELM_OF_THE_RAGING_BEAR	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	HAIR_OF_THE_DOG	UNTESTED_JETPACK	MYSTICAL_ELVEN_JUNK	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	ANCIENT_TOME_OF_OCCULT_NONSENSE	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	CANNON_CANOE	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	THE_HUSTLE	FRIENDZONITE	LIGHTNING_GREASE	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	GOLDEN_SLINGSHOT	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	MAI_TAI_OF_IMMUNITY	PHOENIX_TALISMAN	RUBY_FLIP_FLOPS	HEART_HEALTH_CANDY	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	MAD_GODS_MUG	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	PRICKLING_WHIP
RED						
