	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	THONG_OF_VITALITY	FINE_BRIE	BLISSFUL_IGNORANCE	BIT_O_NIP	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	NECRONOMICON	TEN_FOOT_POLE	MELTY_CHOCOLATE_BAR	MELTY_CHOCOLATE_BAR	THE_POWER_OF_MEDICINE_2_ORDER	DIRECTORS_CUT
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	THE_POWER_OF_MEDICINE_3_ORDER	MUSCLE_WAX	EXCALIBURTREYNOLDS	HAMMER_OF_WICKED_BEATS	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_1_RING	THONG_OF_VITALITY	HAROLDS_HOMEMADE_HALBERD	IMPRACTICAL_CHESTPLATE	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	HIGH_TEA	SHOT_IN_THE_ARM_3_ORDER	POCKET_PROTECTOR	MJOLNIRBY	FRAMED_DIPLOMA
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	WICKED_MULLET	LIGER_BALM	ROD_OF_WITTY_PARTY_BANTER	MITHRIL_OREEAL
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	EXTREME_FAD_DIET	CHUGG_BOOTS	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	SWEATBAND_OF_TRAINING_MONTAGES	CHAMPIONSHIP_BELT	PHOTO_BOMB	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	COSPLAY_SWORD	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	ORBITAL_KITTY	RING_OF_ILL_WILL	GLASS_CANNON	ROLL_OF_DUCT_TAPE	JAR_OF_KITTEN_TEAR	MONSTER_HUNTER_ARMOR
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	BRAIN_PILLS	THE_HOLY_PAIL	IVY_LEAGUE_HAIRCUT	CHAMPIONSHIP_BELT
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	MIND_MAP	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	BOOM_BOX	CHAMPIONSHIP_BELT	RING_OF_ILL_WILL
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	PHAT_PANTS
CYAN	FEATHER_WEIGHT_PAULDRONS	PURIFICATION_ROBE	GOLDEN_SLINGSHOT	MUNDANE_MUSHROOMS	SHOES_OF_THE_MAD_GOD	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	GIANTS_GROG	BRAIN_GUARD_9000	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	WRAITH_BARRIER	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	BELL_OF_SILENCE
CYAN_3	IRON_HELMET_OF_BIKING	MYSTERIOUS_EGG	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	SUNBLOCK_GOGGLES	MAGICAL_CREAM	WILDYS_HAT
RED						
