	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	ENCHANTED_ELBOW_PADS	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	CAPTAINS_TIGHTPANTS	BLOODY_BAT	BESSIES_BANE	GLOVES_OF_CRIT	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	MUSCLE_WAX	BLOODY_BAT	YA_VAMPIRE_SERIES	SIDE_OF_BACON	BLOODY_BAT	STICK_ON_MOUSTACHE
BLUE	LEAD_ZEPPELIN	NONSTICK_SHIELD	BLOODY_BAT	BAG_O_HAMMERS	LIFESIPPER	STICK_ON_MOUSTACHE
BLUE_1	IMPRACTICAL_CHESTPLATE	GENTLEMENS_CLUB	TEN_FOOT_POLE	THE_MAD_GODS_TRIDENT	BLISSFUL_IGNORANCE	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	ROD_OF_TASING	PENETRABLE_ARMOR	THE_COMPENSATOR	MUSCLE_WAX	DIRECTORS_CUT
PURPLE	PHILTER_OF_PURE_TESTOSTERONE	ROBE_OF_SHARP_COMEBACKS	THONG_OF_VITALITY	SWORDY_MCEPICPANTS	AXES_OF_DUAL_WIELDING	DIRECTORS_CUT
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	LEAD_ZEPPELIN	GENTLEMENS_CLUB	SHOVEL	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	DIPLOMATIC_IMMUNITY	THE_UGLY_STICK	DIRK_OF_DISEMBOWELING	LIFESIPPER	INTIMIDATING_BEARD
PURPLE_3	LIFEDRINKER	BLACKSTEEL_BLADE	SIDE_OF_BACON	MOTIVATIONAL_CASSETTE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	HIGH_TEA	SHOT_IN_THE_ARM_3_ORDER	SHOT_IN_THE_ARM	SHOVEL	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	RATTLING_SABRE	WAR_SANDALS	PURPLE_PILLS_OF_POTENCY	HAROLDS_HOMEMADE_HALBERD	LIFEDRINKER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	HIGH_TEA	MONSTER_HUNTER_ARMOR	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	SWEATBAND_OF_TRAINING_MONTAGES	CHAMPIONSHIP_BELT	SELF_PRESERVER	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	COSPLAY_SWORD	AXE_OF_GRINDING	BOWIE_KNIFE	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	FOUR_D_GLASSES	POLITICAL_PLATFORM_SHOES	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	BOOM_BOX	HEAL_AID	FLAMEY_POOFS	ANCIENT_TOME_OF_OCCULT_NONSENSE	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	CANNON_CANOE	VOLATILE_SMOOTHIE	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	GROUND_GEARS	ENGAGEMENT_KNUCKLES	HEAL_AID	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	POISONED_DAGGER	BELL_OF_SILENCE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	HEAL_AID
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	CRUDE_SNIPPERS	CREATINE_CACTUS	BOOM_BOX	CANNON_CANOE
CYAN_1	ESCUTCHEON_OF_EYES	OGRES_BATTERING_RAM	RING_OF_FIRE	POISONED_DAGGER	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	DENSE_CAKE_OF_HATE	FLOPPIN_FLIP_FLOPS	BELL_OF_SILENCE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	DANCERS_BRA	IRON_CLAWS
RED						
