	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	RUBBER_VEST	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	YA_VAMPIRE_SERIES	GOBLIN_WHACKER	FREE_MANS_CROWBAR	SNAZZY_VEST	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	VAMPIRE_BUNNYEARS	SPARKLE_PONY_KEYCHAIN	BESSIES_BANE	MUSCLE_WAX	RAW_EGG	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	THONG_OF_VITALITY	PROTEIN_POWDER	LEAD_ZEPPELIN	THE_UGLY_STICK	SOCK_FULL_O_PENNIES
BLUE_1	DEATH_METAL_BLADE	THE_COMPENSATOR	ARCANE_SLACKS	BLISSFUL_IGNORANCE	BAG_O_HAMMERS	SOCK_FULL_O_PENNIES
BLUE_2	DIRK_OF_DISEMBOWELING	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	THE_COMPENSATOR	VAMPIRE_BUNNYEARS	SOCK_FULL_O_PENNIES
PURPLE	SUPER_SPIKEY_SPEAR	THONG_OF_VITALITY	MUSCLE_WAX	HAMMER_OF_WICKED_BEATS	EXCALIBURTREYNOLDS	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_COMPENSATOR	RAW_EGG	MUSSEL_MILK	LEAD_ZEPPELIN	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	BLACKSTEEL_BLADE	LICHE_FINGER	THONG_OF_VITALITY	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	SHOT_IN_THE_ARM_3_ORDER	MJOLNIRBY	FRAMED_DIPLOMA	SHOVEL
ORANGE	RATTLING_SABRE	WAR_SANDALS	READIN_RAIN_BOW	DEAD_EYE	BIG_STABBY_SPEAR	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	PETER_PIPERS_PEPPER_SPRAY	BLACKSTEEL_BLADE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	HELM_OF_SCREAMING_MANFACE	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	BOWIE_KNIFE	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	POLITICAL_PLATFORM_SHOES	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	ENGAGEMENT_KNUCKLES	LIGHTNING_GREASE	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	BRAIN_GUARD_9000	AMULET_OF_CONCENTRATED_AWESOME	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	TRIASSIC_TRINKET	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	TRIASSIC_TRINKET	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	THE_SHIELD_STOPS_YOU	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	CRUDE_SNIPPERS	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	SUNBLOCK_GOGGLES	SAND_STORM	WILDYS_HAT
RED						
