	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	LOADED_DIE	BIT_O_NIP	PAPER_CROWN	LOADED_DIE	FINE_BRIE
GREEN	SHINY_BOTTLECAP	CHUNKY_FEMUR	BIT_O_NIP	CHUNKY_FEMUR	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	KING_JEFFS_CROSSBOW	SNAZZY_VEST	SMARTY_PANTS	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	LASER_POINTER	HEMP_BRACELET	CHUNKY_FEMUR	NECRONOMICON	ARTIFACT_OF_UNIMAGINABLE_POWER	INTIMIDATING_BEARD
BLUE_1	LASER_POINTER	GLAIVE_OF_DISMEMBERMENT	CHUNKY_FEMUR	STAFF_OF_BOSS_FIGHTING	SACRED_CODEX	INTIMIDATING_BEARD
BLUE_2	THE_1_RING	THE_COMPENSATOR	WAND_OF_GOLD_SPARKLES	TOME_OF_FORBIDDEN_TRIVIA	BLISSFUL_IGNORANCE	INTIMIDATING_BEARD
PURPLE	LASER_POINTER_2_ORDER	THINKING_CAP	WAND_OF_GOLD_SPARKLES	HAMMER_OF_WICKED_BEATS	THE_POWER_OF_MEDICINE	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	FRAMED_DIPLOMA	MUSCLE_WAX	ADAMANTIUM_TIARA	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	THE_1_RING	SACRED_CODEX	DIRK_OF_DISEMBOWELING	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_3	LASER_POINTER_4_ORDER	ROD_OF_WITTY_PARTY_BANTER	THE_COMPENSATOR	TOME_OF_NASTY_BEHAVIOR	DEAD_EYE	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	PETER_PIPERS_PEPPER_SPRAY	FRAMED_DIPLOMA	PURIFYING_TUNING_FORK	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	ROD_OF_BADASSERY
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	WIZARDY_FOR_IDIOTS	LIFEDRINKER	DECODER_RING_3_ORDER
ORANGE_1	GLASS_CASE_OF_EMOTION	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	PETER_PIPERS_PEPPER_SPRAY	MITHRIL_OREEAL	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DOUBLE_AXE	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	DANCERS_BRA	MAGICAL_WATER_BOTTLE
RED						
