	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	ENCHANTED_ELBOW_PADS	PAPER_CROWN	FOAM_FINGER	GOBLIN_GROG
GREEN	CAPTAINS_TIGHTPANTS	BLOODY_BAT	BESSIES_BANE	GLOVES_OF_CRIT	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	MUSCLE_WAX	BLOODY_BAT	YA_VAMPIRE_SERIES	SIDE_OF_BACON	BLOODY_BAT	STICK_ON_MOUSTACHE
BLUE	LEAD_ZEPPELIN	NONSTICK_SHIELD	BLOODY_BAT	BAG_O_HAMMERS	LIFESIPPER	STICK_ON_MOUSTACHE
BLUE_1	IMPRACTICAL_CHESTPLATE	GENTLEMENS_CLUB	TEN_FOOT_POLE	THE_MAD_GODS_TRIDENT	BLISSFUL_IGNORANCE	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	ROD_OF_TASING	PENETRABLE_ARMOR	THE_COMPENSATOR	MUSCLE_WAX	DIRECTORS_CUT
PURPLE	PHILTER_OF_PURE_TESTOSTERONE	ROBE_OF_SHARP_COMEBACKS	THONG_OF_VITALITY	SWORDY_MCEPICPANTS	AXES_OF_DUAL_WIELDING	DIRECTORS_CUT
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	LEAD_ZEPPELIN	GENTLEMENS_CLUB	SHOVEL	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	DIPLOMATIC_IMMUNITY	THE_UGLY_STICK	DIRK_OF_DISEMBOWELING	LIFESIPPER	INTIMIDATING_BEARD
PURPLE_3	LIFEDRINKER	BLACKSTEEL_BLADE	SIDE_OF_BACON	MOTIVATIONAL_CASSETTE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	HIGH_TEA	SHOT_IN_THE_ARM_3_ORDER	SHOT_IN_THE_ARM	SHOVEL	FLAIL_OF_TOTAL_DEVASTATION
ORANGE	MYSTICAL_ELVEN_JUNK	ANTI_MAGIC_SHIELD	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	LIFEDRINKER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	MONSTER_HUNTER_ARMOR	EXTREME_FAD_DIET	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	HELM_OF_SCREAMING_MANFACE	ANTI_MAGIC_SHIELD	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	COSPLAY_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	ORGANIC_BOOK_OF_NATURE	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	FRIENDZONITE	BOOM_BOX	HELM_OF_SCREAMING_MANFACE	VOLATILE_SMOOTHIE
ORANGE_8	BLUNT_BLADE	POISONED_DAGGER	BELL_OF_SILENCE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	GROUND_GEARS	BOOM_BOX	CANNON_CANOE
CYAN_1	ESCUTCHEON_OF_EYES	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	MAI_TAI_OF_IMMUNITY	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	GOLDEN_SLINGSHOT	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	SAND_STORM	MASK_OF_THE_ANCIENT_KING
RED						
