	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE
GREEN	SMARTY_PANTS	CHUNKY_FEMUR	MY_FIRST_SHIELD	LUCKY_ORCS_FOOT	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	TEN_FOOT_POLE	BLOODY_BAT	THONG_OF_VITALITY	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	NECRONOMICON	KING_JEFFS_CROSSBOW	RAW_EGG	LASER_POINTER	WAND_OF_GOLD_SPARKLES	BUTTER_KNIFE
BLUE_1	ROD_OF_BADASSERY	THE_COMPENSATOR	CHUNKY_FEMUR	GLAIVE_OF_DISMEMBERMENT	KING_JEFFS_CROSSBOW	BUTTER_KNIFE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA	SMARTY_PANTS	LASER_POINTER_2_ORDER	BLISSFUL_IGNORANCE	HIPPY_GLO_STICKS
PURPLE	THE_1_RING	ENIDS_EXPENSIVE_ELIXIR	IMPRACTICAL_CHESTPLATE	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	HIPPY_GLO_STICKS
PURPLE_1	POCKET_PROTECTOR	HAMMER_OF_WICKED_BEATS	KING_JEFFS_CROSSBOW	SUPER_SPIKEY_SPEAR	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	NECRONOMICON	SACRED_CODEX	FRAMED_DIPLOMA	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_3	WIZARDY_FOR_IDIOTS	MOTIVATIONAL_CASSETTE	THONG_OF_VITALITY	LASER_POINTER_4_ORDER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	EXTREME_FAD_DIET	PURIFYING_TUNING_FORK	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	POCKET_PROTECTOR	MUSSEL_MILK
ORANGE	RATTLING_SABRE	WAR_SANDALS	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	UNICORN_PUKE	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	EXTREME_FAD_DIET	MITHRIL_OREEAL	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	CHAMPIONSHIP_BELT	PHOTO_BOMB	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	HAIR_OF_THE_DOG	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	PHAT_PANTS	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	MAD_GODS_MUG	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	RINGS_OF_A_FEATHER	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	PHOENIX_TALISMAN	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	THE_SHIELD_STOPS_YOU	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4	DEDICATED_COSMIC_ELF	PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	SAND_STORM	WILDYS_HAT
RED	DEDICATED_COSMIC_ELF	END_CENTURY_FLAME_RADIATOR	DROP_OF_MOONLIGHT	BANANA_PEEL_MOUNTAIN	PORTABLE_NUTRITIOUS_DIET	ANCIENT_COIN
