	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN	ENCHANTED_ELBOW_PADS	GOBLIN_GROG
GREEN	LOAFERS_OF_ALACRITY	BLOODY_BAT	BESSIES_BANE	GOBLIN_WHACKER	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	LIFESIPPER	BESSIES_BANE	TEN_FOOT_POLE	ARCANE_SLACKS	STICK_ON_MOUSTACHE
BLUE	SPUD_GUN	GENTLEMENS_CLUB	BANJO_OF_DUELING	DECODER_RING	MACE_OF_FRIENDSHIP	SOCK_FULL_O_PENNIES
BLUE_1	THE_COMPENSATOR	FLAIL_OF_TOTAL_DEVASTATION	RAW_EGG	THE_MAD_GODS_TRIDENT	IMPRACTICAL_CHESTPLATE	SOCK_FULL_O_PENNIES
BLUE_2	SUPER_SPIKEY_SPEAR	KINDNESS	GOBLIN_WHACKER	ADAMANTIUM_TIARA	LIFESIPPER	PLUCKY_HEROINES_SHORTBOW
PURPLE	MJOLNIRBY	THE_COMPENSATOR	ARCANE_SLACKS	DIRK_OF_DISEMBOWELING	BLISSFUL_IGNORANCE	PLUCKY_HEROINES_SHORTBOW
PURPLE_1	LAVISHLY_ADORNED_RAPIER	DECODER_RING_2_ORDER	GOBLIN_WHACKER	HAMMER_OF_WICKED_BEATS	AND_MY_AXE	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	DECODER_RING_3_ORDER	LOAFERS_OF_ALACRITY	TOME_OF_NASTY_BEHAVIOR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_3	CHUGG_BOOTS	SHOVEL	LIFESIPPER	MITHRIL_OREEAL	LASER_POINTER	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	SHOT_IN_THE_ARM_3_ORDER	SWORDY_MCEPICPANTS	RING_OF_THE_SQUIRREL	ROD_OF_WITTY_PARTY_BANTER	IMPRACTICAL_CHESTPLATE
ORANGE	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	DEAD_EYE	GRIEVOUS_BODILY_HARM	DECODER_RING_2_ORDER
ORANGE_1	UNICORN_PUKE	DRAGON_SCALE	DUELING_KNIVES_OF_HACKENSLASH	RING_OF_THE_SQUIRREL	AXE_OF_GRATUITOUS_GUITAR_SOLOS	LASER_POINTER_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ANCIENT_TOME_OF_OCCULT_NONSENSE	AMULET_OF_CONCENTRATED_AWESOME	AXE_OF_GRATUITOUS_GUITAR_SOLOS	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	RING_OF_ILL_WILL	GLASS_CANNON	UNTESTED_JETPACK	MYSTICAL_ELVEN_JUNK	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LOST_CONCEPT_ART	STAY_BOARD	ANCIENT_TOME_OF_OCCULT_NONSENSE	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	DODGY_JEWELRY	PHAT_PANTS	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	AGED_DRAGON_MILK	ILLUSORY_HURDLE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	FEATHER_WEIGHT_PAULDRONS	RUBY_FLIP_FLOPS	MAD_GODS_MUG	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	BUNNY_BLADE	DRAGON_BLANKIE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	MYSTERIOUS_EGG	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	SAND_STORM	PRICKLING_WHIP
RED						
