	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FINE_BRIE
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	THONG_OF_VITALITY	FINE_BRIE	BLISSFUL_IGNORANCE	BIT_O_NIP	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	NECRONOMICON	TEN_FOOT_POLE	MELTY_CHOCOLATE_BAR	MELTY_CHOCOLATE_BAR	THE_POWER_OF_MEDICINE_2_ORDER	DIRECTORS_CUT
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	THE_POWER_OF_MEDICINE_3_ORDER	MUSCLE_WAX	EXCALIBURTREYNOLDS	HAMMER_OF_WICKED_BEATS	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_1_RING	THONG_OF_VITALITY	HAROLDS_HOMEMADE_HALBERD	IMPRACTICAL_CHESTPLATE	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	RING_OF_THE_SQUIRREL	MJOLNIRBY	SWORDY_MCEPICPANTS	ROD_OF_BADASSERY	IMPRACTICAL_CHESTPLATE
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	LOST_DISK_OF_POWER	LIFEDRINKER	MITHRIL_OREEAL
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	EXTREME_FAD_DIET	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	HELM_OF_SCREAMING_MANFACE	PHOTO_BOMB	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HELM_OF_THE_RAGING_BEAR	YODELING_SWORD	WICKED_MULLET
ORANGE_4	SICK_MULLET	VOLATILE_SMOOTHIE	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	MYSTICAL_ELVEN_JUNK	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	FEATHER_WEIGHT_PAULDRONS	PURIFICATION_ROBE	MAD_GODS_MUG	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	SOUL_FOR_POWER_VOLUME_45	OGRES_BATTERING_RAM	NAUGHTY_TAPESTRY	RINGS_OF_A_FEATHER	BRAIN_GUARD_9000	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	PURIFICATION_ROBE	FLOPPIN_FLIP_FLOPS	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DRAGONS_POCKET_WATCH	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		DRAGON_SAND_BOOTS	PYRAMID_POWER	SUNBLOCK_GOGGLES	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
