	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE
GREEN	SMARTY_PANTS	CHUNKY_FEMUR	BLOODY_BAT	BIT_O_NIP	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	TEN_FOOT_POLE	PRETTY_SWEET_CAPE	CHUNKY_FEMUR	SIDE_OF_BACON	LUCKY_ORCS_FOOT	CHAPS_OF_ENDURANCE
BLUE	NECRONOMICON	SPARKLE_PONY_KEYCHAIN	MY_FIRST_SHIELD	ROD_OF_TASING	WAND_OF_GOLD_SPARKLES	BUTTER_KNIFE
BLUE_1	TOME_OF_FORBIDDEN_TRIVIA	THONG_OF_VITALITY	BLOODY_BAT	ORB_OF_EVERLASTING_FLAVOR	CHUNKY_FEMUR	BUTTER_KNIFE
BLUE_2	THE_1_RING	SACRED_CODEX	CHUNKY_FEMUR	THE_COMPENSATOR	BLISSFUL_IGNORANCE	BUTTER_KNIFE
PURPLE	HAMMER_OF_WICKED_BEATS	LASER_POINTER	WAND_OF_GOLD_SPARKLES	ROD_OF_BADASSERY	STAFF_OF_BOSS_FIGHTING	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	THONG_OF_VITALITY	FRAMED_DIPLOMA	SHOT_IN_THE_ARM	INTIMIDATING_BEARD
PURPLE_2	DIPLOMATIC_IMMUNITY	LASER_POINTER_3_ORDER	SACRED_CODEX	ENIDS_EXPENSIVE_ELIXIR	ADAMANTIUM_TIARA	INTIMIDATING_BEARD
PURPLE_3	WIZARDY_FOR_IDIOTS	LASER_POINTER_4_ORDER	THE_COMPENSATOR	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	ORB_OF_EVERLASTING_FLAVOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	THINKING_CAP	TOME_OF_FORBIDDEN_TRIVIA
ORANGE	WIZARDY_FOR_IDIOTS	ANTI_MAGIC_SHIELD	WICKED_MULLET	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	DECODER_RING_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	RING_OF_THE_SQUIRREL	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	HEARTY_CHEST	MIND_MAP	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	MAD_GODS_MUG	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	PURIFICATION_ROBE	HEART_HEALTH_CANDY	AUTO_FLUTE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	SAND_STORM	DANCERS_BRA	WILDYS_HAT
RED						
