	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE
GREEN	RAW_EGG	CHUNKY_FEMUR	GOBLIN_GROG	WAND_OF_GOLD_SPARKLES	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	SPARKLE_PONY_KEYCHAIN	NONSTICK_SHIELD	THONG_OF_VITALITY	SHINY_BOTTLECAP	CHAPS_OF_ENDURANCE
BLUE	ORB_OF_EVERLASTING_FLAVOR	BLISSFUL_IGNORANCE	CHUNKY_FEMUR	SNAKE_OIL	SMARTY_PANTS	HIPPY_GLO_STICKS
BLUE_1	ROD_OF_BADASSERY	THE_COMPENSATOR	BIT_O_NIP	GLAIVE_OF_DISMEMBERMENT	TEN_FOOT_POLE	HIPPY_GLO_STICKS
BLUE_2	DIPLOMATIC_IMMUNITY	ADAMANTIUM_TIARA	CHUNKY_FEMUR	TOME_OF_FORBIDDEN_TRIVIA	THONG_OF_VITALITY	BUTTER_KNIFE
PURPLE	THE_1_RING	ADAMANTIUM_TIARA	CHUNKY_FEMUR	ROD_OF_WITTY_PARTY_BANTER	ARTIFACT_OF_UNIMAGINABLE_POWER	BUTTER_KNIFE
PURPLE_1	POCKET_PROTECTOR	DIRK_OF_DISEMBOWELING	STAFF_OF_BOSS_FIGHTING	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	THE_POWER_OF_MEDICINE	INTIMIDATING_BEARD
PURPLE_2	MITHRIL_OREEAL	FRAMED_DIPLOMA	SACRED_CODEX	HAMMER_OF_WICKED_BEATS	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	ENIDS_EXPENSIVE_ELIXIR	SIDE_OF_BACON	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	POCKET_PROTECTOR	OVERPOWERING_FRAGRANCE	PETER_PIPERS_PEPPER_SPRAY	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	TOME_OF_FORBIDDEN_TRIVIA
ORANGE	LOST_DISK_OF_POWER	SELF_PRESERVER	WICKED_MULLET	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	LASER_POINTER_3_ORDER
ORANGE_1	GLASS_CASE_OF_EMOTION	HEALTHY_DOSE_OF_SKEPTICISM	DEERSTALKER_HAT	PETER_PIPERS_PEPPER_SPRAY	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	LENSLESS_GLASSES	CHAMPIONSHIP_BELT	PHOTO_BOMB	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	GLASS_CANNON	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	SHOES_OF_THE_MAD_GOD	HEAL_AID	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	HEART_HEALTH_CANDY	MUNDANE_MUSHROOMS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	TRIASSIC_TRINKET	HEART_HEALTH_CANDY	AUTO_FLUTE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CRUDE_SNIPPERS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	SAND_STORM	MAGICAL_CREAM	PRICKLING_WHIP
RED						
