	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FINE_BRIE	FOAM_FINGER	FINE_BRIE	PAPER_CROWN	MY_FIRST_SHIELD
GREEN	BLOODY_BAT	RAW_EGG	BESSIES_BANE	BLOODY_BAT	SHINY_BOTTLECAP	STICK_ON_MOUSTACHE
GREEN_1	MUSCLE_WAX	EXCALIBURTREYNOLDS	BLOODY_BAT	BLISSFUL_IGNORANCE	MY_FIRST_SHIELD	STICK_ON_MOUSTACHE
BLUE	ROBE_OF_SHARP_COMEBACKS	THONG_OF_VITALITY	SIDE_OF_BACON	BAG_O_HAMMERS	PENETRABLE_ARMOR	DIRECTORS_CUT
BLUE_1	MUSSEL_MILK	IMPRACTICAL_CHESTPLATE	PROTEIN_POWDER	LEAD_ZEPPELIN	VAMPIRE_BUNNYEARS	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	MAGIC_EIGHT_BALL	RAW_EGG	THE_COMPENSATOR	THONG_OF_VITALITY	DIRECTORS_CUT
PURPLE	HAMMER_OF_WICKED_BEATS	THE_MAD_GODS_TRIDENT	EXCALIBURTREYNOLDS	DIPLOMATIC_IMMUNITY	ARTIFACT_OF_UNIMAGINABLE_POWER	DIRECTORS_CUT
PURPLE_1	POCKET_PROTECTOR	BAG_O_HAMMERS	THONG_OF_VITALITY	ENIDS_EXPENSIVE_ELIXIR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	SWORDY_MCEPICPANTS	LIFESIPPER	PHILTER_OF_PURE_TESTOSTERONE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	BIG_STABBY_SPEAR	MUSSEL_MILK	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	OVERPOWERING_FRAGRANCE	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	SUPER_SPIKEY_SPEAR	IMPRACTICAL_CHESTPLATE
ORANGE	LIGER_BALM	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	MYSTICAL_ELVEN_JUNK	LIFEDRINKER	DECODER_RING_2_ORDER
ORANGE_1	UNICORN_PUKE	MONSTER_HUNTER_ARMOR	HEALTHY_DOSE_OF_SKEPTICISM	EXTREME_FAD_DIET	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	DRAGONS_BALLZ	ANTI_MAGIC_SHIELD	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	AXE_OF_GRINDING	HEALTHY_DOSE_OF_SKEPTICISM	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	TUNNEL_VISION	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	FRIENDZONITE	PHAT_PANTS	GLORY_SEEKER	HAIR_OF_THE_DOG
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	BELL_OF_SILENCE	BRAIN_GUARD_9000	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	BONE_CRUSHING_PLIERS	DOUBLE_AXE	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED						
