	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	FOAM_FINGER	FINE_BRIE	GOBLIN_GROG	FOAM_FINGER	FREE_MANS_CROWBAR	MY_FIRST_SHIELD
GREEN	BLOODY_BAT	RAW_EGG	SHINY_BOTTLECAP	BLOODY_BAT	PROTEIN_POWDER	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	THONG_OF_VITALITY	BLOODY_BAT	AND_MY_AXE	SPARKLE_PONY_KEYCHAIN	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	LIFESIPPER	LUCKY_ORCS_FOOT	EXCALIBURTREYNOLDS	PROTEIN_POWDER	DIRECTORS_CUT
BLUE_1	MUSSEL_MILK	SNAZZY_VEST	THONG_OF_VITALITY	THE_MAD_GODS_TRIDENT	TEN_FOOT_POLE	DIRECTORS_CUT
BLUE_2	HEAD_BANGER	FLAIL_OF_TOTAL_DEVASTATION	MAGIC_EIGHT_BALL	VORPAL_BOOMERANG	BAG_O_HAMMERS	DIRECTORS_CUT
PURPLE	SUPER_SPIKEY_SPEAR	KINDNESS	BLISSFUL_IGNORANCE	SHOVEL	AXES_OF_DUAL_WIELDING	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	DIPLOMATIC_IMMUNITY	FLAIL_OF_TOTAL_DEVASTATION	MJOLNIRBY	DEATH_METAL_BLADE	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	SWORDY_MCEPICPANTS	LEAD_ZEPPELIN	PHILTER_OF_PURE_TESTOSTERONE	HAMMER_OF_WICKED_BEATS	INTIMIDATING_BEARD
PURPLE_3	GRIEVOUS_BODILY_HARM	BIG_STABBY_SPEAR	MUSSEL_MILK	DRAGON_SCALE	SUPER_SPIKEY_SPEAR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	DIPLOMATIC_IMMUNITY	MJOLNIRBY	OVERPOWERING_FRAGRANCE	DEATH_METAL_BLADE
ORANGE	RATTLING_SABRE	ANTI_MAGIC_SHIELD	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	LIFEDRINKER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	MONSTER_HUNTER_ARMOR	EXTREME_FAD_DIET	BLACKSTEEL_BLADE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	ROLL_OF_DUCT_TAPE	DRAGONS_BALLZ	ANTI_MAGIC_SHIELD	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	AXE_OF_GRINDING	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	ORGANIC_BOOK_OF_NATURE	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	EYE_ON_THE_PRIZE	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	FRIENDZONITE	HAIR_OF_THE_DOG	HELM_OF_SCREAMING_MANFACE	VOLATILE_SMOOTHIE
ORANGE_8	BLUNT_BLADE	POISONED_DAGGER	CROWNING_ACHIEVEMENT	EYE_ON_THE_PRIZE	AXE_OF_GRINDING	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	GROUND_GEARS	BOOM_BOX	MIND_MAP
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	MAI_TAI_OF_IMMUNITY	GAUNTLET_OF_THRONE	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	BONE_CRUSHING_PLIERS	DOUBLE_AXE	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	GOOD_SLEEPING_BED	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED						
