	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	FREE_MANS_CROWBAR	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN
GREEN	LOAFERS_OF_ALACRITY	GOBLIN_WHACKER	GOBLIN_GROG	SWASH_BUCKLER	SNAZZY_VEST	STICK_ON_MOUSTACHE
GREEN_1	TEN_FOOT_POLE	GOBLIN_WHACKER	FREE_MANS_CROWBAR	EXCALIBURTREYNOLDS	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
BLUE	THE_MAD_GODS_TRIDENT	PLASTIC_VAMPIRE_TEETH	GOBLIN_WHACKER	KING_JEFFS_CROSSBOW	BANJO_OF_DUELING	PLUCKY_HEROINES_SHORTBOW
BLUE_1	DEATH_METAL_BLADE	THE_COMPENSATOR	ARCANE_SLACKS	BLISSFUL_IGNORANCE	BAG_O_HAMMERS	SOCK_FULL_O_PENNIES
BLUE_2	SUPER_SPIKEY_SPEAR	KINDNESS	GOBLIN_WHACKER	ADAMANTIUM_TIARA	LIFESIPPER	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	THE_COMPENSATOR	ARCANE_SLACKS	DIRK_OF_DISEMBOWELING	BLISSFUL_IGNORANCE	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	ADAMANTIUM_TIARA	IMPRACTICAL_CHESTPLATE	DIRK_OF_DISEMBOWELING	KINDNESS	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	DECODER_RING_3_ORDER	LOAFERS_OF_ALACRITY	TOME_OF_NASTY_BEHAVIOR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_3	LAVISHLY_ADORNED_RAPIER	TOME_OF_NASTY_BEHAVIOR	LIFESIPPER	BLACKSTEEL_BLADE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	PETER_PIPERS_PEPPER_SPRAY	PURIFYING_TUNING_FORK	MJOLNIRBY	SUPER_SPIKEY_SPEAR	THE_COMPENSATOR
ORANGE	RATTLING_SABRE	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	LOST_DISK_OF_POWER	ROD_OF_WITTY_PARTY_BANTER	DECODER_RING_2_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	MONSTER_HUNTER_ARMOR	PETER_PIPERS_PEPPER_SPRAY	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	SWEATBAND_OF_TRAINING_MONTAGES	DRAGONS_BALLZ	SELF_PRESERVER	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	ANCIENT_TOME_OF_OCCULT_NONSENSE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	UNTESTED_JETPACK	JAR_OF_KITTEN_TEAR	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LOST_CONCEPT_ART	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	THE_HUSTLE	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	LOST_GREAVES	AGED_DRAGON_MILK	ILLUSORY_HURDLE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	MAD_GODS_MUG	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	DRAGON_BLANKIE	AGED_DRAGON_MILK	EYE_ON_THE_PRIZE	DODGY_JEWELRY
CYAN_2	DRAGONS_BLADE	RING_OF_TEMPTATION	BOOK_OF_IRMAC	RUBY_FLIP_FLOPS	HEART_HEALTH_CANDY	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	THE_SHIELD_STOPS_YOU	DEVILS_POT	LOST_GREAVES	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	MIRACLE_FURNACE_OF_BLACKSMITH	SAND_STORM	MASK_OF_THE_ANCIENT_KING	MAGICAL_WATER_BOTTLE
RED						
