	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	FOAM_FINGER	FINE_BRIE	FREE_MANS_CROWBAR	FOAM_FINGER	GOBLIN_GROG	MY_FIRST_SHIELD
GREEN	PAPER_CROWN	FOAM_FINGER	BLOODY_BAT	ENCHANTED_ELBOW_PADS	CAPTAINS_TIGHTPANTS	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	BLOODY_BAT	LUCKY_ORCS_FOOT	THONG_OF_VITALITY	BLOODY_BAT	DIRECTORS_CUT
BLUE	GLAIVE_OF_DISMEMBERMENT	SIDE_OF_BACON	SNAZZY_VEST	BLISSFUL_IGNORANCE	EXCALIBURTREYNOLDS	SOCK_FULL_O_PENNIES
BLUE_1	AXES_OF_DUAL_WIELDING	ROBE_OF_SHARP_COMEBACKS	PENETRABLE_ARMOR	MUSSEL_MILK	SPARKLE_PONY_KEYCHAIN	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	THE_MAD_GODS_TRIDENT	THONG_OF_VITALITY	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE	SOCK_FULL_O_PENNIES
PURPLE	HAMMER_OF_WICKED_BEATS	GLAIVE_OF_DISMEMBERMENT	EXCALIBURTREYNOLDS	AXES_OF_DUAL_WIELDING	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	MUSSEL_MILK	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	LIFESIPPER	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE	ENIDS_EXPENSIVE_ELIXIR	KINDNESS	INTIMIDATING_BEARD
PURPLE_3	LIGER_BALM	MJOLNIRBY	THONG_OF_VITALITY	BIG_STABBY_SPEAR	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	RING_OF_THE_SQUIRREL	OVERPOWERING_FRAGRANCE	MJOLNIRBY	SWORDY_MCEPICPANTS	THE_1_RING
ORANGE	LIGER_BALM	WAR_SANDALS	PURPLE_PILLS_OF_POTENCY	MYSTICAL_ELVEN_JUNK	GRIEVOUS_BODILY_HARM	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	UNICORN_PUKE	RING_OF_THE_SQUIRREL	HELM_OF_THE_RAGING_BEAR	MONSTER_HUNTER_ARMOR	BLACKSTEEL_BLADE	MITHRIL_OREEAL
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	HELM_OF_SCREAMING_MANFACE	SELF_PRESERVER	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	THE_HOLY_PAIL	AMULET_OF_CONCENTRATED_AWESOME	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	HAIR_OF_THE_DOG	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	CREATINE_CACTUS	FRIENDZONITE	HEAL_AID	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	AXE_OF_GRINDING	PHAT_PANTS
CYAN	FEATHER_WEIGHT_PAULDRONS	DENSE_CAKE_OF_HATE	MAD_GODS_MUG	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	SOUL_FOR_POWER_VOLUME_45	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	FRIENDZONITE
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	FLOPPIN_FLIP_FLOPS	CROWNING_ACHIEVEMENT
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	DEVILS_POT	BLUNT_BLADE	GOLDEN_SLINGSHOT	HEART_HEALTH_CANDY
CYAN_4	DEDICATED_DRAGON_LADY	DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED	DEDICATED_DRAGON_LADY	GOLD_RUSH	SAMURAI_SWORD	WARRIORS_HELMET	TIGER_SALVE	EXOTIC_FAN
