	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	PAPER_CROWN	FOAM_FINGER	MY_FIRST_SHIELD	FINE_BRIE
GREEN	PAPER_CROWN	FREE_MANS_CROWBAR	PROTEIN_POWDER	BLOODY_BAT	BESSIES_BANE	ENCHANTED_ELBOW_PADS
GREEN_1	RAW_EGG	STICK_ON_MOUSTACHE	MUSCLE_WAX	BLISSFUL_IGNORANCE	PROTEIN_POWDER	THONG_OF_VITALITY
BLUE	MY_FIRST_SHIELD	STICK_ON_MOUSTACHE	ROBE_OF_SHARP_COMEBACKS	RAW_EGG	SIDE_OF_BACON	BAG_O_HAMMERS
BLUE_1	PENETRABLE_ARMOR	DIRECTORS_CUT	MUSSEL_MILK	IMPRACTICAL_CHESTPLATE	PROTEIN_POWDER	AXES_OF_DUAL_WIELDING
BLUE_2	THONG_OF_VITALITY	DIRECTORS_CUT	SUPER_SPIKEY_SPEAR	GENTLEMENS_CLUB	ARTIFACT_OF_UNIMAGINABLE_POWER	THE_COMPENSATOR
PURPLE	THONG_OF_VITALITY	DIRECTORS_CUT	HAMMER_OF_WICKED_BEATS	IMPRACTICAL_CHESTPLATE	EXCALIBURTREYNOLDS	ADAMANTIUM_TIARA
PURPLE_1	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD	SANDWICH_OF_UNSURPASSED_MEATINESS	IMPRACTICAL_CHESTPLATE	BLOODY_BAT	DIPLOMATIC_IMMUNITY
PURPLE_2	LEAD_ZEPPELIN	INTIMIDATING_BEARD	LIFEDRINKER	ENIDS_EXPENSIVE_ELIXIR	THONG_OF_VITALITY	HAROLDS_HOMEMADE_HALBERD
PURPLE_3	MUSSEL_MILK	INTIMIDATING_BEARD	DRAGON_SCALE	SWORDY_MCEPICPANTS	ROBE_OF_SHARP_COMEBACKS	BIG_STABBY_SPEAR
PURPLE_4	POWER_OF_SCIENCE	EXTREME_FAD_DIET	OVERPOWERING_FRAGRANCE	MJOLNIRBY	HEAD_BANGER	SHOVEL
ORANGE	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	LIGER_BALM	LIFEDRINKER	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	MONSTER_HUNTER_ARMOR	EXTREME_FAD_DIET	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	ROLL_OF_DUCT_TAPE	HELM_OF_SCREAMING_MANFACE	ANTI_MAGIC_SHIELD	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	COSPLAY_SWORD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	ORGANIC_BOOK_OF_NATURE	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	BOOM_BOX	PHAT_PANTS	FLAMEY_POOFS	THE_HOLY_PAIL	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	FRIENDZONITE	BOOM_BOX	HELM_OF_SCREAMING_MANFACE	VOLATILE_SMOOTHIE
ORANGE_8	BLUNT_BLADE	GIANTS_GROG	BELL_OF_SILENCE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	PHAT_PANTS
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	BEARLY_THERE_BOOTS	ENGAGEMENT_KNUCKLES
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED						
