	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS
GREEN	RAW_EGG	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	MY_FIRST_SHIELD	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	SIDE_OF_BACON	BESSIES_BANE	THONG_OF_VITALITY	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
BLUE	GLAIVE_OF_DISMEMBERMENT	AND_MY_AXE	BESSIES_BANE	NECRONOMICON	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_1	THE_MAD_GODS_TRIDENT	RACING_STRIPES	PENETRABLE_ARMOR	THE_COMPENSATOR	NONSTICK_SHIELD	SOCK_FULL_O_PENNIES
BLUE_2	ADAMANTIUM_TIARA	ROD_OF_TASING	GLOVES_OF_CRIT	HEAD_BANGER	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	SHOVEL	AXES_OF_DUAL_WIELDING	LOAFERS_OF_ALACRITY	SUPER_SPIKEY_SPEAR	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_1	HAROLDS_HOMEMADE_HALBERD	THE_UGLY_STICK	GOBLIN_WHACKER	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_2	BIG_STABBY_SPEAR	HAMMER_OF_WICKED_BEATS	GOBLIN_WHACKER	GRIEVOUS_BODILY_HARM	BANJO_OF_DUELING	INTIMIDATING_BEARD
PURPLE_3	LAVISHLY_ADORNED_RAPIER	SHOVEL	THONG_OF_VITALITY	WIZARDY_FOR_IDIOTS	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	MJOLNIRBY	PURIFYING_TUNING_FORK	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE
ORANGE	JAR_OF_KITTEN_TEAR	SELF_PRESERVER	DEAD_EYE	READIN_RAIN_BOW	GRIEVOUS_BODILY_HARM	DECODER_RING_3_ORDER
ORANGE_1	UNICORN_PUKE	BOWIE_KNIFE	PETER_PIPERS_PEPPER_SPRAY	DUELING_KNIVES_OF_HACKENSLASH	DRAGON_SCALE	LASER_POINTER_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	SLIGHTLY_EVIL_MAGIC_MIRROR	WAR_SANDALS	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	MACGUFFIN_FRAGMENT_45	AMULET_OF_CONCENTRATED_AWESOME	BOWIE_KNIFE	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	GLASS_CANNON	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	CANNON_CANOE	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	THE_HUSTLE	FRIENDZONITE	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	LOST_GREAVES	AGED_DRAGON_MILK	ILLUSORY_HURDLE	STAY_BOARD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CAT_O_NINE_TAILS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	DRAGON_BLANKIE	AGED_DRAGON_MILK	EYE_ON_THE_PRIZE	DODGY_JEWELRY
CYAN_2	DRAGONS_BLADE	RING_OF_TEMPTATION	BOOK_OF_IRMAC	RUBY_FLIP_FLOPS	CLOAK_OF_THE_OWL	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	MYSTERIOUS_EGG	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CAT_O_NINE_TAILS	FLOPPIN_FLIP_FLOPS
CYAN_4		PYRAMID_POWER	NAVIGATION_TO_THE_PAST	GOOD_SLEEPING_BED	DANCERS_BRA	MAGICAL_WATER_BOTTLE
RED						
