	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	PAPER_CROWN	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS
GREEN	SPARKLE_PONY_KEYCHAIN	BLOODY_BAT	LUCKY_ORCS_FOOT	SNAZZY_VEST	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	THE_POWER_OF_MEDICINE	THONG_OF_VITALITY	FINE_BRIE	BLISSFUL_IGNORANCE	BIT_O_NIP	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	THE_POWER_OF_MEDICINE	BESSIES_BANE	NECRONOMICON	SIDE_OF_BACON	STICK_ON_MOUSTACHE
BLUE_1	NECRONOMICON	TEN_FOOT_POLE	MELTY_CHOCOLATE_BAR	MELTY_CHOCOLATE_BAR	THE_POWER_OF_MEDICINE_2_ORDER	DIRECTORS_CUT
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	THONG_OF_VITALITY	SOCK_FULL_O_PENNIES
PURPLE	THE_POWER_OF_MEDICINE_3_ORDER	MUSCLE_WAX	EXCALIBURTREYNOLDS	HAMMER_OF_WICKED_BEATS	SACRED_CODEX	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	LUCKY_ORCS_FOOT	THE_1_RING	THE_POWER_OF_MEDICINE	SOCK_FULL_O_PENNIES
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_1_RING	THONG_OF_VITALITY	HAROLDS_HOMEMADE_HALBERD	IMPRACTICAL_CHESTPLATE	INTIMIDATING_BEARD
PURPLE_3	LOST_DISK_OF_POWER	LASER_POINTER_4_ORDER	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	HIGH_TEA	SHOT_IN_THE_ARM_3_ORDER	POCKET_PROTECTOR	MJOLNIRBY	FRAMED_DIPLOMA
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	DECODER_RING_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HEALTHY_DOSE_OF_SKEPTICISM	MONSTER_HUNTER_ARMOR	PETER_PIPERS_PEPPER_SPRAY	BLACKSTEEL_BLADE	DECODER_RING_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	PHOTO_BOMB	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	GLORY_SEEKER	ANCIENT_TOME_OF_OCCULT_NONSENSE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	FOUR_D_GLASSES	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	PHAT_PANTS	FLAMEY_POOFS	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	CHAMPIONSHIP_BELT
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	DODGY_JEWELRY	PHAT_PANTS	EYE_OF_THE_BEHOLDER	HAIR_OF_THE_DOG
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	ANCIENT_CODE	TRIASSIC_TRINKET	GOLDEN_SLINGSHOT	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	OGRES_BATTERING_RAM	RING_OF_FIRE	RINGS_OF_A_FEATHER	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	PHOENIX_TALISMAN	TRIASSIC_TRINKET	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CRUDE_SNIPPERS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	SAND_STORM	IRON_CLAWS
RED						
