	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	BIT_O_NIP	PAPER_CROWN	FINE_BRIE	RUBBER_VEST
GREEN	SPARKLE_PONY_KEYCHAIN	CHUNKY_FEMUR	GOBLIN_GROG	SNAZZY_VEST	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	TEN_FOOT_POLE	SMARTY_PANTS	SIDE_OF_BACON	WAND_OF_GOLD_SPARKLES	STICK_ON_MOUSTACHE
BLUE	ORB_OF_EVERLASTING_FLAVOR	NONSTICK_SHIELD	RAW_EGG	NECRONOMICON	ARTIFACT_OF_UNIMAGINABLE_POWER	HIPPY_GLO_STICKS
BLUE_1	ROD_OF_TASING	LASER_POINTER	BLISSFUL_IGNORANCE	TOME_OF_FORBIDDEN_TRIVIA	MAGIC_EIGHT_BALL	HIPPY_GLO_STICKS
BLUE_2	THE_1_RING	THINKING_CAP	CHUNKY_FEMUR	ADAMANTIUM_TIARA	SMARTY_PANTS	HIPPY_GLO_STICKS
PURPLE	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	ROD_OF_BADASSERY	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	CHUNKY_FEMUR	HAMMER_OF_WICKED_BEATS	ORB_OF_EVERLASTING_FLAVOR	INTIMIDATING_BEARD
PURPLE_2	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER	LASER_POINTER_3_ORDER	CHUNKY_FEMUR	DIRK_OF_DISEMBOWELING	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_3	WIZARDY_FOR_IDIOTS	MOTIVATIONAL_CASSETTE	SIDE_OF_BACON	TOME_OF_NASTY_BEHAVIOR	LASER_POINTER_4_ORDER	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	ENIDS_EXPENSIVE_ELIXIR	FRAMED_DIPLOMA	ROD_OF_BADASSERY
ORANGE	WIZARDY_FOR_IDIOTS	WAR_SANDALS	PURPLE_PILLS_OF_POTENCY	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	DECODER_RING_3_ORDER
ORANGE_1	RING_OF_THE_SQUIRREL	AXE_OF_GRATUITOUS_GUITAR_SOLOS	DEERSTALKER_HAT	IVY_LEAGUE_HAIRCUT	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	PURPLE_PILLS_OF_POTENCY
ORANGE_4	SICK_MULLET	FOUR_D_GLASSES	HAIR_OF_THE_DOG	ROLL_OF_DUCT_TAPE	JAR_OF_KITTEN_TEAR	MONSTER_HUNTER_ARMOR
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BEARLY_THERE_BOOTS	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	BEARLY_THERE_BOOTS	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	MAD_GODS_MUG	GROUND_GEARS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	RINGS_OF_A_FEATHER	BRAIN_GUARD_9000	FRIENDZONITE
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	THE_SHIELD_STOPS_YOU	DOUBLE_AXE	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	SAND_STORM	DANCERS_BRA	PRICKLING_WHIP
RED						
