	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	FINE_BRIE	PAPER_CROWN	STOLEN_SNEAKERS	BIT_O_NIP
GREEN	GOBLIN_WHACKER	BANJO_OF_DUELING	SHINY_BOTTLECAP	GOBLIN_WHACKER	GOBLIN_GROG	STICK_ON_MOUSTACHE
GREEN_1	THE_UGLY_STICK	SPARKLE_PONY_KEYCHAIN	SHINY_BOTTLECAP	KING_JEFFS_CROSSBOW	BANJO_OF_DUELING	PLUCKY_HEROINES_SHORTBOW
BLUE	THE_MAD_GODS_TRIDENT	PLASTIC_VAMPIRE_TEETH	GOBLIN_WHACKER	KING_JEFFS_CROSSBOW	BANJO_OF_DUELING	PLUCKY_HEROINES_SHORTBOW
BLUE_1	THE_COMPENSATOR	KING_JEFFS_CROSSBOW	GOBLIN_WHACKER	FLAIL_OF_TOTAL_DEVASTATION	MAGIC_EIGHT_BALL	PLUCKY_HEROINES_SHORTBOW
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	GENTLEMENS_CLUB	SHINY_BOTTLECAP	ADAMANTIUM_TIARA	LIFESIPPER	PLUCKY_HEROINES_SHORTBOW
PURPLE	TOME_OF_NASTY_BEHAVIOR	AXES_OF_DUAL_WIELDING	GOBLIN_WHACKER	THE_1_RING	SPARKLE_PONY_KEYCHAIN	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	THE_COMPENSATOR	GOBLIN_WHACKER	SHOVEL	BANJO_OF_DUELING	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	DEATH_METAL_BLADE	IMPRACTICAL_CHESTPLATE	SUPER_SPIKEY_SPEAR	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_3	SVENS_SWORD_OF_DOOOOOM	BLACKSTEEL_BLADE	THE_UGLY_STICK	MOTIVATIONAL_CASSETTE	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	DIPLOMATIC_IMMUNITY	HEAD_BANGER	SHOT_IN_THE_ARM_3_ORDER	KINDNESS
ORANGE	RATTLING_SABRE	PHOTO_BOMB	HAROLDS_HOMEMADE_HALBERD	READIN_RAIN_BOW	BIG_STABBY_SPEAR	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	BOWIE_KNIFE	PETER_PIPERS_PEPPER_SPRAY	DUELING_KNIVES_OF_HACKENSLASH	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	HELM_OF_SCREAMING_MANFACE	WAR_SANDALS	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AXE_OF_GRINDING	BOWIE_KNIFE	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	STAY_BOARD	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	DIRTY_BASTARD_SWORD	AXE_OF_GRINDING
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	ENGAGEMENT_KNUCKLES	LIGHTNING_GREASE	HOLY_LANCE_OF_PLOT_ADVANCEMENT	ORGANIC_BOOK_OF_NATURE
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	AMULET_OF_CONCENTRATED_AWESOME	LIGHTNING_GREASE
CYAN	ROCKET_CLOAK	RUBY_FLIP_FLOPS	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	TIME_SAVER
CYAN_1	FEATHER_WEIGHT_FOIL	BUNNY_BLADE	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	ENGAGEMENT_KNUCKLES
CYAN_2	DRAGONS_BLADE	SWORD_OF_DESPAIR	GAUNTLET_OF_THRONE	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	BLUNT_BLADE	MAD_GODS_MUG	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	SAND_STORM	MASK_OF_THE_ANCIENT_KING	PRICKLING_WHIP
RED						
