	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	FOAM_FINGER	MY_FIRST_SHIELD	FINE_BRIE	PAPER_CROWN	FREE_MANS_CROWBAR
GREEN	PRETTY_SWEET_CAPE	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	LUCKY_ORCS_FOOT	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	VAMPIRE_BUNNYEARS	PROTEIN_POWDER	LIFESIPPER	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	SNAKE_OIL	MAGIC_EIGHT_BALL	BLOODY_BAT	SIDE_OF_BACON	VAMPIRE_BUNNYEARS	BUTTER_KNIFE
BLUE_1	AXES_OF_DUAL_WIELDING	IMPRACTICAL_CHESTPLATE	YA_VAMPIRE_SERIES	FLAIL_OF_TOTAL_DEVASTATION	BLISSFUL_IGNORANCE	SOCK_FULL_O_PENNIES
BLUE_2	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	STAFF_OF_BOSS_FIGHTING	VAMPIRE_BUNNYEARS	BLISSFUL_IGNORANCE	HIPPY_GLO_STICKS
PURPLE	ENIDS_EXPENSIVE_ELIXIR	HAMMER_OF_WICKED_BEATS	LASER_POINTER	SACRED_CODEX	ARCANE_SLACKS	BUTTER_KNIFE
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	MUSSEL_MILK	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	LIFESIPPER	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	GLAIVE_OF_DISMEMBERMENT	VAMPIRE_BUNNYEARS	DIPLOMATIC_IMMUNITY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	THE_POWER_OF_MEDICINE_4_ORDER	DRAGON_SCALE	THE_COMPENSATOR	BIG_STABBY_SPEAR	NECRONOMICON	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	EXTREME_FAD_DIET	POCKET_PROTECTOR	DIPLOMATIC_IMMUNITY	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE
ORANGE	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	WICKED_MULLET	LIGER_BALM	ROD_OF_WITTY_PARTY_BANTER	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	EXTREME_FAD_DIET	DRAGON_SCALE	THE_POWER_OF_MEDICINE_4_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	DRAGONS_BALLZ	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	THE_HOLY_PAIL	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HELM_OF_THE_RAGING_BEAR	POWER_OF_SCIENCE	WICKED_MULLET
ORANGE_4	SICK_MULLET	VOLATILE_SMOOTHIE	HAIR_OF_THE_DOG	SWEATBAND_OF_TRAINING_MONTAGES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	UNICORN_PUKE	CHAMPIONSHIP_BELT
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	MIND_MAP	VOLATILE_SMOOTHIE	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	MUNDANE_MUSHROOMS	FRIENDZONITE	UPHOLSTERED_THRONE	DRAGONS_BALLZ	VOLATILE_SMOOTHIE
ORANGE_8	FLATTERING_MIRROR	GIANTS_GROG	CROWNING_ACHIEVEMENT	BRAIN_GUARD_9000	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	PHAT_PANTS
CYAN	ANCIENT_CODE	DENSE_CAKE_OF_HATE	MAD_GODS_MUG	GROUND_GEARS	BOOM_BOX	NEW_KNIGHT_IN_TOWN
CYAN_1	SOUL_FOR_POWER_VOLUME_45	HEART_HAT	MANLY_FIRST_AID_KIT	GIANTS_GROG	EYE_ON_THE_PRIZE	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	WRAITH_BARRIER	BOOK_OF_IRMAC	PURIFICATION_ROBE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	DRAGONS_POCKET_WATCH	LOST_GREAVES	CAT_O_NINE_TAILS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	MAGICAL_CREAM	MAGICAL_WATER_BOTTLE
RED						
