	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	BIT_O_NIP	ENCHANTED_ELBOW_PADS	PAPER_CROWN	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	CHUNKY_FEMUR	SNAZZY_VEST	SMARTY_PANTS	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	SHINY_BOTTLECAP	BLOODY_BAT	TEN_FOOT_POLE	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	LASER_POINTER	CAPTAINS_TIGHTPANTS	CHUNKY_FEMUR	ORB_OF_EVERLASTING_FLAVOR	HEMP_BRACELET	HIPPY_GLO_STICKS
BLUE_1	THINKING_CAP	ROD_OF_TASING	RAW_EGG	STAFF_OF_BOSS_FIGHTING	THE_POWER_OF_MEDICINE	HIPPY_GLO_STICKS
BLUE_2	THE_1_RING	THE_COMPENSATOR	BLOODY_BAT	ROD_OF_BADASSERY	SACRED_CODEX	BUTTER_KNIFE
PURPLE	LASER_POINTER_2_ORDER	THINKING_CAP	CHUNKY_FEMUR	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	KING_JEFFS_CROSSBOW	BUTTER_KNIFE
PURPLE_1	POCKET_PROTECTOR	SACRED_CODEX	THE_COMPENSATOR	FRAMED_DIPLOMA	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	ROD_OF_WITTY_PARTY_BANTER	SACRED_CODEX	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER	FRAMED_DIPLOMA	INTIMIDATING_BEARD
PURPLE_3	LASER_POINTER_4_ORDER	TOME_OF_NASTY_BEHAVIOR	STAFF_OF_BOSS_FIGHTING	LOST_DISK_OF_POWER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR	ROD_OF_BADASSERY
ORANGE	WAR_SANDALS	LOST_DISK_OF_POWER	WICKED_MULLET	JAR_OF_KITTEN_TEAR	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	RING_OF_THE_SQUIRREL	DEERSTALKER_HAT	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	PHOTO_BOMB	DRAGON_SCALE	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	HEARTY_CHEST	MIND_MAP	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DEVILS_POT	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	GOOD_SLEEPING_BED	DANCERS_BRA	MAGICAL_WATER_BOTTLE
RED						
