	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	FOAM_FINGER	PAPER_CROWN	ENCHANTED_ELBOW_PADS	MY_FIRST_SHIELD
GREEN	RAW_EGG	BLOODY_BAT	GLOVES_OF_CRIT	ENCHANTED_ELBOW_PADS	BLOODY_BAT	STICK_ON_MOUSTACHE
GREEN_1	MUSCLE_WAX	EXCALIBURTREYNOLDS	BLOODY_BAT	SPARKLE_PONY_KEYCHAIN	MY_FIRST_SHIELD	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	BLISSFUL_IGNORANCE	BLOODY_BAT	SIDE_OF_BACON	PROTEIN_POWDER	DIRECTORS_CUT
BLUE_1	NECRONOMICON	TOME_OF_FORBIDDEN_TRIVIA	THONG_OF_VITALITY	ROD_OF_BADASSERY	PENETRABLE_ARMOR	DIRECTORS_CUT
BLUE_2	DIPLOMATIC_IMMUNITY	ROD_OF_TASING	BLISSFUL_IGNORANCE	SNAKE_OIL	MUSCLE_WAX	DIRECTORS_CUT
PURPLE	HAMMER_OF_WICKED_BEATS	LASER_POINTER	RAW_EGG	FRAMED_DIPLOMA	NECRONOMICON	DIRECTORS_CUT
PURPLE_1	POCKET_PROTECTOR	LASER_POINTER_2_ORDER	TEN_FOOT_POLE	DIPLOMATIC_IMMUNITY	SNAKE_OIL	INTIMIDATING_BEARD
PURPLE_2	SANDWICH_OF_UNSURPASSED_MEATINESS	THE_COMPENSATOR	THONG_OF_VITALITY	LASER_POINTER_3_ORDER	TOME_OF_FORBIDDEN_TRIVIA	INTIMIDATING_BEARD
PURPLE_3	POCKET_PROTECTOR	FRAMED_DIPLOMA	TEN_FOOT_POLE	LOST_DISK_OF_POWER	SHOT_IN_THE_ARM_2_ORDER	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	PETER_PIPERS_PEPPER_SPRAY	ROD_OF_WITTY_PARTY_BANTER	VORPAL_BOOMERANG	SHOT_IN_THE_ARM_3_ORDER	KINDNESS
ORANGE	BIG_STABBY_SPEAR	LOST_DISK_OF_POWER	WICKED_MULLET	JAR_OF_KITTEN_TEAR	ANTI_MAGIC_SHIELD	SVENS_SWORD_OF_DOOOOOM
ORANGE_1	PETER_PIPERS_PEPPER_SPRAY	HEALTHY_DOSE_OF_SKEPTICISM	MONSTER_HUNTER_ARMOR	IVY_LEAGUE_HAIRCUT	LASER_POINTER_3_ORDER	CHUGG_BOOTS
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	SWEATBAND_OF_TRAINING_MONTAGES	SLIGHTLY_EVIL_MAGIC_MIRROR	ANTI_MAGIC_SHIELD	BLACKSTEEL_BLADE	SHOT_IN_THE_ARM_3_ORDER
ORANGE_3	GLORY_SEEKER	MACGUFFIN_FRAGMENT_45	AXE_OF_GRINDING	HEALTHY_DOSE_OF_SKEPTICISM	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	HAMMER_TIME	LITTLE_PRICKS	ORGANIC_BOOK_OF_NATURE	SWEATBAND_OF_TRAINING_MONTAGES	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	BOOM_BOX	LIGHTNING_GREASE	BRAIN_PILLS	ANCIENT_TOME_OF_OCCULT_NONSENSE	UNICORN_PUKE	HELM_OF_SCREAMING_MANFACE
ORANGE_6	BEARLY_THERE_BOOTS	DOUBLE_BLADED_SWORD	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	GREAT_HORNED_HORN	HEAL_AID	EYE_OF_THE_BEHOLDER	ORGANIC_BOOK_OF_NATURE
ORANGE_8	BLUNT_BLADE	POISONED_DAGGER	BELL_OF_SILENCE	STAY_BOARD	AXE_OF_GRINDING	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	CRUDE_SNIPPERS	CREATINE_CACTUS	BOOM_BOX	CANNON_CANOE
CYAN_1	ESCUTCHEON_OF_EYES	OGRES_BATTERING_RAM	RING_OF_FIRE	AGED_DRAGON_MILK	BEARLY_THERE_BOOTS	DODGY_JEWELRY
CYAN_2	GREAVES_OF_PLEIAS	RING_OF_TEMPTATION	PHOENIX_TALISMAN	DENSE_CAKE_OF_HATE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	BONE_CRUSHING_PLIERS	DEVILS_POT	LOST_GREAVES	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4	DEDICATED_GENIE	DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	IRON_CLAWS
RED	DEDICATED_GENIE	SECRET_HAND_SCROLL	SAMURAI_SWORD	HERMITS_PILLS	MAGATAMA	GOURD
