	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	FOAM_FINGER	FINE_BRIE	FREE_MANS_CROWBAR	FOAM_FINGER	GOBLIN_GROG	MY_FIRST_SHIELD
GREEN	PAPER_CROWN	FOAM_FINGER	BLOODY_BAT	ENCHANTED_ELBOW_PADS	CAPTAINS_TIGHTPANTS	STICK_ON_MOUSTACHE
GREEN_1	MACE_OF_FRIENDSHIP	BLOODY_BAT	LUCKY_ORCS_FOOT	THONG_OF_VITALITY	BLOODY_BAT	DIRECTORS_CUT
BLUE	GLAIVE_OF_DISMEMBERMENT	SIDE_OF_BACON	SNAZZY_VEST	BLISSFUL_IGNORANCE	EXCALIBURTREYNOLDS	SOCK_FULL_O_PENNIES
BLUE_1	AXES_OF_DUAL_WIELDING	ROBE_OF_SHARP_COMEBACKS	PENETRABLE_ARMOR	MUSSEL_MILK	SPARKLE_PONY_KEYCHAIN	DIRECTORS_CUT
BLUE_2	SUPER_SPIKEY_SPEAR	THE_MAD_GODS_TRIDENT	THONG_OF_VITALITY	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE	SOCK_FULL_O_PENNIES
PURPLE	HAMMER_OF_WICKED_BEATS	GLAIVE_OF_DISMEMBERMENT	EXCALIBURTREYNOLDS	AXES_OF_DUAL_WIELDING	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_1	SANDWICH_OF_UNSURPASSED_MEATINESS	MUSSEL_MILK	THONG_OF_VITALITY	DIPLOMATIC_IMMUNITY	LIFESIPPER	INTIMIDATING_BEARD
PURPLE_2	GRIEVOUS_BODILY_HARM	THE_COMPENSATOR	IMPRACTICAL_CHESTPLATE	ENIDS_EXPENSIVE_ELIXIR	KINDNESS	INTIMIDATING_BEARD
PURPLE_3	LIGER_BALM	MJOLNIRBY	THONG_OF_VITALITY	BIG_STABBY_SPEAR	GLAIVE_OF_DISMEMBERMENT	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	RING_OF_THE_SQUIRREL	OVERPOWERING_FRAGRANCE	MJOLNIRBY	SWORDY_MCEPICPANTS	THE_1_RING
ORANGE	MYSTICAL_ELVEN_JUNK	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	HAROLDS_HOMEMADE_HALBERD	LIFEDRINKER	MITHRIL_OREEAL
ORANGE_1	UNICORN_PUKE	HEALTHY_DOSE_OF_SKEPTICISM	MONSTER_HUNTER_ARMOR	RING_OF_THE_SQUIRREL	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	SWEATBAND_OF_TRAINING_MONTAGES	CHAMPIONSHIP_BELT	ANTI_MAGIC_SHIELD	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	THE_HOLY_PAIL	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HEALTHY_DOSE_OF_SKEPTICISM	POWER_OF_SCIENCE	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	VOLATILE_SMOOTHIE	GLASS_CANNON	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	SHOES_OF_THE_MAD_GOD	LOST_CONCEPT_ART	BRAIN_PILLS	THE_HOLY_PAIL	UNICORN_PUKE	CHAMPIONSHIP_BELT
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	MIND_MAP	FOUR_D_GLASSES	TAROT_DECK_OF_HYPERBOLE	AXE_OF_GRINDING
ORANGE_7	HEART_HEALTH_CANDY	CREATINE_CACTUS	FRIENDZONITE	BOOM_BOX	CHAMPIONSHIP_BELT	VOLATILE_SMOOTHIE
ORANGE_8	BLUNT_BLADE	RINGS_OF_A_FEATHER	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LOST_CONCEPT_ART
CYAN	BLACKSMITH_BREW	DENSE_CAKE_OF_HATE	GOLDEN_SLINGSHOT	CREATINE_CACTUS	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	ESCUTCHEON_OF_EYES	HEART_HAT	RING_OF_FIRE	POISONED_DAGGER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	BRACELET_OF_LIGHTNING	WRAITH_BARRIER	LAZARUS_BEANS	PURIFICATION_ROBE	FLOPPIN_FLIP_FLOPS	BELL_OF_SILENCE
CYAN_3	STEAM_ENGINE	THE_SHIELD_STOPS_YOU	DEVILS_POT	BLUNT_BLADE	CAT_O_NINE_TAILS	HEART_HEALTH_CANDY
CYAN_4		DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	SUNBLOCK_GOGGLES	DANCERS_BRA	MAGICAL_WATER_BOTTLE
RED						
