	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	LOADED_DIE	BIT_O_NIP	PAPER_CROWN	ENCHANTED_ELBOW_PADS	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	CHUNKY_FEMUR	WAND_OF_GOLD_SPARKLES	BLOODY_BAT	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	TEN_FOOT_POLE	CHUNKY_FEMUR	THE_POWER_OF_MEDICINE	ARTIFACT_OF_UNIMAGINABLE_POWER	STICK_ON_MOUSTACHE
BLUE	ROD_OF_TASING	NONSTICK_SHIELD	BESSIES_BANE	NECRONOMICON	KING_JEFFS_CROSSBOW	HIPPY_GLO_STICKS
BLUE_1	LASER_POINTER	TOME_OF_FORBIDDEN_TRIVIA	PENETRABLE_ARMOR	ORB_OF_EVERLASTING_FLAVOR	HEMP_BRACELET	HIPPY_GLO_STICKS
BLUE_2	SACRED_CODEX	SNAKE_OIL	SIDE_OF_BACON	ROD_OF_WITTY_PARTY_BANTER	ROD_OF_TASING	HIPPY_GLO_STICKS
PURPLE	ENIDS_EXPENSIVE_ELIXIR	IMPRACTICAL_CHESTPLATE	BLISSFUL_IGNORANCE	THE_1_RING	THONG_OF_VITALITY	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	ADAMANTIUM_TIARA	TEN_FOOT_POLE	DIPLOMATIC_IMMUNITY	THINKING_CAP	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	LUCKY_ORCS_FOOT	ROD_OF_WITTY_PARTY_BANTER	ROD_OF_BADASSERY	INTIMIDATING_BEARD
PURPLE_3	LASER_POINTER_4_ORDER	WIZARDY_FOR_IDIOTS	THONG_OF_VITALITY	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER	ROD_OF_TASING	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	RING_OF_THE_SQUIRREL	PURIFYING_TUNING_FORK	POCKET_PROTECTOR	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR
ORANGE	JAR_OF_KITTEN_TEAR	ANTI_MAGIC_SHIELD	WICKED_MULLET	WIZARDY_FOR_IDIOTS	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	AXE_OF_GRATUITOUS_GUITAR_SOLOS	RING_OF_THE_SQUIRREL	DEERSTALKER_HAT	DRAGON_SCALE	MITHRIL_OREEAL
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	SLIGHTLY_EVIL_MAGIC_MIRROR	PHOTO_BOMB	CHUGG_BOOTS	PURIFYING_TUNING_FORK
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	AXE_OF_GRATUITOUS_GUITAR_SOLOS	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	JAR_OF_KITTEN_TEAR	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	HEAL_AID	BRAIN_PILLS	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	MIND_MAP	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	CLOAK_OF_THE_OWL	GROUND_GEARS	GREAT_HORNED_HORN	LOST_CONCEPT_ART	EYE_OF_THE_BEHOLDER	GLASS_CANNON
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	NAUGHTY_TAPESTRY	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DOUBLE_AXE	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	MIRACLE_FURNACE_OF_BLACKSMITH	MASK_OF_THE_ANCIENT_KING	DANCERS_BRA	MAGICAL_WATER_BOTTLE
RED						
