	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	STOLEN_SNEAKERS	PAPER_CROWN	ENCHANTED_ELBOW_PADS	MY_FIRST_SHIELD
GREEN	CAPTAINS_TIGHTPANTS	BLOODY_BAT	SWASH_BUCKLER	GOBLIN_WHACKER	GOBLIN_WHACKER	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	LIFESIPPER	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	ARCANE_SLACKS	STICK_ON_MOUSTACHE
BLUE	SPUD_GUN	GENTLEMENS_CLUB	BANJO_OF_DUELING	ROD_OF_TASING	MACE_OF_FRIENDSHIP	PLUCKY_HEROINES_SHORTBOW
BLUE_1	THE_COMPENSATOR	STAFF_OF_BOSS_FIGHTING	RAW_EGG	THE_MAD_GODS_TRIDENT	IMPRACTICAL_CHESTPLATE	PLUCKY_HEROINES_SHORTBOW
BLUE_2	SUPER_SPIKEY_SPEAR	GENTLEMENS_CLUB	GOBLIN_WHACKER	DEATH_METAL_BLADE	LIFESIPPER	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	THE_COMPENSATOR	ARCANE_SLACKS	DIRK_OF_DISEMBOWELING	BLISSFUL_IGNORANCE	INTIMIDATING_BEARD
PURPLE_1	LAVISHLY_ADORNED_RAPIER	GLAIVE_OF_DISMEMBERMENT	GOBLIN_WHACKER	ENIDS_EXPENSIVE_ELIXIR	AND_MY_AXE	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	AXES_OF_DUAL_WIELDING	LOAFERS_OF_ALACRITY	GRIEVOUS_BODILY_HARM	MACE_OF_FRIENDSHIP	INTIMIDATING_BEARD
PURPLE_3	CHUGG_BOOTS	THE_COMPENSATOR	LIFESIPPER	MITHRIL_OREEAL	ROD_OF_TASING	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	PETER_PIPERS_PEPPER_SPRAY	MJOLNIRBY	SHOT_IN_THE_ARM_3_ORDER	SUPER_SPIKEY_SPEAR	IMPRACTICAL_CHESTPLATE
ORANGE	DECODER_RING_2_ORDER	SELF_PRESERVER	PURPLE_PILLS_OF_POTENCY	DEAD_EYE	LIFEDRINKER	RATTLING_SABRE
ORANGE_1	GLASS_CASE_OF_EMOTION	PETER_PIPERS_PEPPER_SPRAY	BOWIE_KNIFE	DUELING_KNIVES_OF_HACKENSLASH	DRAGON_SCALE	LASER_POINTER_3_ORDER
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	MACGUFFIN_FRAGMENT_45	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	BOWIE_KNIFE	YODELING_SWORD	PURPLE_PILLS_OF_POTENCY
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	HAIR_OF_THE_DOG	UNTESTED_JETPACK	RATTLING_SABRE	DUELING_KNIVES_OF_HACKENSLASH
ORANGE_5	SHOES_OF_THE_MAD_GOD	LIGHTNING_GREASE	FLAMEY_POOFS	COSPLAY_SWORD	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	TIME_KILLER	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	THE_HUSTLE	DODGY_JEWELRY	LIGHTNING_GREASE	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LIGHTNING_GREASE
CYAN	FEATHER_WEIGHT_PAULDRONS	TRIASSIC_TRINKET	CRUDE_SNIPPERS	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	BUNNY_BLADE	RING_OF_FIRE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	SWORD_OF_DESPAIR	PHOENIX_TALISMAN	TRIASSIC_TRINKET	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MYSTERIOUS_EGG	DEVILS_POT	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4		NAVIGATION_TO_THE_PAST	BALANCE_OF_LIFE	MASK_OF_THE_ANCIENT_KING	DANCERS_BRA	PRICKLING_WHIP
RED						
