	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	LOADED_DIE
GREEN	SMARTY_PANTS	CHUNKY_FEMUR	MY_FIRST_SHIELD	LUCKY_ORCS_FOOT	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	TEN_FOOT_POLE	BLOODY_BAT	THONG_OF_VITALITY	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	NECRONOMICON	KING_JEFFS_CROSSBOW	RAW_EGG	LASER_POINTER	WAND_OF_GOLD_SPARKLES	BUTTER_KNIFE
BLUE_1	ROD_OF_BADASSERY	THE_COMPENSATOR	CHUNKY_FEMUR	GLAIVE_OF_DISMEMBERMENT	KING_JEFFS_CROSSBOW	BUTTER_KNIFE
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	TOME_OF_FORBIDDEN_TRIVIA	SMARTY_PANTS	LASER_POINTER_2_ORDER	BLISSFUL_IGNORANCE	HIPPY_GLO_STICKS
PURPLE	THE_1_RING	ENIDS_EXPENSIVE_ELIXIR	IMPRACTICAL_CHESTPLATE	DIPLOMATIC_IMMUNITY	THONG_OF_VITALITY	HIPPY_GLO_STICKS
PURPLE_1	POCKET_PROTECTOR	HAMMER_OF_WICKED_BEATS	KING_JEFFS_CROSSBOW	SUPER_SPIKEY_SPEAR	TEN_FOOT_POLE	INTIMIDATING_BEARD
PURPLE_2	LASER_POINTER_3_ORDER	NECRONOMICON	SACRED_CODEX	FRAMED_DIPLOMA	KING_JEFFS_CROSSBOW	INTIMIDATING_BEARD
PURPLE_3	WIZARDY_FOR_IDIOTS	MOTIVATIONAL_CASSETTE	THONG_OF_VITALITY	LASER_POINTER_4_ORDER	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	EXTREME_FAD_DIET	PURIFYING_TUNING_FORK	TOME_OF_FORBIDDEN_TRIVIA_2_ORDER	POCKET_PROTECTOR	MUSSEL_MILK
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WICKED_MULLET	LOST_DISK_OF_POWER	ROD_OF_WITTY_PARTY_BANTER	LASER_POINTER_3_ORDER
ORANGE_1	IVY_LEAGUE_HAIRCUT	HELM_OF_THE_RAGING_BEAR	DEERSTALKER_HAT	HIGH_TEA	CHUGG_BOOTS	LASER_POINTER_3_ORDER
ORANGE_2	ORNATE_CROWN_OF_THE_GM	ROLL_OF_DUCT_TAPE	CHAMPIONSHIP_BELT	SELF_PRESERVER	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	EYE_OF_THE_BEHOLDER	ANCIENT_TOME_OF_OCCULT_NONSENSE	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	HELM_OF_THE_RAGING_BEAR	GIRDLE_OF_VICTORY	WICKED_MULLET
ORANGE_4	ORBITAL_KITTY	FOUR_D_GLASSES	POLITICAL_PLATFORM_SHOES	ROLL_OF_DUCT_TAPE	MYSTICAL_ELVEN_JUNK	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	PHAT_PANTS	BRAIN_PILLS	THE_HOLY_PAIL	IVY_LEAGUE_HAIRCUT	CHAMPIONSHIP_BELT
ORANGE_6	BRAIN_GUARD_9000	HEARTY_CHEST	MIND_MAP	FOUR_D_GLASSES	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	HEART_HEALTH_CANDY	GROUND_GEARS	DODGY_JEWELRY	UPHOLSTERED_THRONE	DRAGONS_BALLZ	RING_OF_ILL_WILL
ORANGE_8	LOST_GREAVES	GIANTS_GROG	BELL_OF_SILENCE	BEARLY_THERE_BOOTS	AMULET_OF_CONCENTRATED_AWESOME	PHAT_PANTS
CYAN	ANCIENT_CODE	PURIFICATION_ROBE	MAD_GODS_MUG	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	NEW_KNIGHT_IN_TOWN
CYAN_1	TOME_OF_CURSED_HORTICULTURE	COG_NITIVE_MASK	DRAGON_BLANKIE	AGED_DRAGON_MILK	BRAIN_GUARD_9000	GREAT_HORNED_HORN
CYAN_2	HELMET_OF_FORESIGHT	MAI_TAI_OF_IMMUNITY	BOOK_OF_IRMAC	PURIFICATION_ROBE	HEART_HEALTH_CANDY	BELL_OF_SILENCE
CYAN_3	DRAGON_LEATHER_TIGHTS	BONE_CRUSHING_PLIERS	FAMILIAR_ENERGY_TANK	LOST_GREAVES	CRUDE_SNIPPERS	CLOAK_OF_THE_OWL
CYAN_4		PYRAMID_POWER	BALANCE_OF_LIFE	SUNBLOCK_GOGGLES	SAND_STORM	PRICKLING_WHIP
RED						
