	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	BIT_O_NIP	ENCHANTED_ELBOW_PADS	PAPER_CROWN	GOBLIN_GROG
GREEN	SPARKLE_PONY_KEYCHAIN	SNAZZY_VEST	CHUNKY_FEMUR	CHUNKY_FEMUR	FINE_BRIE	STICK_ON_MOUSTACHE
GREEN_1	SACRED_CODEX	TEN_FOOT_POLE	BLOODY_BAT	THONG_OF_VITALITY	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
BLUE	LASER_POINTER	WAND_OF_GOLD_SPARKLES	CHUNKY_FEMUR	ROD_OF_TASING	SMARTY_PANTS	HIPPY_GLO_STICKS
BLUE_1	THE_POWER_OF_MEDICINE_2_ORDER	BLISSFUL_IGNORANCE	MUSCLE_WAX	SNAKE_OIL	SACRED_CODEX	SOCK_FULL_O_PENNIES
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	ROD_OF_TASING	THINKING_CAP	STAFF_OF_BOSS_FIGHTING	HEMP_BRACELET	BUTTER_KNIFE
PURPLE	HAMMER_OF_WICKED_BEATS	LASER_POINTER	WAND_OF_GOLD_SPARKLES	ROD_OF_BADASSERY	STAFF_OF_BOSS_FIGHTING	INTIMIDATING_BEARD
PURPLE_1	POCKET_PROTECTOR	ADAMANTIUM_TIARA	THE_UGLY_STICK	MJOLNIRBY	NECRONOMICON	INTIMIDATING_BEARD
PURPLE_2	DIPLOMATIC_IMMUNITY	LASER_POINTER_3_ORDER	SACRED_CODEX	ENIDS_EXPENSIVE_ELIXIR	ADAMANTIUM_TIARA	INTIMIDATING_BEARD
PURPLE_3	DRAGON_SCALE	SWORDY_MCEPICPANTS	ROBE_OF_SHARP_COMEBACKS	BIG_STABBY_SPEAR	THE_COMPENSATOR	INTIMIDATING_BEARD
PURPLE_4	POWER_OF_SCIENCE	RING_OF_THE_SQUIRREL	SHOT_IN_THE_ARM_3_ORDER	SHOVEL	ROD_OF_WITTY_PARTY_BANTER	KINDNESS
ORANGE	JAR_OF_KITTEN_TEAR	WAR_SANDALS	READIN_RAIN_BOW	WIZARDY_FOR_IDIOTS	LIFEDRINKER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	GLASS_CASE_OF_EMOTION	HEALTHY_DOSE_OF_SKEPTICISM	MONSTER_HUNTER_ARMOR	RING_OF_THE_SQUIRREL	MITHRIL_OREEAL	CHUGG_BOOTS
ORANGE_2	DIRTY_BASTARD_SWORD	UNTESTED_JETPACK	CHAMPIONSHIP_BELT	PHOTO_BOMB	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	COSPLAY_SWORD	AMULET_OF_CONCENTRATED_AWESOME	HEALTHY_DOSE_OF_SKEPTICISM	POWER_OF_SCIENCE	READIN_RAIN_BOW
ORANGE_4	SICK_MULLET	FOUR_D_GLASSES	GLASS_CANNON	SWEATBAND_OF_TRAINING_MONTAGES	MYSTICAL_ELVEN_JUNK	MONSTER_HUNTER_ARMOR
ORANGE_5	UPHOLSTERED_THRONE	PHAT_PANTS	TUNNEL_VISION	ANCIENT_TOME_OF_OCCULT_NONSENSE	UNICORN_PUKE	CHAMPIONSHIP_BELT
ORANGE_6	BEARLY_THERE_BOOTS	HEARTY_CHEST	NEW_KNIGHT_IN_TOWN	VOLATILE_SMOOTHIE	TAROT_DECK_OF_HYPERBOLE	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	FLOPPIN_FLIP_FLOPS	GROUND_GEARS	DODGY_JEWELRY	PHAT_PANTS	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	BLUNT_BLADE	POISONED_DAGGER	BELL_OF_SILENCE	STAY_BOARD	AXE_OF_GRINDING	HEAL_AID
CYAN	FEATHER_WEIGHT_PAULDRONS	TRIASSIC_TRINKET	GOLDEN_SLINGSHOT	GROUND_GEARS	BOOM_BOX	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	OGRES_BATTERING_RAM	RING_OF_FIRE	RINGS_OF_A_FEATHER	BEARLY_THERE_BOOTS	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	MAI_TAI_OF_IMMUNITY	PHOENIX_TALISMAN	TRIASSIC_TRINKET	FLOPPIN_FLIP_FLOPS	BELL_OF_SILENCE
CYAN_3	DRAGON_LEATHER_TIGHTS	MYSTERIOUS_EGG	FAMILIAR_ENERGY_TANK	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4		DRAGON_SAND_BOOTS	MIRACLE_FURNACE_OF_BLACKSMITH	SUNBLOCK_GOGGLES	DANCERS_BRA	IRON_CLAWS
RED						
