	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	ENCHANTED_ELBOW_PADS	BIT_O_NIP	PAPER_CROWN	LOADED_DIE	RUBBER_VEST
GREEN	SPARKLE_PONY_KEYCHAIN	CHUNKY_FEMUR	FINE_BRIE	SNAZZY_VEST	CHUNKY_FEMUR	STICK_ON_MOUSTACHE
GREEN_1	GENTLEMENS_CLUB	BESSIES_BANE	MELTY_CHOCOLATE_BAR	THE_POWER_OF_MEDICINE	BESSIES_BANE	STICK_ON_MOUSTACHE
BLUE	SACRED_CODEX	MACE_OF_FRIENDSHIP	CHUNKY_FEMUR	GENTLEMENS_CLUB	EXCALIBURTREYNOLDS	SOCK_FULL_O_PENNIES
BLUE_1	THE_COMPENSATOR	KING_JEFFS_CROSSBOW	YA_VAMPIRE_SERIES	GLAIVE_OF_DISMEMBERMENT	KING_JEFFS_CROSSBOW	SOCK_FULL_O_PENNIES
BLUE_2	ROD_OF_WITTY_PARTY_BANTER	LIFESIPPER	HEMP_BRACELET	ROD_OF_TASING	STAFF_OF_BOSS_FIGHTING	SOCK_FULL_O_PENNIES
PURPLE	THE_1_RING	KINDNESS	CHUNKY_FEMUR	HAMMER_OF_WICKED_BEATS	IMPRACTICAL_CHESTPLATE	SOCK_FULL_O_PENNIES
PURPLE_1	POCKET_PROTECTOR	ADAMANTIUM_TIARA	THE_UGLY_STICK	MJOLNIRBY	NECRONOMICON	INTIMIDATING_BEARD
PURPLE_2	SVENS_SWORD_OF_DOOOOOM	FRAMED_DIPLOMA	THE_UGLY_STICK	TOME_OF_NASTY_BEHAVIOR	THE_MAD_GODS_TRIDENT	INTIMIDATING_BEARD
PURPLE_3	CHUGG_BOOTS	SUPER_SPIKEY_SPEAR	THE_COMPENSATOR	SHOVEL	ORB_OF_EVERLASTING_FLAVOR	INTIMIDATING_BEARD
PURPLE_4	GIRDLE_OF_VICTORY	PETER_PIPERS_PEPPER_SPRAY	PURIFYING_TUNING_FORK	FRAMED_DIPLOMA	ENIDS_EXPENSIVE_ELIXIR	TOME_OF_FORBIDDEN_TRIVIA
ORANGE	JAR_OF_KITTEN_TEAR	PHOTO_BOMB	WIZARDY_FOR_IDIOTS	READIN_RAIN_BOW	ROD_OF_WITTY_PARTY_BANTER	LAVISHLY_ADORNED_RAPIER
ORANGE_1	IVY_LEAGUE_HAIRCUT	BOWIE_KNIFE	PETER_PIPERS_PEPPER_SPRAY	DEERSTALKER_HAT	BLACKSTEEL_BLADE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	DIRTY_BASTARD_SWORD	LENSLESS_GLASSES	DRAGONS_BALLZ	PHOTO_BOMB	DRAGON_SCALE	OVERPOWERING_FRAGRANCE
ORANGE_3	EYE_OF_THE_BEHOLDER	MACGUFFIN_FRAGMENT_45	ENIDS_EXPENSIVE_ELIXIR_2_ORDER	BOWIE_KNIFE	GIRDLE_OF_VICTORY	READIN_RAIN_BOW
ORANGE_4	SICK_MULLET	RING_OF_ILL_WILL	POLITICAL_PLATFORM_SHOES	LENSLESS_GLASSES	RATTLING_SABRE	DEERSTALKER_HAT
ORANGE_5	UPHOLSTERED_THRONE	LOST_CONCEPT_ART	TUNNEL_VISION	MACGUFFIN_FRAGMENT_45	IVY_LEAGUE_HAIRCUT	SLIGHTLY_EVIL_MAGIC_MIRROR
ORANGE_6	BRAIN_GUARD_9000	SOUL_PUPPET	CANNON_CANOE	RING_OF_ILL_WILL	ORNATE_CROWN_OF_THE_GM	AMULET_OF_CONCENTRATED_AWESOME
ORANGE_7	CLOAK_OF_THE_OWL	MUNDANE_MUSHROOMS	FRIENDZONITE	PHAT_PANTS	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	FLATTERING_MIRROR	AGED_DRAGON_MILK	AUTO_FLUTE	EYE_ON_THE_PRIZE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	HEAL_AID
CYAN	FEATHER_WEIGHT_PAULDRONS	PURIFICATION_ROBE	CAT_O_NINE_TAILS	MUNDANE_MUSHROOMS	UPHOLSTERED_THRONE	MIND_MAP
CYAN_1	SOUL_FOR_POWER_VOLUME_45	OGRES_BATTERING_RAM	NAUGHTY_TAPESTRY	RINGS_OF_A_FEATHER	BRAIN_GUARD_9000	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	RING_OF_TEMPTATION	BOOK_OF_IRMAC	PURIFICATION_ROBE	CLOAK_OF_THE_OWL	AUTO_FLUTE
CYAN_3	IRON_HELMET_OF_BIKING	MAGICAL_PEST_MAST	DEVILS_POT	FLATTERING_MIRROR	GOLDEN_SLINGSHOT	CLOAK_OF_THE_OWL
CYAN_4		DRAGON_SAND_BOOTS	PYRAMID_POWER	SAND_STORM	DANCERS_BRA	WILDYS_HAT
RED						
