	ONE	TWO	THREE	FOUR	FIVE	SIX
WHITE	PAPER_CROWN	STOLEN_SNEAKERS	GOBLIN_GROG	PAPER_CROWN	STOLEN_SNEAKERS	MY_FIRST_SHIELD
GREEN	GOBLIN_WHACKER	LOAFERS_OF_ALACRITY	SWASH_BUCKLER	GOBLIN_WHACKER	SNAZZY_VEST	STICK_ON_MOUSTACHE
GREEN_1	RACING_STRIPES	SPARKLE_PONY_KEYCHAIN	GOBLIN_WHACKER	ARCANE_SLACKS	YA_VAMPIRE_SERIES	STICK_ON_MOUSTACHE
BLUE	SPUD_GUN	SNAKE_OIL	GOBLIN_WHACKER	THE_MAD_GODS_TRIDENT	CAPTAINS_TIGHTPANTS	STICK_ON_MOUSTACHE
BLUE_1	AXES_OF_DUAL_WIELDING	LIFESIPPER	EXCALIBURTREYNOLDS	THE_COMPENSATOR	BANJO_OF_DUELING	PLUCKY_HEROINES_SHORTBOW
BLUE_2	DIRK_OF_DISEMBOWELING	DECODER_RING	SWASH_BUCKLER	FLAIL_OF_TOTAL_DEVASTATION	PLASTIC_VAMPIRE_TEETH	PLUCKY_HEROINES_SHORTBOW
PURPLE	SHOVEL	GENTLEMENS_CLUB	GOBLIN_WHACKER	ADAMANTIUM_TIARA	BANJO_OF_DUELING	PLUCKY_HEROINES_SHORTBOW
PURPLE_1	LAVISHLY_ADORNED_RAPIER	ADAMANTIUM_TIARA	IMPRACTICAL_CHESTPLATE	DIRK_OF_DISEMBOWELING	KINDNESS	INTIMIDATING_BEARD
PURPLE_2	LIFEDRINKER	ADAMANTIUM_TIARA	MACE_OF_FRIENDSHIP	MJOLNIRBY	GENTLEMENS_CLUB	INTIMIDATING_BEARD
PURPLE_3	GRIEVOUS_BODILY_HARM	ENIDS_EXPENSIVE_ELIXIR	THE_COMPENSATOR	TOME_OF_NASTY_BEHAVIOR	WIZARDY_FOR_IDIOTS	INTIMIDATING_BEARD
PURPLE_4	YODELING_SWORD	SHOVEL	SHOT_IN_THE_ARM_3_ORDER	EXTREME_FAD_DIET	MJOLNIRBY	ROD_OF_BADASSERY
ORANGE	MYSTICAL_ELVEN_JUNK	PHOTO_BOMB	READIN_RAIN_BOW	DEAD_EYE	LIFEDRINKER	MITHRIL_OREEAL
ORANGE_1	EXTREME_FAD_DIET	BOWIE_KNIFE	GLASS_CASE_OF_EMOTION	DUELING_KNIVES_OF_HACKENSLASH	DRAGON_SCALE	SVENS_SWORD_OF_DOOOOOM
ORANGE_2	TAROT_DECK_OF_HYPERBOLE	UNTESTED_JETPACK	DRAGONS_BALLZ	WAR_SANDALS	CHUGG_BOOTS	OVERPOWERING_FRAGRANCE
ORANGE_3	HOLY_LANCE_OF_PLOT_ADVANCEMENT	MACGUFFIN_FRAGMENT_45	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	BOWIE_KNIFE	YODELING_SWORD	READIN_RAIN_BOW
ORANGE_4	ORBITAL_KITTY	LITTLE_PRICKS	HAIR_OF_THE_DOG	UNTESTED_JETPACK	JAR_OF_KITTEN_TEAR	MONSTER_HUNTER_ARMOR
ORANGE_5	SHOES_OF_THE_MAD_GOD	PHAT_PANTS	STAY_BOARD	ANCIENT_TOME_OF_OCCULT_NONSENSE	GLASS_CASE_OF_EMOTION	CHAMPIONSHIP_BELT
ORANGE_6	EYE_ON_THE_PRIZE	HEARTY_CHEST	TIME_SAVER	LITTLE_PRICKS	TAROT_DECK_OF_HYPERBOLE	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER
ORANGE_7	FLOPPIN_FLIP_FLOPS	GROUND_GEARS	FRIENDZONITE	LIGHTNING_GREASE	GLORY_SEEKER	POLITICAL_PLATFORM_SHOES
ORANGE_8	LOST_GREAVES	RINGS_OF_A_FEATHER	ILLUSORY_HURDLE	STAY_BOARD	EMBARASSING_CHAINMAIL_OF_IMMENSE_POWER	LIGHTNING_GREASE
CYAN	FEATHER_WEIGHT_PAULDRONS	RUBY_FLIP_FLOPS	GOLDEN_SLINGSHOT	THE_HUSTLE	SHOES_OF_THE_MAD_GOD	CANNON_CANOE
CYAN_1	SOUL_FOR_POWER_VOLUME_45	BUNNY_BLADE	RING_OF_FIRE	RINGS_OF_A_FEATHER	EYE_ON_THE_PRIZE	FRIENDZONITE
CYAN_2	GREAVES_OF_PLEIAS	MAI_TAI_OF_IMMUNITY	PHOENIX_TALISMAN	RUBY_FLIP_FLOPS	FLOPPIN_FLIP_FLOPS	ILLUSORY_HURDLE
CYAN_3	ADVENTURERS_RIDES	MYSTERIOUS_EGG	DEVILS_POT	LOST_GREAVES	GOLDEN_SLINGSHOT	FLOPPIN_FLIP_FLOPS
CYAN_4	DEDICATED_MEDUSA	DRAGON_SAND_BOOTS	NAVIGATION_TO_THE_PAST	SUNBLOCK_GOGGLES	MASK_OF_THE_ANCIENT_KING	PRICKLING_WHIP
RED	DEDICATED_MEDUSA	GOLD_RUSH	FINS_OF_SEA_DRAGON	TIGER_UNDERWEAR	TIGER_SALVE	EXOTIC_FAN
